protocol,case_id,seed,scenario,confusability,condition,router,scope_policy,oracle_task_graph,candidate_records,selected_records,selected_chunks,required_records,required_record_recall,cross_task_contamination,evidence_selected,evidence_materialized,evidence_available,prompt_tokens,candidate_native_tokens,requested_native_tokens,active_native_tokens,routing_index_bytes,resident_detail_kv_bytes,post_materialization_routing_index_bytes,post_materialization_resident_detail_kv_bytes,index_seconds,query_encoding_seconds,routing_seconds,materialization_seconds,materialized_bytes,generation_seconds,top_k,dag_shape,task_count,edge_count,edge_density,structural_closure_size
paper8-production-pra-oracle-scope-v1,dag-deep_narrow-s11,11,join,high,PRA_SESSION,paper7_native_hybrid,session,1,8,8,8,7,1.0,0.0,1,1,1,63,458,214,0,32768,1875968,212992,12972032,2.1242470000870526,0.17420180002227426,0.24595439992845058,6.053263599984348,4619,0.0,8,deep_narrow,8,7,0.25,8
paper8-production-pra-oracle-scope-v1,dag-deep_narrow-s11,11,join,high,PRA_TASK_STRUCT,paper7_native_hybrid,task_structural,1,8,8,8,7,1.0,0.0,1,1,1,63,458,214,0,32768,1875968,217088,13234176,1.920192499877885,0.19795010006055236,0.22261880012229085,6.016043299809098,4619,0.0,8,deep_narrow,8,7,0.25,8
paper8-production-pra-oracle-scope-v1,dag-deep_narrow-s23,23,join,high,PRA_SESSION,paper7_native_hybrid,session,1,8,7,8,7,0.8571428571428571,0.0,0,0,0,63,461,241,0,32768,1888256,204800,12640256,1.738098899833858,0.21907130000181496,0.22955219983123243,5.6823425001930445,4458,0.0,8,deep_narrow,8,7,0.25,8
paper8-production-pra-oracle-scope-v1,dag-deep_narrow-s23,23,join,high,PRA_TASK_STRUCT,paper7_native_hybrid,task_structural,1,8,7,8,7,0.8571428571428571,0.0,0,0,0,63,461,241,0,32768,1888256,202752,12546048,1.7249127000104636,0.15510770003311336,0.20747709996066988,5.71333139995113,4458,0.0,8,deep_narrow,8,7,0.25,8
paper8-production-pra-oracle-scope-v1,dag-deep_narrow-s37,37,join,high,PRA_SESSION,paper7_native_hybrid,session,1,8,8,8,7,1.0,0.0,1,0,0,63,459,227,0,32768,1880064,215040,13160448,1.9462514999322593,0.2068411000072956,0.21886340016499162,6.083101199939847,4654,0.0,8,deep_narrow,8,7,0.25,8
paper8-production-pra-oracle-scope-v1,dag-deep_narrow-s37,37,join,high,PRA_TASK_STRUCT,paper7_native_hybrid,task_structural,1,8,8,8,7,1.0,0.0,1,0,0,63,459,227,0,32768,1880064,215040,13160448,1.6751663000322878,0.1793476000893861,0.2452118000946939,6.162884699879214,4654,0.0,8,deep_narrow,8,7,0.25,8
paper8-production-pra-oracle-scope-v1,dag-deep_narrow-s53,53,join,high,PRA_SESSION,paper7_native_hybrid,session,1,8,8,8,7,1.0,0.0,1,1,1,63,460,215,0,32768,1884160,219136,13385728,1.8624877999536693,0.1627704999409616,0.23695649998262525,6.270684599876404,4617,0.0,8,deep_narrow,8,7,0.25,8
paper8-production-pra-oracle-scope-v1,dag-deep_narrow-s53,53,join,high,PRA_TASK_STRUCT,paper7_native_hybrid,task_structural,1,8,8,8,7,1.0,0.0,1,1,1,63,460,215,0,32768,1884160,219136,13254656,1.8300131000578403,0.1686827999074012,0.24529049987904727,6.153038199990988,4617,0.0,8,deep_narrow,8,7,0.25,8
paper8-production-pra-oracle-scope-v1,dag-deep_narrow-s71,71,join,high,PRA_SESSION,paper7_native_hybrid,session,1,8,7,8,7,0.8571428571428571,0.0,0,0,0,63,459,227,0,32768,1880064,202752,12349440,1.9907302998472005,0.20716889994218946,0.24433400016278028,5.709369099931791,4453,0.0,8,deep_narrow,8,7,0.25,8
paper8-production-pra-oracle-scope-v1,dag-deep_narrow-s71,71,join,high,PRA_TASK_STRUCT,paper7_native_hybrid,task_structural,1,8,7,8,7,0.8571428571428571,0.0,0,0,0,63,459,227,0,32768,1880064,204800,12566528,1.7641092000994831,0.1688659000210464,0.2185345001053065,5.677677500061691,4453,0.0,8,deep_narrow,8,7,0.25,8
paper8-production-pra-oracle-scope-v1,dag-shallow_wide-s11,11,join,high,PRA_SESSION,paper7_native_hybrid,session,1,8,8,8,7,1.0,0.0,1,1,1,63,458,214,0,32768,1875968,212992,13037568,1.7947164999786764,0.20820310013368726,0.21485599991865456,6.117094600107521,4619,0.0,8,shallow_wide,8,7,0.25,8
paper8-production-pra-oracle-scope-v1,dag-shallow_wide-s11,11,join,high,PRA_TASK_STRUCT,paper7_native_hybrid,task_structural,1,8,8,8,7,1.0,0.0,1,1,1,63,458,214,0,32768,1875968,212992,13103104,1.7254220999311656,0.2189030998852104,0.2603758000768721,6.316729000071064,4619,0.0,8,shallow_wide,8,7,0.25,8
paper8-production-pra-oracle-scope-v1,dag-shallow_wide-s23,23,join,high,PRA_SESSION,paper7_native_hybrid,session,1,8,7,8,7,0.8571428571428571,0.0,0,0,0,63,461,241,0,32768,1888256,202752,12513280,1.639816600130871,0.18286649999208748,0.2284834000747651,5.612387999892235,4458,0.0,8,shallow_wide,8,7,0.25,8
paper8-production-pra-oracle-scope-v1,dag-shallow_wide-s23,23,join,high,PRA_TASK_STRUCT,paper7_native_hybrid,task_structural,1,8,7,8,7,0.8571428571428571,0.0,0,0,0,63,461,241,0,32768,1888256,200704,12296192,1.8513072999194264,0.1979857999831438,0.2509504999034107,5.744619099888951,4458,0.0,8,shallow_wide,8,7,0.25,8
paper8-production-pra-oracle-scope-v1,dag-shallow_wide-s37,37,join,high,PRA_SESSION,paper7_native_hybrid,session,1,8,8,8,7,1.0,0.0,1,0,0,63,459,227,0,32768,1880064,212992,12791808,1.7467970000579953,0.1830066000111401,0.23296470008790493,6.374035699991509,4654,0.0,8,shallow_wide,8,7,0.25,8
paper8-production-pra-oracle-scope-v1,dag-shallow_wide-s37,37,join,high,PRA_TASK_STRUCT,paper7_native_hybrid,task_structural,1,8,8,8,7,1.0,0.0,1,0,0,63,459,227,0,32768,1880064,212992,12857344,2.0545696998015046,0.18393549998290837,0.22585940011776984,6.28812659997493,4654,0.0,8,shallow_wide,8,7,0.25,8
paper8-production-pra-oracle-scope-v1,dag-shallow_wide-s53,53,join,high,PRA_SESSION,paper7_native_hybrid,session,1,8,8,8,7,1.0,0.0,1,1,1,63,460,215,0,32768,1884160,215040,13238272,1.7404822001699358,0.13907840009778738,0.18105470016598701,6.229528200114146,4617,0.0,8,shallow_wide,8,7,0.25,8
paper8-production-pra-oracle-scope-v1,dag-shallow_wide-s53,53,join,high,PRA_TASK_STRUCT,paper7_native_hybrid,task_structural,1,8,8,8,7,1.0,0.0,1,1,1,63,460,215,0,32768,1884160,212992,13008896,1.7433577000629157,0.16418279986828566,0.23046360001899302,6.372333799954504,4617,0.0,8,shallow_wide,8,7,0.25,8
paper8-production-pra-oracle-scope-v1,dag-shallow_wide-s71,71,join,high,PRA_SESSION,paper7_native_hybrid,session,1,8,7,8,7,0.8571428571428571,0.0,0,0,0,63,459,227,0,32768,1880064,202752,12443648,1.648292399942875,0.08711850014515221,0.2439997000619769,5.6602713000029325,4453,0.0,8,shallow_wide,8,7,0.25,8
paper8-production-pra-oracle-scope-v1,dag-shallow_wide-s71,71,join,high,PRA_TASK_STRUCT,paper7_native_hybrid,task_structural,1,8,7,8,7,0.8571428571428571,0.0,0,0,0,63,459,227,0,32768,1880064,202752,12443648,1.6861940999515355,0.18517139996401966,0.21686109993606806,5.718930499861017,4453,0.0,8,shallow_wide,8,7,0.25,8
paper8-production-pra-oracle-scope-v1,dag-multi_fork-s11,11,join,high,PRA_SESSION,paper7_native_hybrid,session,1,8,7,8,2,1.0,0.5714285714285714,1,1,1,63,463,207,0,32768,1896448,204800,12603392,1.7742647998966277,0.12707070005126297,0.2419651998206973,5.669916599988937,4348,0.0,8,multi_fork,8,7,0.25,3
paper8-production-pra-oracle-scope-v1,dag-multi_fork-s11,11,join,high,PRA_TASK_STRUCT,paper7_native_hybrid,task_structural,1,3,3,6,2,1.0,0.0,1,1,1,63,179,179,0,12288,733184,118784,7393280,0.6517481000628322,0.20683689997531474,0.1435808001551777,3.2065039000008255,2854,0.0,8,multi_fork,8,7,0.25,3
paper8-production-pra-oracle-scope-v1,dag-multi_fork-s23,23,join,high,PRA_SESSION,paper7_native_hybrid,session,1,8,7,8,2,1.0,0.5714285714285714,1,1,1,63,474,209,0,34816,1941504,204800,12423168,1.9213777999393642,0.216220400063321,0.2650302001275122,5.964563800022006,4345,0.0,8,multi_fork,8,7,0.25,3
paper8-production-pra-oracle-scope-v1,dag-multi_fork-s23,23,join,high,PRA_TASK_STRUCT,paper7_native_hybrid,task_structural,1,3,3,6,2,1.0,0.0,1,1,1,63,179,179,0,12288,733184,120832,7536640,0.6199686999898404,0.1893260998185724,0.10984659986570477,3.359703600173816,2851,0.0,8,multi_fork,8,7,0.25,3
paper8-production-pra-oracle-scope-v1,dag-multi_fork-s37,37,join,high,PRA_SESSION,paper7_native_hybrid,session,1,8,7,8,2,1.0,0.5714285714285714,1,1,1,63,472,207,0,34816,1933312,204800,12410880,1.7713872001040727,0.18537409999407828,0.20183450006879866,5.7836392999161035,4350,0.0,8,multi_fork,8,7,0.25,3
paper8-production-pra-oracle-scope-v1,dag-multi_fork-s37,37,join,high,PRA_TASK_STRUCT,paper7_native_hybrid,task_structural,1,3,3,6,2,1.0,0.0,1,1,1,63,178,178,0,12288,729088,116736,7315456,0.6558870999142528,0.2006222999189049,0.12875579996034503,3.5371989998966455,2854,0.0,8,multi_fork,8,7,0.25,3
paper8-production-pra-oracle-scope-v1,dag-multi_fork-s53,53,join,high,PRA_SESSION,paper7_native_hybrid,session,1,8,7,8,2,1.0,0.5714285714285714,1,1,1,63,473,208,0,34816,1937408,204800,12328960,1.9297780999913812,0.17746070004068315,0.23090450000017881,5.72537919995375,4349,0.0,8,multi_fork,8,7,0.25,3
paper8-production-pra-oracle-scope-v1,dag-multi_fork-s53,53,join,high,PRA_TASK_STRUCT,paper7_native_hybrid,task_structural,1,3,3,6,2,1.0,0.0,1,1,1,63,180,180,0,12288,737280,116736,7233536,0.7350809001363814,0.1790201999247074,0.13278459990397096,3.9340337000321597,2856,0.0,8,multi_fork,8,7,0.25,3
paper8-production-pra-oracle-scope-v1,dag-multi_fork-s71,71,join,high,PRA_SESSION,paper7_native_hybrid,session,1,8,7,8,2,1.0,0.5714285714285714,1,1,1,63,472,207,0,34816,1933312,202752,12242944,1.6504095001146197,0.18468930013477802,0.2444823000114411,5.954109799815342,4354,0.0,8,multi_fork,8,7,0.25,3
paper8-production-pra-oracle-scope-v1,dag-multi_fork-s71,71,join,high,PRA_TASK_STRUCT,paper7_native_hybrid,task_structural,1,3,3,6,2,1.0,0.0,1,1,1,63,178,178,0,12288,729088,116736,7303168,0.7485961001366377,0.20545699982903898,0.1244668997824192,3.075305099831894,2855,0.0,8,multi_fork,8,7,0.25,3
paper8-production-pra-oracle-scope-v1,dag-multi_join-s11,11,join,high,PRA_SESSION,paper7_native_hybrid,session,1,8,8,8,7,1.0,0.0,1,1,1,63,458,214,0,32768,1875968,215040,13266944,1.8983634000178427,0.16747450013644993,0.23580200015567243,6.247640799963847,4619,0.0,8,multi_join,8,7,0.25,8
paper8-production-pra-oracle-scope-v1,dag-multi_join-s11,11,join,high,PRA_TASK_STRUCT,paper7_native_hybrid,task_structural,1,8,8,8,7,1.0,0.0,1,1,1,63,458,214,0,32768,1875968,212992,12972032,1.7196818999946117,0.1496819001622498,0.18044969998300076,6.1678476999513805,4619,0.0,8,multi_join,8,7,0.25,8
paper8-production-pra-oracle-scope-v1,dag-multi_join-s23,23,join,high,PRA_SESSION,paper7_native_hybrid,session,1,8,7,8,7,0.8571428571428571,0.0,0,0,0,63,461,241,0,32768,1888256,202752,12578816,1.8166153999045491,0.17378349998034537,0.2339361000340432,5.768386200070381,4458,0.0,8,multi_join,8,7,0.25,8
paper8-production-pra-oracle-scope-v1,dag-multi_join-s23,23,join,high,PRA_TASK_STRUCT,paper7_native_hybrid,task_structural,1,8,7,8,7,0.8571428571428571,0.0,0,0,0,63,461,241,0,32768,1888256,202752,12578816,1.8747586000245064,0.17683110013604164,0.20253370003774762,5.7188037999439985,4458,0.0,8,multi_join,8,7,0.25,8
paper8-production-pra-oracle-scope-v1,dag-multi_join-s37,37,join,high,PRA_SESSION,paper7_native_hybrid,session,1,8,8,8,7,1.0,0.0,1,0,0,63,459,227,0,32768,1880064,215040,13160448,1.7249562998767942,0.20309939980506897,0.22525650006718934,6.291707600001246,4654,0.0,8,multi_join,8,7,0.25,8
paper8-production-pra-oracle-scope-v1,dag-multi_join-s37,37,join,high,PRA_TASK_STRUCT,paper7_native_hybrid,task_structural,1,8,8,8,7,1.0,0.0,1,0,0,63,459,227,0,32768,1880064,212992,13062144,1.7454066998325288,0.18479590001516044,0.19997830013744533,6.2144209002144635,4654,0.0,8,multi_join,8,7,0.25,8
paper8-production-pra-oracle-scope-v1,dag-multi_join-s53,53,join,high,PRA_SESSION,paper7_native_hybrid,session,1,8,8,8,7,1.0,0.0,1,1,1,63,460,215,0,32768,1884160,212992,13066240,2.133150399895385,0.22876850003376603,0.2720003998838365,6.198388600023463,4617,0.0,8,multi_join,8,7,0.25,8
paper8-production-pra-oracle-scope-v1,dag-multi_join-s53,53,join,high,PRA_TASK_STRUCT,paper7_native_hybrid,task_structural,1,8,8,8,7,1.0,0.0,1,1,1,63,460,215,0,32768,1884160,215040,13230080,1.7442658999934793,0.09585270006209612,0.2058397000655532,6.19954299996607,4617,0.0,8,multi_join,8,7,0.25,8
paper8-production-pra-oracle-scope-v1,dag-multi_join-s71,71,join,high,PRA_SESSION,paper7_native_hybrid,session,1,8,7,8,7,0.8571428571428571,0.0,0,0,0,63,459,227,0,32768,1880064,202752,12296192,1.8282657000236213,0.19312619999982417,0.21691330010071397,5.823643899988383,4453,0.0,8,multi_join,8,7,0.25,8
paper8-production-pra-oracle-scope-v1,dag-multi_join-s71,71,join,high,PRA_TASK_STRUCT,paper7_native_hybrid,task_structural,1,8,7,8,7,0.8571428571428571,0.0,0,0,0,63,459,227,0,32768,1880064,206848,12730368,1.9577790999319404,0.1673220000229776,0.18309449986554682,5.980983100133017,4453,0.0,8,multi_join,8,7,0.25,8
paper8-production-pra-oracle-scope-v1,dag-balanced-s11,11,join,high,PRA_SESSION,paper7_native_hybrid,session,1,8,8,8,7,1.0,0.0,1,1,1,63,458,214,0,32768,1875968,212992,13119488,1.8296920000575483,0.18513849982991815,0.22596410010010004,5.975671800086275,4619,0.0,8,balanced,8,9,0.32142857142857145,8
paper8-production-pra-oracle-scope-v1,dag-balanced-s11,11,join,high,PRA_TASK_STRUCT,paper7_native_hybrid,task_structural,1,8,8,8,7,1.0,0.0,1,1,1,63,458,214,0,32768,1875968,210944,12955648,1.7401401000097394,0.1550207999534905,0.1987375000026077,6.07556840009056,4619,0.0,8,balanced,8,9,0.32142857142857145,8
paper8-production-pra-oracle-scope-v1,dag-balanced-s23,23,join,high,PRA_SESSION,paper7_native_hybrid,session,1,8,7,8,7,0.8571428571428571,0.0,0,0,0,63,461,241,0,32768,1888256,202752,12574720,1.8275775001384318,0.20524629997089505,0.23377440008334816,5.725348999956623,4458,0.0,8,balanced,8,9,0.32142857142857145,8
paper8-production-pra-oracle-scope-v1,dag-balanced-s23,23,join,high,PRA_TASK_STRUCT,paper7_native_hybrid,task_structural,1,8,7,8,7,0.8571428571428571,0.0,0,0,0,63,461,241,0,32768,1888256,206848,12701696,1.6980662001296878,0.18067080015316606,0.21802320005372167,5.822109799832106,4458,0.0,8,balanced,8,9,0.32142857142857145,8
paper8-production-pra-oracle-scope-v1,dag-balanced-s37,37,join,high,PRA_SESSION,paper7_native_hybrid,session,1,8,8,8,7,1.0,0.0,1,0,0,63,459,227,0,32768,1880064,212992,13127680,1.9016269000712782,0.17949289991520345,0.2324721000622958,6.328369300113991,4654,0.0,8,balanced,8,9,0.32142857142857145,8
paper8-production-pra-oracle-scope-v1,dag-balanced-s37,37,join,high,PRA_TASK_STRUCT,paper7_native_hybrid,task_structural,1,8,8,8,7,1.0,0.0,1,0,0,63,459,227,0,32768,1880064,212992,13127680,1.6578352998476475,0.12061760015785694,0.1696583000011742,6.308952599996701,4654,0.0,8,balanced,8,9,0.32142857142857145,8
paper8-production-pra-oracle-scope-v1,dag-balanced-s53,53,join,high,PRA_SESSION,paper7_native_hybrid,session,1,8,8,8,7,1.0,0.0,1,1,1,63,460,215,0,32768,1884160,215040,13148160,1.75934649980627,0.18860710016451776,0.21131260017864406,6.25108620012179,4617,0.0,8,balanced,8,9,0.32142857142857145,8
paper8-production-pra-oracle-scope-v1,dag-balanced-s53,53,join,high,PRA_TASK_STRUCT,paper7_native_hybrid,task_structural,1,8,8,8,7,1.0,0.0,1,1,1,63,460,215,0,32768,1884160,210944,12787712,1.7965115001425147,0.13233230006881058,0.2584145001601428,6.027360100066289,4617,0.0,8,balanced,8,9,0.32142857142857145,8
paper8-production-pra-oracle-scope-v1,dag-balanced-s71,71,join,high,PRA_SESSION,paper7_native_hybrid,session,1,8,7,8,7,0.8571428571428571,0.0,0,0,0,63,459,227,0,32768,1880064,202752,12365824,1.7081828999798745,0.22689329995773733,0.2488273000344634,5.7674100999720395,4453,0.0,8,balanced,8,9,0.32142857142857145,8
paper8-production-pra-oracle-scope-v1,dag-balanced-s71,71,join,high,PRA_TASK_STRUCT,paper7_native_hybrid,task_structural,1,8,7,8,7,0.8571428571428571,0.0,0,0,0,63,459,227,0,32768,1880064,200704,12242944,1.6089457999914885,0.10745880007743835,0.2692142999731004,5.670790799893439,4453,0.0,8,balanced,8,9,0.32142857142857145,8
