condition,n_total,n_correctly_routed,mean_unique_native_tokens,unconditional_end_to_end_accuracy,conditional_consumption_accuracy,semantic_sufficiency_rate,accuracy_given_semantic_sufficiency
NATIVE_FULL_SELECTED_RECORD_LATE_ONLY,15,15,80.2,0.0,0.0,1.0,0.0
NATIVE_FULL_SELECTED_RECORD_SPARSE_MULTI,15,15,80.2,0.0,0.0,1.0,0.0
NATIVE_W128_LATE_ONLY,15,15,80.2,0.0,0.0,1.0,0.0
NATIVE_W128_SPARSE_MULTI,15,15,80.2,0.0,0.0,1.0,0.0
NATIVE_W256_LATE_ONLY,15,15,80.2,0.0,0.0,1.0,0.0
NATIVE_W256_SPARSE_MULTI,15,15,80.2,0.0,0.0,1.0,0.0
NATIVE_W32_LATE_ONLY,15,15,79.06666666666666,0.0,0.0,0.9333333333333333,0.0
NATIVE_W512_LATE_ONLY,15,15,80.2,0.0,0.0,1.0,0.0
NATIVE_W64_LATE_ONLY,15,15,80.2,0.0,0.0,1.0,0.0
VISIBLE_FULL_SELECTED_RECORD,15,15,0.0,0.7333333333333333,0.7333333333333333,1.0,0.7333333333333333
