case_id,seed,fan_in,budget_chunks,evidence_available,required_record_recall,model_success,required_evidence_use,selected_native_tokens,prompt_tokens
join-capacity-2-s11,11,2,2,0,0.5,0,0.0,46,147
join-capacity-2-s11,11,2,4,1,1.0,1,1.0,103,237
join-capacity-2-s11,11,2,8,1,1.0,1,1.0,135,286
join-capacity-4-s11,11,4,2,0,0.25,0,0.0,64,165
join-capacity-4-s11,11,4,4,0,0.75,0,0.0,103,238
join-capacity-4-s11,11,4,8,1,1.0,0,0.0,224,425
join-capacity-8-s11,11,8,2,0,0.125,0,0.0,64,165
join-capacity-8-s11,11,8,4,0,0.375,0,0.0,109,244
join-capacity-8-s11,11,8,8,0,0.625,0,0.0,203,406
