case_id,configuration,scope_condition,chunk_budget,required_record_recall,selected_native_tokens,prompt_tokens,accounting_source
independent_parallel-low-s11,session_shallow,PRA_SESSION,2,1.0,64,70,production_encoded_chunk_spans
independent_parallel-low-s11,structural_selected,PRA_TASK_STRUCT,4,1.0,59,70,production_encoded_chunk_spans
independent_parallel-low-s11,structural_native,PRA_TASK_STRUCT,8,1.0,59,70,production_encoded_chunk_spans
independent_parallel-low-s11,local_deep,PRA_TASK_LOCAL,8,1.0,59,70,production_encoded_chunk_spans
linear_dependency-low-s23,session_shallow,PRA_SESSION,2,0.5,64,76,production_encoded_chunk_spans
linear_dependency-low-s23,structural_selected,PRA_TASK_STRUCT,4,1.0,102,76,production_encoded_chunk_spans
linear_dependency-low-s23,structural_native,PRA_TASK_STRUCT,8,1.0,102,76,production_encoded_chunk_spans
linear_dependency-low-s23,local_deep,PRA_TASK_LOCAL,8,0.5,57,76,production_encoded_chunk_spans
join-low-s37,session_shallow,PRA_SESSION,2,0.0,64,76,production_encoded_chunk_spans
join-low-s37,structural_selected,PRA_TASK_STRUCT,4,0.6666666666666666,122,76,production_encoded_chunk_spans
join-low-s37,structural_native,PRA_TASK_STRUCT,8,1.0,201,76,production_encoded_chunk_spans
join-low-s37,local_deep,PRA_TASK_LOCAL,8,0.0,58,76,production_encoded_chunk_spans
resumption-low-s53,session_shallow,PRA_SESSION,2,1.0,59,70,production_encoded_chunk_spans
resumption-low-s53,structural_selected,PRA_TASK_STRUCT,4,1.0,41,70,production_encoded_chunk_spans
resumption-low-s53,structural_native,PRA_TASK_STRUCT,8,1.0,41,70,production_encoded_chunk_spans
resumption-low-s53,local_deep,PRA_TASK_LOCAL,8,1.0,41,70,production_encoded_chunk_spans
conflicting_state-low-s71,session_shallow,PRA_SESSION,2,1.0,64,74,production_encoded_chunk_spans
conflicting_state-low-s71,structural_selected,PRA_TASK_STRUCT,4,1.0,50,74,production_encoded_chunk_spans
conflicting_state-low-s71,structural_native,PRA_TASK_STRUCT,8,1.0,50,74,production_encoded_chunk_spans
conflicting_state-low-s71,local_deep,PRA_TASK_LOCAL,8,1.0,50,74,production_encoded_chunk_spans
independent_parallel-medium-s11,session_shallow,PRA_SESSION,2,1.0,64,73,production_encoded_chunk_spans
independent_parallel-medium-s11,structural_selected,PRA_TASK_STRUCT,4,1.0,60,73,production_encoded_chunk_spans
independent_parallel-medium-s11,structural_native,PRA_TASK_STRUCT,8,1.0,60,73,production_encoded_chunk_spans
independent_parallel-medium-s11,local_deep,PRA_TASK_LOCAL,8,1.0,60,73,production_encoded_chunk_spans
linear_dependency-medium-s23,session_shallow,PRA_SESSION,2,0.5,64,79,production_encoded_chunk_spans
linear_dependency-medium-s23,structural_selected,PRA_TASK_STRUCT,4,1.0,110,79,production_encoded_chunk_spans
linear_dependency-medium-s23,structural_native,PRA_TASK_STRUCT,8,1.0,110,79,production_encoded_chunk_spans
linear_dependency-medium-s23,local_deep,PRA_TASK_LOCAL,8,0.5,61,79,production_encoded_chunk_spans
join-medium-s37,session_shallow,PRA_SESSION,2,0.0,64,79,production_encoded_chunk_spans
join-medium-s37,structural_selected,PRA_TASK_STRUCT,4,1.0,128,79,production_encoded_chunk_spans
join-medium-s37,structural_native,PRA_TASK_STRUCT,8,1.0,210,79,production_encoded_chunk_spans
join-medium-s37,local_deep,PRA_TASK_LOCAL,8,0.0,61,79,production_encoded_chunk_spans
resumption-medium-s53,session_shallow,PRA_SESSION,2,1.0,64,73,production_encoded_chunk_spans
resumption-medium-s53,structural_selected,PRA_TASK_STRUCT,4,1.0,44,73,production_encoded_chunk_spans
resumption-medium-s53,structural_native,PRA_TASK_STRUCT,8,1.0,44,73,production_encoded_chunk_spans
resumption-medium-s53,local_deep,PRA_TASK_LOCAL,8,1.0,44,73,production_encoded_chunk_spans
conflicting_state-medium-s71,session_shallow,PRA_SESSION,2,1.0,64,74,production_encoded_chunk_spans
conflicting_state-medium-s71,structural_selected,PRA_TASK_STRUCT,4,1.0,49,74,production_encoded_chunk_spans
conflicting_state-medium-s71,structural_native,PRA_TASK_STRUCT,8,1.0,49,74,production_encoded_chunk_spans
conflicting_state-medium-s71,local_deep,PRA_TASK_LOCAL,8,1.0,49,74,production_encoded_chunk_spans
independent_parallel-high-s11,session_shallow,PRA_SESSION,2,1.0,64,76,production_encoded_chunk_spans
independent_parallel-high-s11,structural_selected,PRA_TASK_STRUCT,4,1.0,64,76,production_encoded_chunk_spans
independent_parallel-high-s11,structural_native,PRA_TASK_STRUCT,8,1.0,64,76,production_encoded_chunk_spans
independent_parallel-high-s11,local_deep,PRA_TASK_LOCAL,8,1.0,64,76,production_encoded_chunk_spans
linear_dependency-high-s23,session_shallow,PRA_SESSION,2,0.5,64,82,production_encoded_chunk_spans
linear_dependency-high-s23,structural_selected,PRA_TASK_STRUCT,4,1.0,114,82,production_encoded_chunk_spans
linear_dependency-high-s23,structural_native,PRA_TASK_STRUCT,8,1.0,114,82,production_encoded_chunk_spans
