protocol,case_id,seed,scenario,confusability,condition,router,scope_policy,candidate_records,selected_records,required_record_recall,cross_task_contamination,evidence_selected,evidence_materialized,active_native_tokens,routing_seconds,oracle_task_graph,selected_chunks,required_records,evidence_available,prompt_tokens,candidate_native_tokens,requested_native_tokens,routing_index_bytes,resident_detail_kv_bytes,post_materialization_routing_index_bytes,post_materialization_resident_detail_kv_bytes,index_seconds,query_encoding_seconds,materialization_seconds,materialized_bytes,generation_seconds,top_k
paper8-production-pra-oracle-scope-v1,independent_parallel-low-s11,11,independent_parallel,low,PRA_SESSION_LEXICAL,lexical_recency_control,session,8,8,1.0,0.875,1,0,0,0.00015020021237432957,,,,,,,,,,,,,,,,,
paper8-production-pra-oracle-scope-v1,independent_parallel-low-s11,11,independent_parallel,low,PRA_SESSION,paper7_native_hybrid,session,8,4,1.0,0.75,1,1,0,0.7294781000819057,1,8,1,1,70,411,211,32768,1683456,172032,10416128,2.0444096999708563,0.10346730006858706,3.8107235999777913,3626,0.0,8
paper8-production-pra-oracle-scope-v1,independent_parallel-low-s11,11,independent_parallel,low,PRA_TASK_LOCAL_LEXICAL,lexical_recency_control,task_local,1,1,1.0,0.0,1,0,0,0.000274500111117959,,,,,,,,,,,,,,,,,
paper8-production-pra-oracle-scope-v1,independent_parallel-low-s11,11,independent_parallel,low,PRA_TASK_LOCAL,paper7_native_hybrid,task_local,1,1,1.0,0.0,1,1,0,0.08745780005119741,1,2,1,1,70,59,59,4096,241664,40960,2510848,0.24024279997684062,0.18725380022078753,0.9484571998473257,927,0.0,8
paper8-production-pra-oracle-scope-v1,independent_parallel-low-s11,11,independent_parallel,low,PRA_TASK_STRUCT_LEXICAL,lexical_recency_control,task_structural,1,1,1.0,0.0,1,0,0,0.00020870007574558258,,,,,,,,,,,,,,,,,
paper8-production-pra-oracle-scope-v1,independent_parallel-low-s11,11,independent_parallel,low,PRA_TASK_STRUCT,paper7_native_hybrid,task_structural,1,1,1.0,0.0,1,1,0,0.08403509994968772,1,2,1,1,70,59,59,4096,241664,38912,2465792,0.21147589990869164,0.1720189000479877,0.9412086999509484,927,0.0,8
paper8-production-pra-oracle-scope-v1,linear_dependency-low-s23,23,linear_dependency,low,PRA_SESSION_LEXICAL,lexical_recency_control,session,8,8,1.0,0.75,1,0,0,0.00017470004968345165,,,,,,,,,,,,,,,,,
paper8-production-pra-oracle-scope-v1,linear_dependency-low-s23,23,linear_dependency,low,PRA_SESSION,paper7_native_hybrid,session,8,6,1.0,0.6666666666666666,1,1,0,0.2368714001495391,1,8,2,1,76,408,230,32768,1671168,192512,11530240,1.7489079998340458,0.1691907001659274,4.810941800009459,4161,0.0,8
paper8-production-pra-oracle-scope-v1,linear_dependency-low-s23,23,linear_dependency,low,PRA_TASK_LOCAL_LEXICAL,lexical_recency_control,task_local,1,1,0.5,0.0,0,0,0,0.00024419999681413174,,,,,,,,,,,,,,,,,
paper8-production-pra-oracle-scope-v1,linear_dependency-low-s23,23,linear_dependency,low,PRA_TASK_LOCAL,paper7_native_hybrid,task_local,1,1,0.5,0.0,0,0,0,0.07664550002664328,1,2,2,0,76,57,57,4096,233472,38912,2412544,0.32398379989899695,0.18410600000061095,0.9206465999595821,926,0.0,8
paper8-production-pra-oracle-scope-v1,linear_dependency-low-s23,23,linear_dependency,low,PRA_TASK_STRUCT_LEXICAL,lexical_recency_control,task_structural,2,2,1.0,0.0,1,0,0,0.0003029999788850546,,,,,,,,,,,,,,,,,
paper8-production-pra-oracle-scope-v1,linear_dependency-low-s23,23,linear_dependency,low,PRA_TASK_STRUCT,paper7_native_hybrid,task_structural,2,2,1.0,0.0,1,1,0,0.10912259994074702,1,4,2,1,76,102,102,8192,417792,77824,4820992,0.4040614999830723,0.19097759993746877,1.916460300097242,1813,0.0,8
paper8-production-pra-oracle-scope-v1,join-low-s37,37,join,low,PRA_SESSION_LEXICAL,lexical_recency_control,session,8,8,1.0,0.5,1,0,0,0.00017339992336928844,,,,,,,,,,,,,,,,,
paper8-production-pra-oracle-scope-v1,join-low-s37,37,join,low,PRA_SESSION,paper7_native_hybrid,session,8,5,0.3333333333333333,0.6,0,0,0,0.23353409999981523,1,8,3,0,76,406,210,32768,1662976,180224,10866688,1.890812500147149,0.2083794001955539,4.306968400022015,3858,0.0,8
paper8-production-pra-oracle-scope-v1,join-low-s37,37,join,low,PRA_TASK_LOCAL_LEXICAL,lexical_recency_control,task_local,1,1,0.0,0.0,0,0,0,0.0003022998571395874,,,,,,,,,,,,,,,,,
paper8-production-pra-oracle-scope-v1,join-low-s37,37,join,low,PRA_TASK_LOCAL,paper7_native_hybrid,task_local,1,1,0.0,0.0,0,0,0,0.08318729978054762,1,2,3,0,76,58,58,4096,237568,40960,2502656,0.24808329995721579,0.2102012000977993,0.9747139001265168,933,0.0,8
paper8-production-pra-oracle-scope-v1,join-low-s37,37,join,low,PRA_TASK_STRUCT_LEXICAL,lexical_recency_control,task_structural,4,4,1.0,0.0,1,0,0,0.00033139996230602264,,,,,,,,,,,,,,,,,
paper8-production-pra-oracle-scope-v1,join-low-s37,37,join,low,PRA_TASK_STRUCT,paper7_native_hybrid,task_structural,4,4,1.0,0.0,1,1,0,0.22719250014051795,1,8,3,1,76,201,201,16384,823296,157696,9596928,0.811708000022918,0.11632220004685223,4.025615199934691,3545,0.0,8
paper8-production-pra-oracle-scope-v1,resumption-low-s53,53,resumption,low,PRA_SESSION_LEXICAL,lexical_recency_control,session,8,8,1.0,0.875,1,0,0,0.00030019995756447315,,,,,,,,,,,,,,,,,
paper8-production-pra-oracle-scope-v1,resumption-low-s53,53,resumption,low,PRA_SESSION,paper7_native_hybrid,session,8,5,1.0,0.8,1,1,0,0.25222959998063743,1,8,1,1,70,410,186,32768,1679360,180224,10874880,1.5924925999715924,0.15456539997830987,4.658046799944714,3759,0.0,8
paper8-production-pra-oracle-scope-v1,resumption-low-s53,53,resumption,low,PRA_TASK_LOCAL_LEXICAL,lexical_recency_control,task_local,1,1,1.0,0.0,1,0,0,0.0006663999520242214,,,,,,,,,,,,,,,,,
paper8-production-pra-oracle-scope-v1,resumption-low-s53,53,resumption,low,PRA_TASK_LOCAL,paper7_native_hybrid,task_local,1,1,1.0,0.0,1,1,0,0.07744290004484355,1,2,1,1,70,41,41,4096,167936,38912,2314240,0.3702752001117915,0.19132369989529252,1.041577500058338,848,0.0,8
paper8-production-pra-oracle-scope-v1,resumption-low-s53,53,resumption,low,PRA_TASK_STRUCT_LEXICAL,lexical_recency_control,task_structural,1,1,1.0,0.0,1,0,0,0.00028300005942583084,,,,,,,,,,,,,,,,,
paper8-production-pra-oracle-scope-v1,resumption-low-s53,53,resumption,low,PRA_TASK_STRUCT,paper7_native_hybrid,task_structural,1,1,1.0,0.0,1,1,0,0.08151020016521215,1,2,1,1,70,41,41,4096,167936,38912,2338816,0.22164470003917813,0.18479650001972914,1.0164040999952704,848,0.0,8
paper8-production-pra-oracle-scope-v1,conflicting_state-low-s71,71,conflicting_state,low,PRA_SESSION_LEXICAL,lexical_recency_control,session,8,8,1.0,0.875,1,0,0,0.00016589998267591,,,,,,,,,,,,,,,,,
paper8-production-pra-oracle-scope-v1,conflicting_state-low-s71,71,conflicting_state,low,PRA_SESSION,paper7_native_hybrid,session,8,6,1.0,0.8333333333333334,1,0,0,0.20192769984714687,1,8,1,0,74,433,252,32768,1773568,194560,11894784,1.8099032000172883,0.1725742002017796,5.068893100135028,4280,0.0,8
paper8-production-pra-oracle-scope-v1,conflicting_state-low-s71,71,conflicting_state,low,PRA_TASK_LOCAL_LEXICAL,lexical_recency_control,task_local,1,1,1.0,0.0,1,0,0,0.00025100004859268665,,,,,,,,,,,,,,,,,
