active_native_kv_tokens,backend,evidence_recall,measurement_scope,probes,search_latency_p50_seconds,seed
128.0,coarse_to_fine,1.0,controlled measured routing frontier,4,0.001979400054551661,17
256.0,coarse_to_fine,1.0,controlled measured routing frontier,1,0.0018866000464186072,17
64.0,coarse_to_fine,1.0,controlled measured routing frontier,1,0.002010999945923686,29
32.0,coarse_to_fine,1.0,controlled measured routing frontier,1,0.0020619999850168824,53
