backend,device,escalation_rate,evidence_recall,expected_active_kv_tokens,expected_layer_token_kv_states,logical_tokens,max_budget_rate,measured,measurement_scope,memory_nodes,path_recall,probes,root_recall,seed,task_accuracy,threshold,training_regime
coarse_to_fine,cuda,0.0,1.0,32.0,64.0,32768,0.0,True,oracle-free score-gap controller on controlled retrieval,1024,1.0,4,1.0,17,1.0,0.0,PRA-native routing surrogate; no LM checkpoint
coarse_to_fine,cuda,0.0,1.0,32.0,64.0,32768,0.0,True,oracle-free score-gap controller on controlled retrieval,1024,1.0,4,1.0,17,1.0,0.03,PRA-native routing surrogate; no LM checkpoint
coarse_to_fine,cuda,0.0,1.0,32.0,64.0,32768,0.0,True,oracle-free score-gap controller on controlled retrieval,1024,1.0,4,1.0,17,1.0,0.06,PRA-native routing surrogate; no LM checkpoint
coarse_to_fine,cuda,0.0,1.0,32.0,64.0,32768,0.0,True,oracle-free score-gap controller on controlled retrieval,1024,1.0,4,1.0,17,1.0,0.1,PRA-native routing surrogate; no LM checkpoint
coarse_to_fine,cuda,0.0,1.0,32.0,64.0,131072,0.0,True,oracle-free score-gap controller on controlled retrieval,4096,1.0,4,1.0,17,1.0,0.0,PRA-native routing surrogate; no LM checkpoint
coarse_to_fine,cuda,0.0,1.0,32.0,64.0,131072,0.0,True,oracle-free score-gap controller on controlled retrieval,4096,1.0,4,1.0,17,1.0,0.03,PRA-native routing surrogate; no LM checkpoint
coarse_to_fine,cuda,0.0,1.0,32.0,64.0,131072,0.0,True,oracle-free score-gap controller on controlled retrieval,4096,1.0,4,1.0,17,1.0,0.06,PRA-native routing surrogate; no LM checkpoint
coarse_to_fine,cuda,0.0,1.0,32.0,64.0,131072,0.0,True,oracle-free score-gap controller on controlled retrieval,4096,1.0,4,1.0,17,1.0,0.1,PRA-native routing surrogate; no LM checkpoint
coarse_to_fine,cuda,0.0,1.0,32.0,64.0,524288,0.0,True,oracle-free score-gap controller on controlled retrieval,16384,1.0,4,1.0,17,1.0,0.0,PRA-native routing surrogate; no LM checkpoint
coarse_to_fine,cuda,0.0,1.0,32.0,64.0,524288,0.0,True,oracle-free score-gap controller on controlled retrieval,16384,1.0,4,1.0,17,1.0,0.03,PRA-native routing surrogate; no LM checkpoint
coarse_to_fine,cuda,0.0,1.0,32.0,64.0,524288,0.0,True,oracle-free score-gap controller on controlled retrieval,16384,1.0,4,1.0,17,1.0,0.06,PRA-native routing surrogate; no LM checkpoint
coarse_to_fine,cuda,0.0,1.0,32.0,64.0,524288,0.0,True,oracle-free score-gap controller on controlled retrieval,16384,1.0,4,1.0,17,1.0,0.1,PRA-native routing surrogate; no LM checkpoint
coarse_to_fine,cuda,0.0,1.0,32.0,64.0,2097152,0.0,True,oracle-free score-gap controller on controlled retrieval,65536,1.0,4,1.0,17,1.0,0.0,PRA-native routing surrogate; no LM checkpoint
coarse_to_fine,cuda,0.0,1.0,32.0,64.0,2097152,0.0,True,oracle-free score-gap controller on controlled retrieval,65536,1.0,4,1.0,17,1.0,0.03,PRA-native routing surrogate; no LM checkpoint
coarse_to_fine,cuda,0.0,1.0,32.0,64.0,2097152,0.0,True,oracle-free score-gap controller on controlled retrieval,65536,1.0,4,1.0,17,1.0,0.06,PRA-native routing surrogate; no LM checkpoint
coarse_to_fine,cuda,0.0,1.0,32.0,64.0,2097152,0.0,True,oracle-free score-gap controller on controlled retrieval,65536,1.0,4,1.0,17,1.0,0.1,PRA-native routing surrogate; no LM checkpoint
coarse_to_fine,cuda,0.0,1.0,32.0,64.0,8388608,0.0,True,oracle-free score-gap controller on controlled retrieval,262144,1.0,4,1.0,17,1.0,0.0,PRA-native routing surrogate; no LM checkpoint
coarse_to_fine,cuda,0.0,1.0,32.0,64.0,8388608,0.0,True,oracle-free score-gap controller on controlled retrieval,262144,1.0,4,1.0,17,1.0,0.03,PRA-native routing surrogate; no LM checkpoint
coarse_to_fine,cuda,0.0,1.0,32.0,64.0,8388608,0.0,True,oracle-free score-gap controller on controlled retrieval,262144,1.0,4,1.0,17,1.0,0.06,PRA-native routing surrogate; no LM checkpoint
coarse_to_fine,cuda,0.0,1.0,32.0,64.0,8388608,0.0,True,oracle-free score-gap controller on controlled retrieval,262144,1.0,4,1.0,17,1.0,0.1,PRA-native routing surrogate; no LM checkpoint
coarse_to_fine,cuda,0.0,1.0,32.0,64.0,32768,0.0,True,oracle-free score-gap controller on controlled retrieval,1024,1.0,4,1.0,29,1.0,0.0,PRA-native routing surrogate; no LM checkpoint
coarse_to_fine,cuda,0.0,1.0,32.0,64.0,32768,0.0,True,oracle-free score-gap controller on controlled retrieval,1024,1.0,4,1.0,29,1.0,0.03,PRA-native routing surrogate; no LM checkpoint
coarse_to_fine,cuda,0.0,1.0,32.0,64.0,32768,0.0,True,oracle-free score-gap controller on controlled retrieval,1024,1.0,4,1.0,29,1.0,0.06,PRA-native routing surrogate; no LM checkpoint
coarse_to_fine,cuda,0.0,1.0,32.0,64.0,32768,0.0,True,oracle-free score-gap controller on controlled retrieval,1024,1.0,4,1.0,29,1.0,0.1,PRA-native routing surrogate; no LM checkpoint
coarse_to_fine,cuda,0.0,1.0,32.0,64.0,131072,0.0,True,oracle-free score-gap controller on controlled retrieval,4096,1.0,4,1.0,29,1.0,0.0,PRA-native routing surrogate; no LM checkpoint
coarse_to_fine,cuda,0.0,1.0,32.0,64.0,131072,0.0,True,oracle-free score-gap controller on controlled retrieval,4096,1.0,4,1.0,29,1.0,0.03,PRA-native routing surrogate; no LM checkpoint
coarse_to_fine,cuda,0.0,1.0,32.0,64.0,131072,0.0,True,oracle-free score-gap controller on controlled retrieval,4096,1.0,4,1.0,29,1.0,0.06,PRA-native routing surrogate; no LM checkpoint
coarse_to_fine,cuda,0.0,1.0,32.0,64.0,131072,0.0,True,oracle-free score-gap controller on controlled retrieval,4096,1.0,4,1.0,29,1.0,0.1,PRA-native routing surrogate; no LM checkpoint
coarse_to_fine,cuda,0.0,1.0,32.0,64.0,524288,0.0,True,oracle-free score-gap controller on controlled retrieval,16384,1.0,4,1.0,29,1.0,0.0,PRA-native routing surrogate; no LM checkpoint
coarse_to_fine,cuda,0.0,1.0,32.0,64.0,524288,0.0,True,oracle-free score-gap controller on controlled retrieval,16384,1.0,4,1.0,29,1.0,0.03,PRA-native routing surrogate; no LM checkpoint
coarse_to_fine,cuda,0.0,1.0,32.0,64.0,524288,0.0,True,oracle-free score-gap controller on controlled retrieval,16384,1.0,4,1.0,29,1.0,0.06,PRA-native routing surrogate; no LM checkpoint
coarse_to_fine,cuda,0.0,1.0,32.0,64.0,524288,0.0,True,oracle-free score-gap controller on controlled retrieval,16384,1.0,4,1.0,29,1.0,0.1,PRA-native routing surrogate; no LM checkpoint
coarse_to_fine,cuda,0.0,1.0,32.0,64.0,2097152,0.0,True,oracle-free score-gap controller on controlled retrieval,65536,1.0,4,1.0,29,1.0,0.0,PRA-native routing surrogate; no LM checkpoint
