active_native_kv_tokens,backend,comparisons,consumer_layers,cpu_reference_bytes,device,dtype,encode_granularity_tokens,evidence_recall,gpu_active_kv_bytes,h2d_bytes,index_build_seconds,layer_token_kv_states,logical_to_active_ratio,logical_tokens,materialize_granularity_tokens,measured,measurement_scope,memory_nodes,path_recall,peak_device_bytes,probes,queries_per_second,requested_active_kv_tokens,root_recall,routing_index_bytes,search_granularity_tokens,search_latency_p50_seconds,search_latency_p95_seconds,seed,task_accuracy,total_layers,training_regime
256,coarse_to_fine,4352,2,131072,cuda,float32,32,1.0,262144,262144,0.14211759995669127,512,128.0,32768,8,True,controlled fixed-working-set retrieval,1024,1.0,1056768,16,3736.7462217222214,256,1.0,270336,32,0.0021409000037238,0.002568540011998266,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
512,exact_gemm,8192,2,131072,cuda,float32,32,1.0,524288,524288,0.14211759995669127,1024,64.0,32768,8,True,controlled fixed-working-set retrieval,1024,1.0,1056768,32,32219.08617311514,512,1.0,270336,32,0.00024830002803355455,0.00041230999631807207,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
256,coarse_to_fine,512,2,131072,cuda,float32,32,1.0,262144,262144,0.14211759995669127,512,128.0,32768,8,True,controlled fixed-working-set retrieval,1024,1.0,1056768,1,4073.527296990143,512,1.0,270336,32,0.0019638999365270138,0.0030791600467637175,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
512,coarse_to_fine,1280,2,131072,cuda,float32,32,1.0,524288,524288,0.14211759995669127,1024,64.0,32768,8,True,controlled fixed-working-set retrieval,1024,1.0,1056768,4,3577.9775024100245,512,1.0,270336,32,0.0022359000286087394,0.003161869943141937,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
512,coarse_to_fine,4352,2,131072,cuda,float32,32,1.0,524288,524288,0.14211759995669127,1024,64.0,32768,8,True,controlled fixed-working-set retrieval,1024,1.0,1056768,16,3336.9483916509807,512,1.0,270336,32,0.0023973999777808785,0.0028139600064605473,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
1024,exact_gemm,8192,2,131072,cuda,float32,32,1.0,1048576,1048576,0.14211759995669127,2048,32.0,32768,8,True,controlled fixed-working-set retrieval,1024,1.0,1056768,32,22154.52341169363,1024,1.0,270336,32,0.0003611000720411539,0.00038786996155977245,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
256,coarse_to_fine,512,2,131072,cuda,float32,32,1.0,262144,262144,0.14211759995669127,512,128.0,32768,8,True,controlled fixed-working-set retrieval,1024,1.0,1056768,1,4065.2472860481685,1024,1.0,270336,32,0.0019678999669849873,0.002541280025616288,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
1024,coarse_to_fine,1280,2,131072,cuda,float32,32,1.0,1048576,1048576,0.14211759995669127,2048,32.0,32768,8,True,controlled fixed-working-set retrieval,1024,1.0,1056768,4,3872.5917058620225,1024,1.0,270336,32,0.0020658000139519572,0.0030523200868628917,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
1024,coarse_to_fine,4352,2,131072,cuda,float32,32,1.0,1048576,1048576,0.14211759995669127,2048,32.0,32768,8,True,controlled fixed-working-set retrieval,1024,1.0,1056768,16,3906.8223026447035,1024,1.0,270336,32,0.002047699992544949,0.00257191996788606,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
32,exact_gemm,32768,2,524288,cuda,float32,32,1.0,32768,32768,0.005381800001487136,64,4096.0,131072,8,True,controlled fixed-working-set retrieval,4096,1.0,12838400,64,26533.99954669452,32,1.0,1064960,32,0.00030149996746331453,0.00031771000940352675,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
