active_native_kv_tokens,backend,comparisons,consumer_layers,cpu_reference_bytes,device,dtype,encode_granularity_tokens,evidence_recall,gpu_active_kv_bytes,h2d_bytes,index_build_seconds,layer_token_kv_states,logical_to_active_ratio,logical_tokens,materialize_granularity_tokens,measured,measurement_scope,memory_nodes,path_recall,peak_device_bytes,probes,queries_per_second,requested_active_kv_tokens,root_recall,routing_index_bytes,search_granularity_tokens,search_latency_p50_seconds,search_latency_p95_seconds,seed,task_accuracy,total_layers,training_regime
128,exact_gemm,8192,2,131072,cuda,float32,32,1.0,131072,131072,0.14211759995669127,256,256.0,32768,8,True,controlled fixed-working-set retrieval,1024,1.0,1056768,32,36563.06524258331,128,1.0,270336,32,0.0002188000362366438,0.00029060995439067483,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,1280,2,131072,cuda,float32,32,1.0,131072,131072,0.00520619994495064,256,256.0,32768,8,True,controlled fixed-working-set retrieval,1024,1.0,9697792,4,4000.600137437263,128,1.0,270336,32,0.0019996999762952328,0.0025527900434099133,53,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,exact_gemm,32768,2,524288,cuda,float32,32,1.0,131072,131072,0.004750699969008565,256,1024.0,131072,8,True,controlled fixed-working-set retrieval,4096,1.0,12838400,64,30165.90793445801,128,1.0,1064960,32,0.0002652000403031707,0.0003715600119903683,53,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,2560,2,524288,cuda,float32,32,1.0,131072,131072,0.004750699969008565,256,1024.0,131072,8,True,controlled fixed-working-set retrieval,4096,1.0,12838400,4,3740.4152075380175,128,1.0,1064960,32,0.002138799987733364,0.0023747000377625227,53,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,exact_gemm,131072,2,2097152,cuda,float32,32,1.0,131072,131072,0.00583449995610863,256,4096.0,524288,8,True,controlled fixed-working-set retrieval,16384,1.0,25444864,128,13715.06901514397,128,1.0,4227072,32,0.0005833000177517533,0.0005984600516967476,53,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,5120,2,2097152,cuda,float32,32,1.0,131072,131072,0.00583449995610863,256,4096.0,524288,8,True,controlled fixed-working-set retrieval,16384,1.0,25444864,4,3998.0007944865333,128,1.0,4227072,32,0.002001000102609396,0.0026587900472804897,53,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,exact_gemm,524288,2,8388608,cuda,float32,32,1.0,131072,131072,0.013983099954202771,256,16384.0,2097152,8,True,controlled fixed-working-set retrieval,65536,1.0,75815424,256,5067.139500253248,128,1.0,16842752,32,0.0015788000309839845,0.001626300043426454,53,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,10240,2,8388608,cuda,float32,32,1.0,131072,131072,0.013983099954202771,256,16384.0,2097152,8,True,controlled fixed-working-set retrieval,65536,1.0,75815424,4,3729.4298013341713,128,1.0,16842752,32,0.0021451000357046723,0.00221810006769374,53,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,exact_gemm,2097152,2,33554432,cuda,float32,32,1.0,131072,131072,0.04930079996120185,256,65536.0,8388608,8,True,controlled fixed-working-set retrieval,262144,1.0,277207552,512,1358.7879585556234,128,1.0,67239936,32,0.005887600011192262,0.005946839996613562,53,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,20480,2,33554432,cuda,float32,32,1.0,131072,131072,0.04930079996120185,256,65536.0,8388608,8,True,controlled fixed-working-set retrieval,262144,1.0,277207552,4,3894.27069399583,128,1.0,67239936,32,0.0020542999263852835,0.0027678999002091584,53,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,exact_gemm,8192,2,131072,cuda,float32,32,1.0,131072,131072,0.0045386001002043486,256,256.0,32768,8,True,controlled fixed-working-set retrieval,1024,1.0,9697792,32,35056.96889384524,128,1.0,270336,32,0.00022819999139755964,0.0002833300153724849,67,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,1280,2,131072,cuda,float32,32,1.0,131072,131072,0.0045386001002043486,256,256.0,32768,8,True,controlled fixed-working-set retrieval,1024,1.0,9697792,4,3639.8380734304787,128,1.0,270336,32,0.002197899972088635,0.0024877200252376493,67,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,exact_gemm,32768,2,524288,cuda,float32,32,1.0,131072,131072,0.005026599974371493,256,1024.0,131072,8,True,controlled fixed-working-set retrieval,4096,1.0,12838400,64,29895.359674106774,128,1.0,1064960,32,0.00026760005857795477,0.0002982900128699839,67,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,2560,2,524288,cuda,float32,32,1.0,131072,131072,0.005026599974371493,256,1024.0,131072,8,True,controlled fixed-working-set retrieval,4096,1.0,12838400,4,3480.530897240291,128,1.0,1064960,32,0.002298499923199415,0.003110099979676306,67,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,exact_gemm,131072,2,2097152,cuda,float32,32,1.0,131072,131072,0.005776599980890751,256,4096.0,524288,8,True,controlled fixed-working-set retrieval,16384,1.0,25444864,128,13218.771709766499,128,1.0,4227072,32,0.0006051999516785145,0.0006476799608208239,67,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,5120,2,2097152,cuda,float32,32,1.0,131072,131072,0.005776599980890751,256,4096.0,524288,8,True,controlled fixed-working-set retrieval,16384,1.0,25444864,4,3671.577496093309,128,1.0,4227072,32,0.0021788999438285828,0.0025420199846848844,67,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,exact_gemm,524288,2,8388608,cuda,float32,32,1.0,131072,131072,0.013935100054368377,256,16384.0,2097152,8,True,controlled fixed-working-set retrieval,65536,1.0,75815424,256,4678.08904706832,128,1.0,16842752,32,0.0017100999830290675,0.0017826799885369837,67,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,10240,2,8388608,cuda,float32,32,1.0,131072,131072,0.013935100054368377,256,16384.0,2097152,8,True,controlled fixed-working-set retrieval,65536,1.0,75815424,4,3860.2585177292094,128,1.0,16842752,32,0.0020724000642076135,0.002590299968142062,67,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,exact_gemm,2097152,2,33554432,cuda,float32,32,1.0,131072,131072,0.049317700089886785,256,65536.0,8388608,8,True,controlled fixed-working-set retrieval,262144,1.0,277207552,512,1359.4806810725634,128,1.0,67239936,32,0.005884599988348782,0.006022160011343658,67,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,20480,2,33554432,cuda,float32,32,1.0,131072,131072,0.049317700089886785,256,65536.0,8388608,8,True,controlled fixed-working-set retrieval,262144,1.0,277207552,4,3747.423721241903,128,1.0,67239936,32,0.0021347999572753906,0.002343389939051121,67,1.0,8,PRA-native routing surrogate; no LM checkpoint
