backend,device,evidence_recall,hardware,logical_tokens,measured,measurement_scope,memory_nodes,queries_per_second,search_latency_p50_seconds,search_latency_p95_seconds
exact_gemm,cpu,1.0,"Intel64 Family 6 Model 94 Stepping 3, GenuineIntel",131072,True,routing microbenchmark,4096,24257.129199141535,0.00032979995012283325,0.0006686500273644924
exact_gemm,cpu,1.0,"Intel64 Family 6 Model 94 Stepping 3, GenuineIntel",2097152,True,routing microbenchmark,65536,2532.126385757432,0.003159399959258735,0.003694750019349158
exact_gemm,cuda,1.0,NVIDIA GeForce GTX 950M,131072,True,routing microbenchmark,4096,6020.469114460398,0.001328800106421113,0.001435949990991503
exact_gemm,cuda,1.0,NVIDIA GeForce GTX 950M,2097152,True,routing microbenchmark,65536,861.4191941151485,0.009286999935284257,0.009378849994391203
,mps,,Apple Silicon,,False,planned; hardware unavailable in this run,,,,
