final_train_loss,measured,measurement_scope,model,seed,tokens_per_second,trainable_fraction,training_cost_usd,training_flops,training_regime,training_seconds,training_steps,training_tokens
0.7637188643217087,True,inherited Paper 4 controlled training,global_sa,17,9291.426077333643,1.0,,,global_sa,191.78692109999247,800,1781974
1.167848026752472,True,inherited Paper 4 controlled training,local_sa,17,9307.540076044806,1.0,,,local_sa,191.45488340000156,800,1781974
nan,True,inherited Paper 4 controlled training,frozen,17,0.0,0.0,,,Frozen,0.0,0,0
1.1601092278957368,True,inherited Paper 4 controlled training,consumer_lora,17,3820.0942385829326,0.031154381084840057,,,LoRA,198.97257830004673,500,760094
1.0943865329027176,True,inherited Paper 4 controlled training,interface_lora,17,3743.8628609310413,0.03970223325062035,,,LoRA,203.0239964000648,500,760094
0.975616329908371,True,inherited Paper 4 controlled training,broad_lora,17,3757.761570465791,0.1419068736141907,,,LoRA,202.27307820005808,500,760094
0.8575778067111969,True,inherited Paper 4 controlled training,full_weight,17,3967.2679738808615,1.0,,,Full-weight continued,191.59129280003253,500,760094
0.29740164056420326,True,inherited Paper 4 controlled training,native_scratch,17,3985.404390108994,1.0,,,PRA-native,495.6420495000202,1300,1975334
0.7630511343479156,True,inherited Paper 4 controlled training,global_sa,29,9309.908654165243,1.0,,,global_sa,191.14494740008377,800,1779542
1.1104821741580964,True,inherited Paper 4 controlled training,local_sa,29,9309.616826619284,1.0,,,local_sa,191.15093919995707,800,1779542
nan,True,inherited Paper 4 controlled training,frozen,29,0.0,0.0,,,Frozen,0.0,0,0
1.1392713695764543,True,inherited Paper 4 controlled training,consumer_lora,29,4041.186467288286,0.031154381084840057,,,LoRA,188.04997150006238,500,759945
1.0854967176914214,True,inherited Paper 4 controlled training,interface_lora,29,3826.623904513819,0.03970223325062035,,,LoRA,198.5941182000097,500,759945
0.963996148109436,True,inherited Paper 4 controlled training,broad_lora,29,3786.502687861895,0.1419068736141907,,,LoRA,200.69839179993141,500,759945
0.8579896181821823,True,inherited Paper 4 controlled training,full_weight,29,3975.9288531583343,1.0,,,Full-weight continued,191.13646850001533,500,759945
0.3532301686704159,True,inherited Paper 4 controlled training,native_scratch,29,3982.930567021841,1.0,,,PRA-native,495.82235159992706,1300,1974826
0.7924050331115723,True,inherited Paper 4 controlled training,global_sa,41,9322.08614418548,1.0,,,global_sa,191.10904710006434,800,1781535
1.134156945347786,True,inherited Paper 4 controlled training,local_sa,41,9319.931322988821,1.0,,,local_sa,191.15323260007426,800,1781535
nan,True,inherited Paper 4 controlled training,frozen,41,0.0,0.0,,,Frozen,0.0,0,0
1.1778822034597396,True,inherited Paper 4 controlled training,consumer_lora,41,4049.345005165645,0.031154381084840057,,,LoRA,187.6012043999508,500,759662
1.0964227795600892,True,inherited Paper 4 controlled training,interface_lora,41,3810.2590180036887,0.03970223325062035,,,LoRA,199.37279759999365,500,759662
0.9369918316602707,True,inherited Paper 4 controlled training,broad_lora,41,3813.117316417851,0.1419068736141907,,,LoRA,199.22334849997424,500,759662
0.8342485070228577,True,inherited Paper 4 controlled training,full_weight,41,3977.2901841482567,1.0,,,Full-weight continued,190.99989310000092,500,759662
0.3976961255073547,True,inherited Paper 4 controlled training,native_scratch,41,3990.7099954244622,1.0,,,PRA-native,495.10563339991495,1300,1975823
0.7334787309169769,True,inherited Paper 4 controlled training,global_sa,53,9361.816165415177,1.0,,,global_sa,190.05649850005284,800,1779274
1.1163434326648711,True,inherited Paper 4 controlled training,local_sa,53,9356.397964868074,1.0,,,local_sa,190.16655840002932,800,1779274
nan,True,inherited Paper 4 controlled training,frozen,53,0.0,0.0,,,Frozen,0.0,0,0
1.2183096915483476,True,inherited Paper 4 controlled training,consumer_lora,53,4038.0141014655383,0.031154381084840057,,,LoRA,188.05011099996045,500,759349
1.1367109924554826,True,inherited Paper 4 controlled training,interface_lora,53,3805.3020493106783,0.03970223325062035,,,LoRA,199.55025650002062,500,759349
1.0038563847541808,True,inherited Paper 4 controlled training,broad_lora,53,3799.687230810854,0.1419068736141907,,,LoRA,199.84513300005347,500,759349
0.902386674284935,True,inherited Paper 4 controlled training,full_weight,53,3994.529719093671,1.0,,,Full-weight continued,190.0972213000059,500,759349
0.2890680816024542,True,inherited Paper 4 controlled training,native_scratch,53,3944.5280396371677,1.0,,,PRA-native,500.8033863999881,1300,1975433
0.8001868456602097,True,inherited Paper 4 controlled training,global_sa,67,9373.969977566147,1.0,,,global_sa,189.77711730008014,800,1778965
1.1274759322404861,True,inherited Paper 4 controlled training,local_sa,67,9369.773871566102,1.0,,,local_sa,189.86210600007325,800,1778965
nan,True,inherited Paper 4 controlled training,frozen,67,0.0,0.0,,,Frozen,0.0,0,0
1.0955304086208344,True,inherited Paper 4 controlled training,consumer_lora,67,4009.054710311886,0.031154381084840057,,,LoRA,189.4067442000378,500,759342
1.0298790633678436,True,inherited Paper 4 controlled training,interface_lora,67,3818.5020691147547,0.03970223325062035,,,LoRA,198.85860640008468,500,759342
0.8827464252710342,True,inherited Paper 4 controlled training,broad_lora,67,3818.9073589244713,0.1419068736141907,,,LoRA,198.83750210003927,500,759342
0.7613867342472076,True,inherited Paper 4 controlled training,full_weight,67,3995.6386414662334,1.0,,,Full-weight continued,190.04271109995898,500,759342
0.273802624642849,True,inherited Paper 4 controlled training,native_scratch,67,3932.979352560516,1.0,,,PRA-native,502.22613010008354,1300,1975245
