active_native_kv_tokens,checkpoint,logical_tokens,measured,measurement_scope,model_parameters,quality,quality_metric,seeds,source,trainable_parameters,training_regime
evidence-only oracle spans,paper4_tier0_frozen,,True,inherited Paper 4 calibration; excluded from Paper 5 scaling fits,445824,0.302734375,controlled answer accuracy,5,paper4_training/tier0 at train branch b7db316,0,Frozen
evidence-only oracle spans,paper4_tier0_consumer_lora,,True,inherited Paper 4 calibration; excluded from Paper 5 scaling fits,460160,0.821484375,controlled answer accuracy,5,paper4_training/tier0 at train branch b7db316,14336,LoRA
evidence-only oracle spans,paper4_tier0_interface_lora,,True,inherited Paper 4 calibration; excluded from Paper 5 scaling fits,464256,0.874609375,controlled answer accuracy,5,paper4_training/tier0 at train branch b7db316,18432,LoRA
evidence-only oracle spans,paper4_tier0_broad_lora,,True,inherited Paper 4 calibration; excluded from Paper 5 scaling fits,519552,0.948046875,controlled answer accuracy,5,paper4_training/tier0 at train branch b7db316,73728,LoRA
evidence-only oracle spans,paper4_tier0_full_weight,,True,inherited Paper 4 calibration; excluded from Paper 5 scaling fits,445824,0.9640625,controlled answer accuracy,5,paper4_training/tier0 at train branch b7db316,445824,Full-weight continued
evidence-only oracle spans,paper4_tier0_native_scratch,,True,inherited Paper 4 calibration; excluded from Paper 5 scaling fits,445824,0.991796875,controlled answer accuracy,5,paper4_training/tier0 at train branch b7db316,445824,PRA-native
