active_tokens,baseline,cost_per_million_tokens_usd,latency_seconds,layer_token_kv_states,logical_tokens,measured,measurement_scope,quality,search_backend
32768,native_dense_context,,,262144,32768,False,analytical state accounting only; no quality or latency claim,,none
128,text_rag_top4_chunks,,,256,32768,False,analytical state accounting only; no quality or latency claim,,external top-4
128,fixed_pra_top16_spans,,,256,32768,False,analytical state accounting only; no quality or latency claim,,exact native-key
131072,native_dense_context,,,1048576,131072,False,analytical state accounting only; no quality or latency claim,,none
128,text_rag_top4_chunks,,,256,131072,False,analytical state accounting only; no quality or latency claim,,external top-4
128,fixed_pra_top16_spans,,,256,131072,False,analytical state accounting only; no quality or latency claim,,exact native-key
524288,native_dense_context,,,4194304,524288,False,analytical state accounting only; no quality or latency claim,,none
128,text_rag_top4_chunks,,,256,524288,False,analytical state accounting only; no quality or latency claim,,external top-4
128,fixed_pra_top16_spans,,,256,524288,False,analytical state accounting only; no quality or latency claim,,exact native-key
2097152,native_dense_context,,,16777216,2097152,False,analytical state accounting only; no quality or latency claim,,none
128,text_rag_top4_chunks,,,256,2097152,False,analytical state accounting only; no quality or latency claim,,external top-4
128,fixed_pra_top16_spans,,,256,2097152,False,analytical state accounting only; no quality or latency claim,,exact native-key
8388608,native_dense_context,,,67108864,8388608,False,analytical state accounting only; no quality or latency claim,,none
128,text_rag_top4_chunks,,,256,8388608,False,analytical state accounting only; no quality or latency claim,,external top-4
128,fixed_pra_top16_spans,,,256,8388608,False,analytical state accounting only; no quality or latency claim,,exact native-key
