aic,family,n,parameter_count,parameters_json,r_squared,residuals_json,rmse,series
-205.2326583694641,constant,5,1,"{""c"": 1.0}",1.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,quality_vs_logical_memory_exact
-203.2326583694641,power,5,2,"{""coefficient"": 1.0, ""exponent"": 0.0}",1.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,quality_vs_logical_memory_exact
-203.2326583694641,linear,5,2,"{""intercept"": 1.0, ""slope"": -3.7826084829101334e-23}",1.0,"[0.0, 0.0, 0.0, 1.1102230246251565e-16, 3.3306690738754696e-16]",1.5700924586837752e-16,quality_vs_logical_memory_exact
-203.2326583694641,logarithmic,5,2,"{""intercept"": 0.9999999999999994, ""slope"": 1.5794226577623878e-17}",1.0,"[4.440892098500626e-16, 3.3306690738754696e-16, 3.3306690738754696e-16, 3.3306690738754696e-16, 3.3306690738754696e-16]",3.580361673049448e-16,quality_vs_logical_memory_exact
-201.2326583694641,saturating_exponential,5,3,"{""amplitude"": 1.3724852105668771e-14, ""offset"": 0.9999999999999867, ""scale"": 8192.0}",1.0,"[-2.220446049250313e-16, -4.440892098500626e-16, -4.440892098500626e-16, -4.440892098500626e-16, -4.440892098500626e-16]",4.094300213216723e-16,quality_vs_logical_memory_exact
-205.2326583694641,constant,5,1,"{""c"": 128.0}",1.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,active_kv_vs_logical_memory_exact
-203.2326583694641,linear,5,2,"{""intercept"": 128.0, ""slope"": -4.841738858124971e-21}",1.0,"[0.0, 0.0, 0.0, 1.4210854715202004e-14, 4.263256414560601e-14]",2.0097183471152322e-14,active_kv_vs_logical_memory_exact
-203.2326583694641,logarithmic,5,2,"{""intercept"": 127.99999999999993, ""slope"": 2.0216610019358564e-15}",1.0,"[5.684341886080802e-14, 4.263256414560601e-14, 4.263256414560601e-14, 4.263256414560601e-14, 4.263256414560601e-14]",4.5828629415032937e-14,active_kv_vs_logical_memory_exact
-203.2326583694641,power,5,2,"{""coefficient"": 127.99999999999918, ""exponent"": 1.2801261021033483e-16}",1.0,"[7.105427357601002e-13, 5.968558980384842e-13, 5.968558980384842e-13, 5.968558980384842e-13, 5.968558980384842e-13]",6.212598218836864e-13,active_kv_vs_logical_memory_exact
-201.2326583694641,saturating_exponential,5,3,"{""amplitude"": 1.7567810695256027e-12, ""offset"": 127.9999999999983, ""scale"": 8192.0}",1.0,"[-2.842170943040401e-14, -5.684341886080802e-14, -5.684341886080802e-14, -5.684341886080802e-14, -5.684341886080802e-14]",5.240704272917405e-14,active_kv_vs_logical_memory_exact
-98.38933058998622,saturating_exponential,5,3,"{""amplitude"": 0.025771864114742197, ""offset"": 0.00017663985432420415, ""scale"": 33554432.0}",0.9998136055259641,"[-6.775387245212176e-06, -3.348185102388084e-07, 4.416440086681334e-05, -4.681816407026357e-05, 9.763968958901269e-06]",2.9270421440158568e-05,search_latency_vs_logical_memory_exact
-97.20877734187063,linear,5,2,"{""intercept"": 0.0002205985999592626, ""slope"": 6.772528050399727e-10}",0.9996478786340843,"[-4.777080172937043e-05, -3.258746755777981e-05, 4.46858553739167e-05, 5.035932799901167e-05, -1.4686914085776555e-05]",4.023079808323418e-05,search_latency_vs_logical_memory_exact
-69.67614597037084,power,5,2,"{""coefficient"": 2.2189999824405077e-07, ""exponent"": 0.6221511307018514}",0.9132745916832485,"[5.198262666482155e-05, -6.208122020027155e-05, -0.00018241567469868734, -0.00021054722930087468, 0.0013816635057503444]",0.0006313724619653462,search_latency_vs_logical_memory_exact
-63.68806469144083,logarithmic,5,2,"{""intercept"": -0.01042463792837224, ""slope"": 0.0009232296027207535}",0.7127470585219503,"[0.0010206480044871523, -0.00017745999386534585, -0.001113748024217788, -0.0013227159879170398, 0.0015932760015130018]",0.001149065277660406,search_latency_vs_logical_memory_exact
-59.45110408057462,constant,5,1,"{""c"": 0.001734107998199761}",0.0,"[-0.0015390879800543191, -0.001457327986136079, -0.0011137480242177846, -4.2847995646297984e-05, 0.00415301198605448]",0.0021439391706862968,search_latency_vs_logical_memory_exact
-93.0689824576093,constant,5,1,"{""c"": 0.0021343800053000446}",0.0,"[-4.583998117595883e-05, 0.00013857997953891808, -3.385998308658546e-05, 1.2059994041919986e-05, -7.09400093182916e-05]",7.433726042330792e-05,search_latency_vs_logical_memory_indexed_p4
-92.41159779551712,linear,5,2,"{""intercept"": 0.0021598508862345554, ""slope"": -1.1397501449142431e-11}",0.23549221273929277,"[-7.093738878298419e-05, 0.00011460299191434938, -5.3355290781328425e-05, 1.049140606648128e-05, -8.017184165145727e-07]",6.499762809687746e-05,search_latency_vs_logical_memory_indexed_p4
-91.66869538811163,logarithmic,5,2,"{""intercept"": 0.0023022640449926225, ""slope"": -1.2747656395204705e-05}",0.11302864026016513,"[-8.118398953229017e-05, 0.00012090797536075306, -3.3859983086584593e-05, 2.9731998220087173e-05, -3.5596000961958096e-05]",7.001020514108247e-05,search_latency_vs_logical_memory_indexed_p4
-91.65806725506323,power,5,2,"{""coefficient"": 0.002304732938867634, ""exponent"": -0.005875652568976066}",0.11114126511910893,"[-7.961031956148874e-05, 0.0001223983277748677, -3.2595632936408426e-05, 3.0628818900262696e-05, -3.520708884665637e-05]",7.008465247338083e-05,search_latency_vs_logical_memory_indexed_p4
-90.40896630768538,saturating_exponential,5,3,"{""amplitude"": -0.000433308541286191, ""offset"": 0.002160566091278063, ""scale"": 33554432.0}",0.2350897482526514,"[-7.160312083199886e-05, 0.00011408320346881695, -5.332824279867879e-05, 1.2126745437192766e-05, -1.2785852753324951e-06]",6.501473439427239e-05,search_latency_vs_logical_memory_indexed_p4
