concurrency,device,end_to_end_throughput,logical_tokens,measured,measurement_scope,memory_nodes,routing_latency_p50_seconds,routing_latency_p95_seconds,routing_queries_per_second,seed,tpot_seconds,ttft_seconds
1,cuda,,32768,True,routing-only batched GEMM; not end-to-end serving,1024,0.00017609994392842054,0.0002510599908418953,5678.593517363473,17,,
4,cuda,,32768,True,routing-only batched GEMM; not end-to-end serving,1024,0.0002443999983370304,0.00027249001432210206,16366.612222656213,17,,
8,cuda,,32768,True,routing-only batched GEMM; not end-to-end serving,1024,0.0002576999831944704,0.0003387299482710659,31043.851461809718,17,,
1,cuda,,131072,True,routing-only batched GEMM; not end-to-end serving,4096,0.00023639993742108345,0.00024999004090204836,4230.119563097712,17,,
4,cuda,,131072,True,routing-only batched GEMM; not end-to-end serving,4096,0.00036209996324032545,0.0005423499620519578,11046.673311439148,17,,
8,cuda,,131072,True,routing-only batched GEMM; not end-to-end serving,4096,0.00028179993387311697,0.0003149000229313969,28388.934979672755,17,,
1,cuda,,524288,True,routing-only batched GEMM; not end-to-end serving,16384,0.0005282999482005835,0.0006121699581854045,1892.8640886792643,17,,
4,cuda,,524288,True,routing-only batched GEMM; not end-to-end serving,16384,0.0005311999702826142,0.0005642200238071382,7530.120903191844,17,,
8,cuda,,524288,True,routing-only batched GEMM; not end-to-end serving,16384,0.0006538999732583761,0.0006658399826847017,12234.287088491672,17,,
1,cuda,,2097152,True,routing-only batched GEMM; not end-to-end serving,65536,0.0011169998906552792,0.0011242499807849527,895.2552353549094,17,,
4,cuda,,2097152,True,routing-only batched GEMM; not end-to-end serving,65536,0.0015415999805554748,0.0016886699944734572,2594.7068308593944,17,,
8,cuda,,2097152,True,routing-only batched GEMM; not end-to-end serving,65536,0.0017030000453814864,0.0018019200419075786,4697.592358670743,17,,
1,cuda,,8388608,True,routing-only batched GEMM; not end-to-end serving,262144,0.003510999958962202,0.003581129980739206,284.8191431752636,17,,
4,cuda,,8388608,True,routing-only batched GEMM; not end-to-end serving,262144,0.004915900062769651,0.005153810046613217,813.6861915265163,17,,
8,cuda,,8388608,True,routing-only batched GEMM; not end-to-end serving,262144,0.005880699958652258,0.005979280022438615,1360.382276982117,17,,
1,cuda,,32768,True,routing-only batched GEMM; not end-to-end serving,1024,0.00020790006965398788,0.00023600992280989883,4810.003198480498,29,,
4,cuda,,32768,True,routing-only batched GEMM; not end-to-end serving,1024,0.00017129990737885237,0.00021196001907810568,23350.85909389006,29,,
8,cuda,,32768,True,routing-only batched GEMM; not end-to-end serving,1024,0.00018500001169741154,0.00021926995832473038,43243.24050900551,29,,
1,cuda,,131072,True,routing-only batched GEMM; not end-to-end serving,4096,0.00021219998598098755,0.00026056000497192143,4712.53565534918,29,,
4,cuda,,131072,True,routing-only batched GEMM; not end-to-end serving,4096,0.00026020000223070383,0.0003366800374351442,15372.790029622822,29,,
