active_native_kv_tokens,chain_depth,device,evidence_nodes,evidence_recall,evidence_regions,first_budget_meeting_target,layer_token_kv_states,logical_tokens,max_evidence_distance_tokens,measured,measurement_scope,meets_90pct_recall,search_latency_p50_seconds,seed,source_dispersion_fraction,task_accuracy,training_regime
32,1,cuda,1,1.0,1,True,64,524288,0,True,controlled difficulty scaling,True,0.0005949999904260039,17,0.0,1.0,PRA-native routing surrogate; no LM checkpoint
64,1,cuda,1,1.0,1,False,128,524288,0,True,controlled difficulty scaling,True,0.0005904999561607838,17,0.0,1.0,PRA-native routing surrogate; no LM checkpoint
128,1,cuda,1,1.0,1,False,256,524288,0,True,controlled difficulty scaling,True,0.0006046000635251403,17,0.0,1.0,PRA-native routing surrogate; no LM checkpoint
256,1,cuda,1,1.0,1,False,512,524288,0,True,controlled difficulty scaling,True,0.0006120000034570694,17,0.0,1.0,PRA-native routing surrogate; no LM checkpoint
512,1,cuda,1,1.0,1,False,1024,524288,0,True,controlled difficulty scaling,True,0.0005758000770583749,17,0.0,1.0,PRA-native routing surrogate; no LM checkpoint
1024,1,cuda,1,1.0,1,False,2048,524288,0,True,controlled difficulty scaling,True,0.0006204000674188137,17,0.0,1.0,PRA-native routing surrogate; no LM checkpoint
32,2,cuda,2,1.0,1,True,64,524288,0,True,controlled difficulty scaling,True,0.000595899997279048,17,0.0,1.0,PRA-native routing surrogate; no LM checkpoint
64,2,cuda,2,1.0,1,False,128,524288,0,True,controlled difficulty scaling,True,0.0006673999596387148,17,0.0,1.0,PRA-native routing surrogate; no LM checkpoint
128,2,cuda,2,1.0,1,False,256,524288,0,True,controlled difficulty scaling,True,0.0006263999966904521,17,0.0,1.0,PRA-native routing surrogate; no LM checkpoint
256,2,cuda,2,1.0,1,False,512,524288,0,True,controlled difficulty scaling,True,0.000623999978415668,17,0.0,1.0,PRA-native routing surrogate; no LM checkpoint
512,2,cuda,2,1.0,1,False,1024,524288,0,True,controlled difficulty scaling,True,0.0006295999046415091,17,0.0,1.0,PRA-native routing surrogate; no LM checkpoint
1024,2,cuda,2,1.0,1,False,2048,524288,0,True,controlled difficulty scaling,True,0.0006377000827342272,17,0.0,1.0,PRA-native routing surrogate; no LM checkpoint
32,4,cuda,4,1.0,1,True,64,524288,0,True,controlled difficulty scaling,True,0.0005830000154674053,17,0.0,1.0,PRA-native routing surrogate; no LM checkpoint
64,4,cuda,4,1.0,1,False,128,524288,0,True,controlled difficulty scaling,True,0.0006226999685168266,17,0.0,1.0,PRA-native routing surrogate; no LM checkpoint
128,4,cuda,4,1.0,1,False,256,524288,0,True,controlled difficulty scaling,True,0.0006031999364495277,17,0.0,1.0,PRA-native routing surrogate; no LM checkpoint
256,4,cuda,4,1.0,1,False,512,524288,0,True,controlled difficulty scaling,True,0.0006267999997362494,17,0.0,1.0,PRA-native routing surrogate; no LM checkpoint
512,4,cuda,4,1.0,1,False,1024,524288,0,True,controlled difficulty scaling,True,0.0006209000712260604,17,0.0,1.0,PRA-native routing surrogate; no LM checkpoint
1024,4,cuda,4,1.0,1,False,2048,524288,0,True,controlled difficulty scaling,True,0.0006402999861165881,17,0.0,1.0,PRA-native routing surrogate; no LM checkpoint
32,1,cuda,2,1.0,2,True,64,524288,262144,True,controlled difficulty scaling,True,0.0005758000770583749,17,0.5,1.0,PRA-native routing surrogate; no LM checkpoint
64,1,cuda,2,1.0,2,False,128,524288,262144,True,controlled difficulty scaling,True,0.0005969000048935413,17,0.5,1.0,PRA-native routing surrogate; no LM checkpoint
128,1,cuda,2,1.0,2,False,256,524288,262144,True,controlled difficulty scaling,True,0.000610099988989532,17,0.5,1.0,PRA-native routing surrogate; no LM checkpoint
256,1,cuda,2,1.0,2,False,512,524288,262144,True,controlled difficulty scaling,True,0.0006140999030321836,17,0.5,1.0,PRA-native routing surrogate; no LM checkpoint
