seed,task_id,family,plan_horizon,policy,initial_disclosed_tools,initial_required_recall,completed_steps,task_success,failure_reason,cumulative_definition_tokens,cumulative_prompt_tokens,cumulative_generated_tokens,generation_seconds,result_source
37,m4-repo-5,repository,5,p8_speculative_planning,4,0.8,0,False,wrong_call,279,416,80,8.37881899997592,m5_static_run
37,m4-repo-5,repository,5,p9_oracle_capabilities,5,1.0,0,False,wrong_call,712,1101,108,13.087464600102976,frozen_m4
53,m4-user-3,user,3,p1_direct_top1,1,0.3333333333333333,0,False,wrong_call,126,435,44,4.136998200090602,frozen_m4
53,m4-user-3,user,3,p6_combined_graph,6,1.0,0,False,wrong_call,409,535,53,6.543377599911764,m5_static_run
53,m4-user-3,user,3,p7_reactive_jit,1,0.3333333333333333,3,True,,206,753,75,7.280247600050643,frozen_m4
53,m4-user-3,user,3,p8_speculative_planning,3,0.3333333333333333,1,False,wrong_call,410,756,82,8.63594190008007,m5_static_run
53,m4-user-3,user,3,p9_oracle_capabilities,3,1.0,0,False,wrong_call,412,770,101,10.456265799934044,frozen_m4
53,m4-doc-4,document,4,p1_direct_top1,1,0.25,0,False,wrong_call,122,447,47,4.376808300148696,frozen_m4
53,m4-doc-4,document,4,p6_combined_graph,8,1.0,1,False,wrong_call,1078,1462,111,16.1714327998925,m5_static_run
53,m4-doc-4,document,4,p7_reactive_jit,1,0.25,4,True,,278,1179,107,11.056702600093558,frozen_m4
53,m4-doc-4,document,4,p8_speculative_planning,4,0.75,0,False,wrong_call,265,399,80,8.258780400035903,m5_static_run
53,m4-doc-4,document,4,p9_oracle_capabilities,4,1.0,0,False,wrong_call,556,940,111,12.545706100063398,frozen_m4
53,m4-repo-5,repository,5,p1_direct_top1,1,0.2,0,False,wrong_call,124,455,62,5.652737999800593,frozen_m4
53,m4-repo-5,repository,5,p6_combined_graph,6,0.8,0,False,wrong_call,403,541,80,9.479841200169176,m5_static_run
53,m4-repo-5,repository,5,p7_reactive_jit,1,0.2,0,False,wrong_call,123,454,62,5.637659099884331,frozen_m4
53,m4-repo-5,repository,5,p8_speculative_planning,4,0.8,0,False,wrong_call,279,417,80,8.386872900184244,m5_static_run
53,m4-repo-5,repository,5,p9_oracle_capabilities,5,1.0,0,False,wrong_call,356,494,80,8.98586850007996,frozen_m4
71,m4-user-3,user,3,p1_direct_top1,1,0.3333333333333333,0,False,wrong_call,126,435,45,4.179892800049856,frozen_m4
71,m4-user-3,user,3,p6_combined_graph,6,1.0,0,False,wrong_call,409,535,53,6.5565103001426905,m5_static_run
71,m4-user-3,user,3,p7_reactive_jit,1,0.3333333333333333,3,True,,206,753,75,7.279990400187671,frozen_m4
71,m4-user-3,user,3,p8_speculative_planning,3,0.3333333333333333,1,False,wrong_call,410,772,108,11.164902999997139,m5_static_run
71,m4-user-3,user,3,p9_oracle_capabilities,3,1.0,0,False,wrong_call,412,774,105,10.827448999974877,frozen_m4
71,m4-doc-4,document,4,p1_direct_top1,1,0.25,0,False,wrong_call,122,447,47,4.3994223000481725,frozen_m4
71,m4-doc-4,document,4,p6_combined_graph,8,1.0,0,False,wrong_call,539,673,23,3.9879840000066906,m5_static_run
71,m4-doc-4,document,4,p7_reactive_jit,1,0.25,4,True,,278,1179,107,11.050006500212476,frozen_m4
71,m4-doc-4,document,4,p8_speculative_planning,4,0.75,0,False,wrong_call,265,399,23,2.8436282000038773,m5_static_run
71,m4-doc-4,document,4,p9_oracle_capabilities,4,1.0,4,True,,1112,2013,107,14.475796999875456,frozen_m4
71,m4-repo-5,repository,5,p1_direct_top1,1,0.2,0,False,wrong_call,124,455,64,5.834074200130999,frozen_m4
71,m4-repo-5,repository,5,p6_combined_graph,6,0.8,0,False,wrong_call,403,541,22,3.3228428000584245,m5_static_run
71,m4-repo-5,repository,5,p7_reactive_jit,1,0.2,0,False,wrong_call,123,454,66,5.987308700103313,frozen_m4
71,m4-repo-5,repository,5,p8_speculative_planning,4,0.8,0,False,wrong_call,279,417,22,2.814300399972126,m5_static_run
71,m4-repo-5,repository,5,p9_oracle_capabilities,5,1.0,0,False,wrong_call,712,1103,108,13.10034399991855,frozen_m4
