policy,turns,accesses,warm_hits,source_reconstructions,hit_rate,utility_weighted_hit_rate,task_protected_hit_rate,shared_document_hit_rate,tool_result_hit_rate,peak_hot_bytes,peak_warm_bytes,persistence_writes,persistence_bytes,wasted_write_bytes,evictions,reloads,task_aware_retention_events,estimated_context_resolution_ms,measured_policy_wall_ms,quality_proxy,quality_proxy_definition
lru,120,495,281,214,0.5676767676767677,0.7001833740831296,0.9333333333333333,0.8666666666666667,0.0,32000,80000,242,2165500,36000,234,495,0,1170.0,256.2835,0.7001833740831296,utility-weighted required-record availability before promotion
size_aware_lru,120,495,289,206,0.5838383838383838,0.7145476772616137,0.8444444444444444,0.9222222222222223,0.0,32000,80000,234,1969500,36000,227,495,0,1026.0,254.4101,0.7145476772616137,utility-weighted required-record availability before promotion
weighted_lru,120,495,311,184,0.6282828282828283,0.7958435207823961,1.0,1.0,0.041666666666666664,32000,79500,212,1823500,36000,206,495,6086,936.0,262.4191,0.7958435207823961,utility-weighted required-record availability before promotion
