tokenizer,corpus_chunks,mode,query_target,build_ms,rebuild_plus_64_ms,updated_index_chunks,index_mib,exhaustive_ms,indexed_ms,exhaustive_cold_ms,indexed_cold_ms,speedup,indexed_candidate_rows,indexed_candidate_fraction,top4_parity,target_top1
qwen3_0_6b,256,token_exact,7,184.53029985539615,51.552999997511506,320,0.6114721298217773,1937.0868500554934,19.30990000255406,1839.7874999791384,16.53179991990328,100.3157369949757,53,0.20703125,1,1
qwen3_0_6b,256,token_exact,41,184.53029985539615,51.552999997511506,320,0.6114721298217773,2088.2464500609785,22.611699998378754,1898.7531999591738,18.998000072315335,92.35247461317391,56,0.21875,1,1
qwen3_0_6b,256,token_exact,173,184.53029985539615,51.552999997511506,320,0.6114721298217773,2286.5960500203073,23.989700013771653,2315.954999998212,29.15960014797747,95.31574170196592,62,0.2421875,1,1
qwen3_0_6b,256,token_exact,239,184.53029985539615,51.552999997511506,320,0.6114721298217773,2282.3723999317735,22.301299963146448,2082.531000021845,30.079600168392062,102.34257212375336,58,0.2265625,1,1
qwen3_0_6b,256,token_weighted,7,184.53029985539615,51.552999997511506,320,0.6114721298217773,1500.2764000091702,326.94160006940365,1581.9482998922467,310.33829995431006,4.588820754809695,53,0.20703125,1,0
qwen3_0_6b,256,token_weighted,41,184.53029985539615,51.552999997511506,320,0.6114721298217773,1667.4450000282377,373.8866001367569,1629.7472999431193,369.6131999604404,4.459761327146612,56,0.21875,1,0
qwen3_0_6b,256,token_weighted,173,184.53029985539615,51.552999997511506,320,0.6114721298217773,1779.457199969329,446.05939998291433,1783.3474001381546,483.4354999475181,3.989283041759659,62,0.2421875,1,0
qwen3_0_6b,256,token_weighted,239,184.53029985539615,51.552999997511506,320,0.6114721298217773,1905.4174500051886,438.088099937886,1716.8531999923289,420.49320018850267,4.349393307591206,58,0.2265625,1,0
qwen3_0_6b,256,token_approx,7,184.53029985539615,51.552999997511506,320,0.6114721298217773,1426.1311499867588,294.0464001148939,1523.6500001046807,313.30529996193945,4.850020777093414,53,0.20703125,1,0
qwen3_0_6b,256,token_approx,41,184.53029985539615,51.552999997511506,320,0.6114721298217773,1620.2694500098005,336.2449000123888,1632.9860999248922,335.3902001399547,4.81871829119223,56,0.21875,1,0
qwen3_0_6b,256,token_approx,173,184.53029985539615,51.552999997511506,320,0.6114721298217773,2173.695849836804,415.9663999453187,2007.525699911639,404.85219983384013,5.225652480879584,62,0.2421875,1,0
qwen3_0_6b,256,token_approx,239,184.53029985539615,51.552999997511506,320,0.6114721298217773,2054.2423501610756,386.7875998839736,2478.4260999877006,373.00639995373785,5.311034662893267,58,0.2265625,1,0
qwen3_0_6b,256,cascade,7,184.53029985539615,51.552999997511506,320,0.6114721298217773,1639.336800086312,288.21130003780127,1597.4936001002789,294.6369000710547,5.687968514320222,53,0.20703125,1,1
qwen3_0_6b,256,cascade,41,184.53029985539615,51.552999997511506,320,0.6114721298217773,1762.1441499795765,355.8453000150621,1737.2526000253856,339.33170000091195,4.951995009924226,56,0.21875,1,1
qwen3_0_6b,256,cascade,173,184.53029985539615,51.552999997511506,320,0.6114721298217773,1806.8493999307975,430.74909993447363,1853.55250001885,463.2309000007808,4.194667847723092,62,0.2421875,1,1
qwen3_0_6b,256,cascade,239,184.53029985539615,51.552999997511506,320,0.6114721298217773,2011.8394000455737,404.4310001190752,1952.3707998450845,399.3201998528093,4.9744935463731395,58,0.2265625,1,1
qwen3_0_6b,1024,token_exact,7,560.0457999389619,161.96270007640123,1088,2.4760303497314453,7783.388650044799,52.046800032258034,6502.292399993166,48.88890008442104,149.54595950607415,63,0.0615234375,1,1
qwen3_0_6b,1024,token_exact,41,560.0457999389619,161.96270007640123,1088,2.4760303497314453,7552.864200086333,43.335899943485856,7507.113400148228,40.4447999317199,174.2865432571145,63,0.0615234375,1,1
qwen3_0_6b,1024,token_exact,173,560.0457999389619,161.96270007640123,1088,2.4760303497314453,8880.509700044058,43.42720005661249,9555.138499941677,40.64000002108514,204.49187809638346,62,0.060546875,1,1
