model,dataset,treatment,baseline,metric,pairs,mean_delta,bootstrap_ci95_low,bootstrap_ci95_high
qwen3_0_6b,hotpotqa,semantic,disabled,gold_mean_token_logprob,50,0.7441800207644701,0.41399368215352295,1.1323628162965178
qwen3_0_6b,hotpotqa,semantic,disabled,em,50,0.0,0.0,0.0
qwen3_0_6b,hotpotqa,semantic,disabled,f1,50,0.0089388226152932,-0.02971472971472972,0.04588759606406665
qwen3_0_6b,hotpotqa,semantic,shuffled,gold_mean_token_logprob,50,0.4102448597550392,0.10091931693255901,0.7507944747433066
qwen3_0_6b,hotpotqa,semantic,shuffled,em,50,0.02,0.0,0.06
qwen3_0_6b,hotpotqa,semantic,shuffled,f1,50,0.0424407096171802,-0.007619047619047624,0.09938935574229692
qwen3_0_6b,hotpotqa,semantic,irrelevant,gold_mean_token_logprob,50,0.42631038332358,0.1019619077630341,0.8030360880307853
qwen3_0_6b,hotpotqa,semantic,irrelevant,em,50,0.02,0.0,0.06
qwen3_0_6b,hotpotqa,semantic,irrelevant,f1,50,0.04282671250318309,-0.00753043035395977,0.09977115694762753
qwen3_0_6b,hotpotqa,semantic,empty,gold_mean_token_logprob,50,0.7441800207644701,0.4082769250497222,1.1143246757239103
qwen3_0_6b,hotpotqa,semantic,empty,em,50,0.0,0.0,0.0
qwen3_0_6b,hotpotqa,semantic,empty,f1,50,0.0089388226152932,-0.030763475087004503,0.04551285968933028
qwen3_0_6b,hotpotqa,exact,disabled,gold_mean_token_logprob,50,0.5335420366004109,0.2947273901849985,0.775111987143755
qwen3_0_6b,hotpotqa,exact,disabled,em,50,-0.02,-0.06,0.0
qwen3_0_6b,hotpotqa,exact,disabled,f1,50,-0.02493759749022907,-0.07574062779325938,0.010836128783497203
qwen3_0_6b,hotpotqa,exact,shuffled,gold_mean_token_logprob,50,0.19960687559098006,0.0018771715834736823,0.4300551888719201
qwen3_0_6b,hotpotqa,exact,shuffled,em,50,0.0,0.0,0.0
qwen3_0_6b,hotpotqa,exact,shuffled,f1,50,0.008564289511657934,-0.008393711551606288,0.03422510822510823
qwen3_0_6b,hotpotqa,exact,irrelevant,gold_mean_token_logprob,50,0.21567239915952086,0.023143645897507666,0.4400405083410442
qwen3_0_6b,hotpotqa,exact,irrelevant,em,50,0.0,0.0,0.0
qwen3_0_6b,hotpotqa,exact,irrelevant,f1,50,0.00895029239766082,-0.009952153110047846,0.03469191919191919
qwen3_0_6b,hotpotqa,exact,empty,gold_mean_token_logprob,50,0.5335420366004109,0.2925857276469469,0.8009338198974728
qwen3_0_6b,hotpotqa,exact,empty,em,50,-0.02,-0.06,0.0
qwen3_0_6b,hotpotqa,exact,empty,f1,50,-0.02493759749022907,-0.07237878787878788,0.009940392940392942
qwen3_0_6b,hotpotqa,bm25,disabled,gold_mean_token_logprob,50,0.5450602581445128,0.3395332383457571,0.7894415685627609
qwen3_0_6b,hotpotqa,bm25,disabled,em,50,0.0,0.0,0.0
qwen3_0_6b,hotpotqa,bm25,disabled,f1,50,0.013454050077889088,-0.013620708496869487,0.042880088951296386
qwen3_0_6b,hotpotqa,bm25,shuffled,gold_mean_token_logprob,50,0.21112509713508187,-0.026084965961053967,0.4567207549139857
qwen3_0_6b,hotpotqa,bm25,shuffled,em,50,0.02,0.0,0.06
qwen3_0_6b,hotpotqa,bm25,shuffled,f1,50,0.046955937079776085,0.00824971519708362,0.09906187036217996
qwen3_0_6b,hotpotqa,bm25,irrelevant,gold_mean_token_logprob,50,0.2271906207036227,0.03477896991185844,0.43398696487769484
qwen3_0_6b,hotpotqa,bm25,irrelevant,em,50,0.02,0.0,0.06
qwen3_0_6b,hotpotqa,bm25,irrelevant,f1,50,0.04734193996577898,0.010314395614705214,0.09812476824860726
qwen3_0_6b,hotpotqa,bm25,empty,gold_mean_token_logprob,50,0.5450602581445128,0.3328214750532061,0.7892045880481601
qwen3_0_6b,hotpotqa,bm25,empty,em,50,0.0,0.0,0.0
qwen3_0_6b,hotpotqa,bm25,empty,f1,50,0.013454050077889088,-0.013592201915731328,0.041663384087532694
qwen3_0_6b,hotpotqa,approximate,disabled,gold_mean_token_logprob,50,0.6559426362160593,0.4100618077907711,0.9077682171855121
qwen3_0_6b,hotpotqa,approximate,disabled,em,50,0.0,-0.06,0.06
qwen3_0_6b,hotpotqa,approximate,disabled,f1,50,0.0017290691764375967,-0.05799720454983613,0.06312121212121212
qwen3_0_6b,hotpotqa,approximate,shuffled,gold_mean_token_logprob,50,0.3220074752066284,0.11525125607848168,0.5440403572283685
qwen3_0_6b,hotpotqa,approximate,shuffled,em,50,0.02,0.0,0.06
qwen3_0_6b,hotpotqa,approximate,shuffled,f1,50,0.0352309561783246,-0.0016723627249943032,0.08772886762360446
qwen3_0_6b,hotpotqa,approximate,irrelevant,gold_mean_token_logprob,50,0.3380729987751693,0.14625289384275675,0.5527766990475357
qwen3_0_6b,hotpotqa,approximate,irrelevant,em,50,0.02,0.0,0.06
qwen3_0_6b,hotpotqa,approximate,irrelevant,f1,50,0.035616959064327484,-0.0006911217437533221,0.08772222222222222
qwen3_0_6b,hotpotqa,approximate,empty,gold_mean_token_logprob,50,0.6559426362160593,0.4194563325215131,0.9177546244859696
qwen3_0_6b,hotpotqa,approximate,empty,em,50,0.0,-0.06,0.06
qwen3_0_6b,hotpotqa,approximate,empty,f1,50,0.0017290691764375967,-0.05858751774541249,0.06286743081479923
qwen3_0_6b,hotpotqa,hybrid,disabled,gold_mean_token_logprob,50,0.5178021208196878,0.25344834562391044,0.8107844423130155
qwen3_0_6b,hotpotqa,hybrid,disabled,em,50,0.0,0.0,0.0
qwen3_0_6b,hotpotqa,hybrid,disabled,f1,50,0.020973454649925238,-0.0006679594914889037,0.04581007881007881
qwen3_0_6b,hotpotqa,hybrid,shuffled,gold_mean_token_logprob,50,0.18386695981025697,-0.061386595964431766,0.43646729700267317
qwen3_0_6b,hotpotqa,hybrid,shuffled,em,50,0.02,0.0,0.06
qwen3_0_6b,hotpotqa,hybrid,shuffled,f1,50,0.05447534165181225,0.01320261437908497,0.10730362448009506
qwen3_0_6b,hotpotqa,hybrid,irrelevant,gold_mean_token_logprob,50,0.19993248337879777,-0.04637209054082632,0.47740284122526644
qwen3_0_6b,hotpotqa,hybrid,irrelevant,em,50,0.02,0.0,0.06
qwen3_0_6b,hotpotqa,hybrid,irrelevant,f1,50,0.054861344537815125,0.012497708174178763,0.10918962736609795
qwen3_0_6b,hotpotqa,hybrid,empty,gold_mean_token_logprob,50,0.5178021208196878,0.26052894473075866,0.802276513427496
qwen3_0_6b,hotpotqa,hybrid,empty,em,50,0.0,0.0,0.0
qwen3_0_6b,hotpotqa,hybrid,empty,f1,50,0.020973454649925238,0.0004151404151404142,0.04761616161616161
qwen3_0_6b,hotpotqa,adaptive,disabled,gold_mean_token_logprob,50,0.5277293284982443,0.2801140769943595,0.8037403903156519
qwen3_0_6b,hotpotqa,adaptive,disabled,em,50,0.0,0.0,0.0
qwen3_0_6b,hotpotqa,adaptive,disabled,f1,50,-0.004972229524861107,-0.04065404770667928,0.028819978267346683
qwen3_0_6b,hotpotqa,adaptive,shuffled,gold_mean_token_logprob,50,0.1937941674888134,-0.04075907327234745,0.456987246312201
qwen3_0_6b,hotpotqa,adaptive,shuffled,em,50,0.02,0.0,0.06
qwen3_0_6b,hotpotqa,adaptive,shuffled,f1,50,0.028529657477025898,-0.01704761904761905,0.08634920634920634
qwen3_0_6b,hotpotqa,adaptive,irrelevant,gold_mean_token_logprob,50,0.20985969105735422,0.01760526394471526,0.44985082995146514
qwen3_0_6b,hotpotqa,adaptive,irrelevant,em,50,0.02,0.0,0.06
qwen3_0_6b,hotpotqa,adaptive,irrelevant,f1,50,0.02891566036302878,-0.01707431457431458,0.08547474747474748
qwen3_0_6b,hotpotqa,adaptive,empty,gold_mean_token_logprob,50,0.5277293284982443,0.284308627769351,0.7899605209380388
qwen3_0_6b,hotpotqa,adaptive,empty,em,50,0.0,0.0,0.0
qwen3_0_6b,hotpotqa,adaptive,empty,f1,50,-0.004972229524861107,-0.0384035350614298,0.025525974025974025
qwen3_0_6b,hotpotqa,oracle,disabled,gold_mean_token_logprob,50,1.0882077867537736,0.7948696425557137,1.4425317303091287
qwen3_0_6b,hotpotqa,oracle,disabled,em,50,0.0,0.0,0.0
qwen3_0_6b,hotpotqa,oracle,disabled,f1,50,0.003981594428962849,-0.020700425305688466,0.027085858585858588
qwen3_0_6b,hotpotqa,oracle,shuffled,gold_mean_token_logprob,50,0.7542726257443428,0.5143464856222272,1.0067735190317035
qwen3_0_6b,hotpotqa,oracle,shuffled,em,50,0.02,0.0,0.06
qwen3_0_6b,hotpotqa,oracle,shuffled,f1,50,0.037483481430849855,0.0005555555555555552,0.0875108225108225
qwen3_0_6b,hotpotqa,oracle,irrelevant,gold_mean_token_logprob,50,0.7703381493128836,0.5078474214673042,1.052218330129981
qwen3_0_6b,hotpotqa,oracle,irrelevant,em,50,0.02,0.0,0.06
qwen3_0_6b,hotpotqa,oracle,irrelevant,f1,50,0.03786948431685274,0.002733918128654971,0.09089978734715577
qwen3_0_6b,hotpotqa,oracle,empty,gold_mean_token_logprob,50,1.0882077867537736,0.7893542496860028,1.4104197885468601
qwen3_0_6b,hotpotqa,oracle,empty,em,50,0.0,0.0,0.0
qwen3_0_6b,hotpotqa,oracle,empty,f1,50,0.003981594428962849,-0.019807283359914944,0.028417138417138412
qwen3_0_6b,qasper,semantic,disabled,gold_mean_token_logprob,50,-0.2984234142303467,-0.44335198402404785,-0.14000150680541992
qwen3_0_6b,qasper,semantic,disabled,em,50,-0.02,-0.06,0.0
qwen3_0_6b,qasper,semantic,disabled,f1,50,-0.006740703740703739,-0.051077922077922076,0.025104895104895105
qwen3_0_6b,qasper,semantic,shuffled,gold_mean_token_logprob,50,-0.12986316680908203,-0.30836115837097167,0.029761018753051757
qwen3_0_6b,qasper,semantic,shuffled,em,50,0.0,0.0,0.0
qwen3_0_6b,qasper,semantic,shuffled,f1,50,-0.014043734043734045,-0.035104340104340104,0.004852924852924853
qwen3_0_6b,qasper,semantic,irrelevant,gold_mean_token_logprob,50,-0.23437915802001952,-0.34955193519592287,-0.11953294754028321
qwen3_0_6b,qasper,semantic,irrelevant,em,50,0.0,0.0,0.0
qwen3_0_6b,qasper,semantic,irrelevant,f1,50,-0.008722222222222223,-0.028888888888888895,0.008944444444444444
qwen3_0_6b,qasper,semantic,empty,gold_mean_token_logprob,50,-0.2984234142303467,-0.44295151710510255,-0.14681690216064452
qwen3_0_6b,qasper,semantic,empty,em,50,-0.02,-0.06,0.0
qwen3_0_6b,qasper,semantic,empty,f1,50,-0.006740703740703739,-0.048883116883116876,0.025131313131313133
qwen3_0_6b,qasper,exact,disabled,gold_mean_token_logprob,50,-0.14828059196472168,-0.3549122905731201,0.06648158073425293
qwen3_0_6b,qasper,exact,disabled,em,50,-0.02,-0.06,0.0
qwen3_0_6b,qasper,exact,disabled,f1,50,0.0014815184815184846,-0.04117332667332667,0.039484848484848484
qwen3_0_6b,qasper,exact,shuffled,gold_mean_token_logprob,50,0.020279655456542967,-0.16010112762451173,0.1819991111755371
qwen3_0_6b,qasper,exact,shuffled,em,50,0.0,0.0,0.0
qwen3_0_6b,qasper,exact,shuffled,f1,50,-0.005821511821511821,-0.0253984348984349,0.015703296703296704
qwen3_0_6b,qasper,exact,irrelevant,gold_mean_token_logprob,50,-0.08423633575439453,-0.22510335922241212,0.07133895874023438
qwen3_0_6b,qasper,exact,irrelevant,em,50,0.0,0.0,0.0
qwen3_0_6b,qasper,exact,irrelevant,f1,50,-0.0005000000000000004,-0.0168982683982684,0.016213120213120213
qwen3_0_6b,qasper,exact,empty,gold_mean_token_logprob,50,-0.14828059196472168,-0.36402313232421873,0.05480880737304687
qwen3_0_6b,qasper,exact,empty,em,50,-0.02,-0.06,0.0
qwen3_0_6b,qasper,exact,empty,f1,50,0.0014815184815184846,-0.04279120879120878,0.03810506160506161
qwen3_0_6b,qasper,bm25,disabled,gold_mean_token_logprob,50,-0.19425054550170898,-0.3523782920837402,-0.026858530044555663
qwen3_0_6b,qasper,bm25,disabled,em,50,-0.02,-0.06,0.0
qwen3_0_6b,qasper,bm25,disabled,f1,50,0.006753801753801756,-0.04045887445887446,0.04430935730935731
qwen3_0_6b,qasper,bm25,shuffled,gold_mean_token_logprob,50,-0.025690298080444336,-0.17686537742614747,0.11128829002380371
qwen3_0_6b,qasper,bm25,shuffled,em,50,0.0,0.0,0.0
