model,dataset,heldout_examples,first_four_chunk_evidence_recall,examples_with_literal_duplicate_evidence,literal_duplicate_evidence_strings,total_evidence_strings,source_token_limit,chunk_tokens,selected_chunks
qwen3_0_6b,hotpotqa,50,0.995,49,105,115,1536,32,4
qwen3_0_6b,qasper,50,0.9544444444444444,50,72,73,1536,32,4
smollm2_135m,hotpotqa,50,0.99,48,100,115,1536,32,4
smollm2_135m,qasper,50,0.9544444444444444,50,72,73,1536,32,4
