model,dataset,condition,examples,evidence_recall,precision,mrr,em,f1,answer_contained,gold_mean_token_logprob,gold_logprob_delta_vs_disabled,materialized_unique_tokens,active_kv_fraction,teacher_forced_seconds,generation_seconds
qwen3_0_6b,hotpotqa,adaptive,50,0.5433333333333333,0.255,0.5466666666666666,0.02,0.09444573726926668,0.18,-5.542381433881819,0.5277293284982443,127.84,0.09362640401060532,0.1691863280069083,1.41884053400252
qwen3_0_6b,hotpotqa,approximate,50,0.5933333333333334,0.25,0.9466666666666668,0.02,0.10114703597056537,0.18,-5.414168126164004,0.6559426362160593,128.0,0.09374181166316412,0.1705580760166049,1.3809814319992437
qwen3_0_6b,hotpotqa,bm25,50,0.665,0.305,0.655,0.02,0.11287201687201687,0.18,-5.52505050423555,0.5450602581445128,127.84,0.09362640401060532,0.1700229639885947,1.3660133859980852
qwen3_0_6b,hotpotqa,bounded_direct_context,50,0.0,0.0,0.0,0.06,0.18264596102212202,0.3,-3.574950033030473,2.4951607293495908,0.0,0.0,4.293305602027103,5.275221164003015
qwen3_0_6b,hotpotqa,disabled,50,0.0,0.0,0.0,0.02,0.09941796679412779,0.16,-6.070110762380064,0.0,0.0,0.0,0.15357614601030944,1.2931759160012006
qwen3_0_6b,hotpotqa,empty,50,0.0,0.0,0.0,0.02,0.09941796679412779,0.16,-6.070110762380064,0.0,0.0,0.0,0.15318445200566203,1.2996291279885919
qwen3_0_6b,hotpotqa,exact,50,0.48166666666666663,0.19,0.6866666666666668,0.0,0.07448036930389872,0.16,-5.536568725779652,0.5335420366004109,127.62,0.09346823354941321,0.16932935801334678,1.379810986011289
qwen3_0_6b,hotpotqa,hybrid,50,0.505,0.26,0.485,0.02,0.12039142144405302,0.22,-5.5523086415603755,0.5178021208196878,127.84,0.09362640401060532,0.16986948799807577,1.3900675259856508
qwen3_0_6b,hotpotqa,irrelevant,50,0.0,0.0,0.0,0.0,0.0655300769062379,0.12,-5.752241124939173,0.3178696374408901,127.72,0.09291340929630021,0.16927384400274603,1.4063535220175982
qwen3_0_6b,hotpotqa,oracle,50,1.0,0.83,1.0,0.02,0.10339956122309063,0.18,-4.98190297562629,1.0882077867537736,128.0,0.09374181166316412,0.17095614198595285,1.4067963620042427
qwen3_0_6b,hotpotqa,semantic,50,0.4733333333333334,0.23,0.39666666666666667,0.02,0.10835678940942099,0.2,-5.325930741615593,0.7441800207644701,127.32,0.09325453547283599,0.34174830798991024,1.4098429800011218
qwen3_0_6b,hotpotqa,shuffled,50,0.18166666666666667,0.1,0.19166666666666668,0.0,0.06591607979224079,0.12,-5.736175601370633,0.3339351610094309,126.44,0.0924866833218665,0.16860144599340857,1.4085818699933588
qwen3_0_6b,qasper,adaptive,50,0.5755555555555556,0.21,0.4633333333333334,0.0,0.0821026196026196,0.38,-8.848617057800293,-0.08086028099060058,128.0,0.08333333333333331,0.1629014439927414,1.412587396008894
qwen3_0_6b,qasper,approximate,50,0.7466666666666667,0.235,0.5433333333333333,0.0,0.09381690531690533,0.42,-8.7802880859375,-0.012531309127807618,128.0,0.08333333333333331,0.1612778539955616,1.399896067995578
qwen3_0_6b,qasper,bm25,50,0.22777777777777777,0.095,0.15833333333333333,0.0,0.09992252192252192,0.42,-8.9620073223114,-0.19425054550170898,128.0,0.08333333333333331,0.16257354800589383,1.3610310879955068
qwen3_0_6b,qasper,bounded_direct_context,50,0.0,0.0,0.0,0.0,0.0776974136974137,0.4,-9.243335494995117,-0.4755787181854248,0.0,0.0,4.557082132012583,5.681819093995728
qwen3_0_6b,qasper,disabled,50,0.0,0.0,0.0,0.02,0.09316872016872017,0.4,-8.767756776809692,0.0,0.0,0.0,0.1450397639675066,1.268735171975568
qwen3_0_6b,qasper,empty,50,0.0,0.0,0.0,0.02,0.09316872016872017,0.4,-8.767756776809692,0.0,0.0,0.0,0.14563449600245804,1.279683266002685
qwen3_0_6b,qasper,exact,50,0.6188888888888888,0.18,0.59,0.0,0.09465023865023864,0.42,-8.916037368774415,-0.14828059196472168,128.0,0.08333333333333331,0.1605716060148552,1.3804355320008472
qwen3_0_6b,qasper,hybrid,50,0.45666666666666667,0.2,0.29,0.0,0.0977916527916528,0.42,-8.998892221450806,-0.23113544464111327,128.0,0.08333333333333331,0.16108940201811492,1.3713284800155088
qwen3_0_6b,qasper,irrelevant,50,0.0,0.0,0.0,0.0,0.09515023865023865,0.44,-8.83180103302002,-0.06404425621032715,128.0,0.08333333333333331,0.16079342800192534,1.3818802420096472
qwen3_0_6b,qasper,oracle,50,1.0,0.885,1.0,0.0,0.09797563547563548,0.42,-8.6780837059021,0.08967307090759277,128.0,0.08333333333333331,0.16137121398933232,1.3732207500142977
qwen3_0_6b,qasper,semantic,50,0.3644444444444444,0.175,0.205,0.0,0.08642801642801644,0.42,-9.06618019104004,-0.2984234142303467,128.0,0.08333333333333331,0.31413801598362623,1.4108250400144606
qwen3_0_6b,qasper,shuffled,50,0.34555555555555556,0.12,0.21166666666666667,0.0,0.10047175047175047,0.44,-8.936317024230958,-0.16856024742126466,128.0,0.08333333333333331,0.1610329960100353,1.3762862980086357
smollm2_135m,hotpotqa,adaptive,50,0.5183333333333333,0.245,0.5633333333333334,0.0,0.027956876456876455,0.04,-6.826811068058014,0.15097185373306274,127.54,0.09107718467182405,0.0888158900104463,1.3635956519981847
