partition,target_architecture,representation,router_seed,dataset,example_id,model_seed,selected_config,oracle_config,quality,retrieval_cost,total_cost,oracle_cost,oracle_regret,allocation_outcome,prefill_cost,prefill_latency_seconds,processed_token_layers,recomputed_query_tokens
test,global_frozen_profile,S0_observable,1,hotpotqa,5ab2b863554299295394685a,11,F2_R2_K4_H1_Bs4_Bkv4,F1_R1_K2_H0_Bs2_Bkv2,1.0,29.890625,29.890625,7.0,22.890625,over_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,1,hotpotqa,5ab2b863554299295394685a,23,F4_R4_K8_H3_Bs8_Bkv8,F1_R1_K2_H0_Bs2_Bkv2,1.0,45.890625,45.890625,7.0,38.890625,over_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,1,hotpotqa,5ab2b863554299295394685a,37,F2_R2_K4_H1_Bs4_Bkv4,F1_R1_K2_H0_Bs2_Bkv2,1.0,29.890625,29.890625,7.0,22.890625,over_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,1,hotpotqa,5ab2b863554299295394685a,53,F2_R2_K4_H1_Bs4_Bkv4,F1_R1_K2_H0_Bs2_Bkv2,1.0,29.890625,29.890625,7.0,22.890625,over_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,1,hotpotqa,5ab2b863554299295394685a,71,F4_R4_K8_H3_Bs8_Bkv8,F1_R2_K2_H0_Bs2_Bkv2,1.0,45.890625,45.890625,11.0,34.890625,over_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,1,hotpotqa,5a710a915542994082a3e504,11,F2_R2_K4_H1_Bs4_Bkv4,F1_R1_K2_H1_Bs4_Bkv4,1.0,28.0,28.0,19.0,9.0,over_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,1,hotpotqa,5a710a915542994082a3e504,23,F2_R2_K4_H1_Bs4_Bkv4,F1_R4_K2_H0_Bs4_Bkv4,0.0,28.0,28.0,21.0,7.0,under_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,1,hotpotqa,5a710a915542994082a3e504,37,F2_R2_K4_H1_Bs4_Bkv4,F1_R1_K2_H1_Bs4_Bkv4,1.0,28.0,28.0,19.0,9.0,over_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,1,hotpotqa,5a710a915542994082a3e504,53,F2_R2_K4_H1_Bs4_Bkv4,F1_R1_K2_H1_Bs4_Bkv4,1.0,28.0,28.0,19.0,9.0,over_allocation,0.0,0.0,0,0
test,global_frozen_profile,S0_observable,1,hotpotqa,5a710a915542994082a3e504,71,F2_R2_K4_H1_Bs4_Bkv4,F1_R4_K2_H0_Bs4_Bkv4,1.0,28.0,28.0,19.0,9.0,over_allocation,0.0,0.0,0,0
