representation,quality,retrieval_cost,total_cost,oracle_regret,under_allocation,over_allocation,prefill_cost,prefill_latency_seconds,rows,validation_cv_quality,validation_cv_total_cost,family,pooling,depth,contextual_upper_bound,selected_by_validation
S2_embed_last,0.6676923076923077,27.179903846153845,27.199520947802196,11.626684409340658,0.2553846153846154,0.5723076923076923,0.019617101648351648,1.5236923112892186e-05,325,0.7263157894736842,27.199989426691726,embedding,last,0,0,1
S2_embed_mean,0.7169230769230769,25.716009615384614,25.735626717032964,10.162790178571429,0.20615384615384616,0.56,0.019617101648351648,1.5236923112892186e-05,325,0.6989473684210527,27.990384163533832,embedding,mean,0,0,0
S3_hidden_l4_mean,0.6953846153846154,27.268653846153846,27.34712225274725,11.774285714285714,0.2276923076923077,0.5907692307692308,0.07846840659340659,0.01870005152775691,325,0.6884210526315789,30.163181390977446,hidden_state,mean,4,0,0
S3_hidden_l7_mean,0.6984615384615385,26.997403846153848,27.134723557692308,11.561887019230769,0.2246153846153846,0.6030769230769231,0.13731971153846154,0.030846134039071892,325,0.7136842105263158,29.17374177631579,hidden_state,mean,7,0,0
S4_hidden_l14_last,0.6553846153846153,25.226346153846155,25.500985576923078,9.92814903846154,0.2676923076923077,0.5107692307692308,0.2746394230769231,0.05925803081805889,325,0.6884210526315789,26.67685855263158,hidden_state,last,14,0,0
S4_hidden_l14_mean,0.6646153846153846,26.470769230769232,26.745408653846155,11.172572115384616,0.25846153846153846,0.56,0.2746394230769231,0.05925803081805889,325,0.7052631578947368,29.45715460526316,hidden_state,mean,14,0,0
S4_hidden_l18_mean,0.6246153846153846,25.95264423076923,26.30575206043956,10.732915521978022,0.29846153846153844,0.5323076923076923,0.35310782967032966,0.07554705106295072,325,0.7010526315789474,29.406914943609024,hidden_state,mean,18,0,0
S5_hidden_l28_last,0.6,22.536009615384614,23.08528846153846,7.512451923076923,0.3230769230769231,0.4430769230769231,0.5492788461538461,0.11606010437011718,325,0.6947368421052632,27.62796052631579,hidden_state,last,28,0,0
S5_hidden_l28_mean,0.5815384615384616,24.642067307692308,25.191346153846155,9.618509615384616,0.3415384615384615,0.4523076923076923,0.5492788461538461,0.11606010437011718,325,0.72,29.773519736842104,hidden_state,mean,28,0,1
S6_native_q_l13_mean,0.676923076923077,27.181682692307692,27.456322115384616,11.883485576923077,0.24615384615384617,0.5784615384615385,0.2746394230769231,0.05925803081805889,325,0.7052631578947368,27.393009868421053,native_q,mean,14,0,0
S6_native_q_l23_mean,0.6338461538461538,24.947451923076922,25.418262362637364,9.845425824175825,0.28923076923076924,0.49846153846153846,0.47081043956043955,0.09982949124849759,325,0.6968421052631579,29.214844924812027,native_q,mean,24,0,0
S6_native_q_l27_mean,0.5753846153846154,23.325432692307693,23.87471153846154,8.301875,0.3476923076923077,0.41846153846153844,0.5492788461538461,0.11606010437011718,325,0.7178947368421053,29.69154605263158,native_q,mean,28,0,0
S6_native_q_l3_mean,0.7323076923076923,27.405336538461537,27.483804945054946,11.910968406593406,0.19076923076923077,0.6338461538461538,0.07846840659340659,0.01870005152775691,325,0.6989473684210527,28.08795112781955,native_q,mean,4,0,0
S7_native_k_l13_mean,0.6553846153846153,27.57908653846154,27.853725961538462,12.280889423076923,0.2676923076923077,0.6,0.2746394230769231,0.05925803081805889,325,0.7178947368421053,28.809753289473683,native_k,mean,14,0,1
S7_native_k_l23_mean,0.6246153846153846,25.900817307692307,26.37162774725275,10.79879120879121,0.29846153846153844,0.5261538461538462,0.47081043956043955,0.09982949124849759,325,0.7094736842105264,28.48158834586466,native_k,mean,24,0,0
S7_native_qk_l13_mean,0.6584615384615384,27.37451923076923,27.649158653846154,12.076322115384615,0.26461538461538464,0.5938461538461538,0.2746394230769231,0.05925803081805889,325,0.7010526315789474,28.54060855263158,native_qk,mean,14,0,0
S7_native_qk_l23_mean,0.6184615384615385,25.812884615384615,26.283695054945056,10.710858516483517,0.3046153846153846,0.5107692307692308,0.47081043956043955,0.09982949124849759,325,0.7178947368421053,29.82951597744361,native_qk,mean,24,0,0
S8_context_hidden_l14_mean,0.6738461538461539,25.70235576923077,27.70235576923077,12.129519230769231,0.24923076923076923,0.5446153846153846,2.0,0.17754271404559796,325,0.7052631578947368,30.133059210526316,hidden_state,mean,14,1,0
S8_context_hidden_l28_mean,0.6061538461538462,23.86860576923077,27.86860576923077,12.295769230769231,0.3169230769230769,0.4553846153846154,4.0,0.35368367121769834,325,0.6968421052631579,31.54342105263158,hidden_state,mean,28,1,0
S8_context_native_q_l13_mean,0.6553846153846153,25.793076923076924,27.793076923076924,12.220240384615385,0.2676923076923077,0.5538461538461539,2.0,0.17754271404559796,325,0.6947368421052632,28.822796052631578,native_q,mean,14,1,0
S8_context_native_q_l23_mean,0.6553846153846153,25.300048076923076,28.72861950549451,13.155782967032968,0.2676923076923077,0.5323076923076923,3.4285714285714284,0.30324292931189906,325,0.6926315789473684,31.093703007518798,native_q,mean,24,1,0
