evidence_recall,layout,method,mrr,n,path_recovery,payload_type,root_recall_at_1,root_score_gap
1.0,L0_context_query,auto_retry,1.0,24,1.0,logs,1.0,0.1386750490563073
0.0,L0_context_query,broad,0.125,24,0.0,logs,0.0,0.0
1.0,L0_context_query,explicit,1.0,24,1.0,logs,1.0,0.18898223650461357
1.0,L0_context_query,head,1.0,24,1.0,logs,1.0,0.1386750490563073
1.0,L0_context_query,structural,1.0,24,1.0,logs,1.0,0.18898223650461357
1.0,L0_context_query,suffix,1.0,24,1.0,logs,1.0,0.11470786693528086
1.0,L0_context_query,auto_retry,1.0,24,1.0,prose,1.0,0.14433756729740646
0.0,L0_context_query,broad,0.125,24,0.0,prose,0.0,0.0
1.0,L0_context_query,explicit,1.0,24,1.0,prose,1.0,0.18898223650461357
1.0,L0_context_query,head,1.0,24,1.0,prose,1.0,0.14433756729740646
1.0,L0_context_query,structural,1.0,24,1.0,prose,1.0,0.18898223650461357
1.0,L0_context_query,suffix,1.0,24,1.0,prose,1.0,0.125
1.0,L0_context_query,auto_retry,1.0,24,1.0,urls,1.0,0.125
1.0,L0_context_query,broad,1.0,24,1.0,urls,1.0,0.07624928516630233
1.0,L0_context_query,explicit,1.0,24,1.0,urls,1.0,0.18898223650461357
1.0,L0_context_query,head,1.0,24,1.0,urls,1.0,0.125
1.0,L0_context_query,structural,1.0,24,1.0,urls,1.0,0.18898223650461357
1.0,L0_context_query,suffix,1.0,24,1.0,urls,1.0,0.08838834764831843
1.0,L1_query_context,auto_retry,1.0,24,1.0,logs,1.0,0.18898223650461357
0.0,L1_query_context,broad,0.125,24,0.0,logs,0.0,0.0
1.0,L1_query_context,explicit,1.0,24,1.0,logs,1.0,0.18898223650461357
0.0,L1_query_context,head,0.125,24,0.0,logs,0.0,0.0
1.0,L1_query_context,structural,1.0,24,1.0,logs,1.0,0.18898223650461357
0.0,L1_query_context,suffix,0.125,24,0.0,logs,0.0,0.0
1.0,L1_query_context,auto_retry,1.0,24,1.0,prose,1.0,0.18898223650461357
0.0,L1_query_context,broad,0.125,24,0.0,prose,0.0,0.0
1.0,L1_query_context,explicit,1.0,24,1.0,prose,1.0,0.18898223650461357
0.0,L1_query_context,head,0.125,24,0.0,prose,0.0,0.0
1.0,L1_query_context,structural,1.0,24,1.0,prose,1.0,0.18898223650461357
0.0,L1_query_context,suffix,0.125,24,0.0,prose,0.0,0.0
1.0,L1_query_context,auto_retry,1.0,24,1.0,urls,1.0,0.18898223650461357
1.0,L1_query_context,broad,1.0,24,1.0,urls,1.0,0.07624928516630233
1.0,L1_query_context,explicit,1.0,24,1.0,urls,1.0,0.18898223650461357
0.0,L1_query_context,head,0.125,24,0.0,urls,0.0,0.0
1.0,L1_query_context,structural,1.0,24,1.0,urls,1.0,0.18898223650461357
0.0,L1_query_context,suffix,0.125,24,0.0,urls,0.0,0.0
1.0,L2_context_query_context,auto_retry,1.0,24,1.0,logs,1.0,0.18898223650461357
0.0,L2_context_query_context,broad,0.125,24,0.0,logs,0.0,0.0
1.0,L2_context_query_context,explicit,1.0,24,1.0,logs,1.0,0.18898223650461357
0.0,L2_context_query_context,head,0.125,24,0.0,logs,0.0,0.0
1.0,L2_context_query_context,structural,1.0,24,1.0,logs,1.0,0.18898223650461357
0.0,L2_context_query_context,suffix,0.125,24,0.0,logs,0.0,0.0
1.0,L2_context_query_context,auto_retry,1.0,24,1.0,prose,1.0,0.18898223650461357
0.0,L2_context_query_context,broad,0.125,24,0.0,prose,0.0,0.0
1.0,L2_context_query_context,explicit,1.0,24,1.0,prose,1.0,0.18898223650461357
0.0,L2_context_query_context,head,0.125,24,0.0,prose,0.0,0.0
1.0,L2_context_query_context,structural,1.0,24,1.0,prose,1.0,0.18898223650461357
0.0,L2_context_query_context,suffix,0.125,24,0.0,prose,0.0,0.0
1.0,L2_context_query_context,auto_retry,1.0,24,1.0,urls,1.0,0.18898223650461357
1.0,L2_context_query_context,broad,1.0,24,1.0,urls,1.0,0.07624928516630233
1.0,L2_context_query_context,explicit,1.0,24,1.0,urls,1.0,0.18898223650461357
0.0,L2_context_query_context,head,0.125,24,0.0,urls,0.0,0.0
1.0,L2_context_query_context,structural,1.0,24,1.0,urls,1.0,0.18898223650461357
1.0,L2_context_query_context,suffix,1.0,24,1.0,urls,1.0,0.08838834764831843
1.0,L3_instruction_context_query,auto_retry,1.0,24,1.0,logs,1.0,0.1386750490563073
0.0,L3_instruction_context_query,broad,0.125,24,0.0,logs,0.0,0.0
1.0,L3_instruction_context_query,explicit,1.0,24,1.0,logs,1.0,0.18898223650461357
1.0,L3_instruction_context_query,head,1.0,24,1.0,logs,1.0,0.1386750490563073
1.0,L3_instruction_context_query,structural,1.0,24,1.0,logs,1.0,0.18898223650461357
1.0,L3_instruction_context_query,suffix,1.0,24,1.0,logs,1.0,0.11470786693528086
1.0,L3_instruction_context_query,auto_retry,1.0,24,1.0,prose,1.0,0.14433756729740646
0.0,L3_instruction_context_query,broad,0.125,24,0.0,prose,0.0,0.0
1.0,L3_instruction_context_query,explicit,1.0,24,1.0,prose,1.0,0.18898223650461357
1.0,L3_instruction_context_query,head,1.0,24,1.0,prose,1.0,0.14433756729740646
1.0,L3_instruction_context_query,structural,1.0,24,1.0,prose,1.0,0.18898223650461357
1.0,L3_instruction_context_query,suffix,1.0,24,1.0,prose,1.0,0.125
1.0,L3_instruction_context_query,auto_retry,1.0,24,1.0,urls,1.0,0.125
1.0,L3_instruction_context_query,broad,1.0,24,1.0,urls,1.0,0.07071067811865475
1.0,L3_instruction_context_query,explicit,1.0,24,1.0,urls,1.0,0.18898223650461357
1.0,L3_instruction_context_query,head,1.0,24,1.0,urls,1.0,0.125
1.0,L3_instruction_context_query,structural,1.0,24,1.0,urls,1.0,0.18898223650461357
1.0,L3_instruction_context_query,suffix,1.0,24,1.0,urls,1.0,0.08838834764831843
1.0,L4_query_long_payload,auto_retry,1.0,24,1.0,logs,1.0,0.18898223650461357
0.0,L4_query_long_payload,broad,0.125,24,0.0,logs,0.0,0.0
1.0,L4_query_long_payload,explicit,1.0,24,1.0,logs,1.0,0.18898223650461357
0.0,L4_query_long_payload,head,0.125,24,0.0,logs,0.0,0.0
1.0,L4_query_long_payload,structural,1.0,24,1.0,logs,1.0,0.18898223650461357
0.0,L4_query_long_payload,suffix,0.125,24,0.0,logs,0.0,0.0
1.0,L4_query_long_payload,auto_retry,1.0,24,1.0,prose,1.0,0.18898223650461357
0.0,L4_query_long_payload,broad,0.125,24,0.0,prose,0.0,0.0
1.0,L4_query_long_payload,explicit,1.0,24,1.0,prose,1.0,0.18898223650461357
0.0,L4_query_long_payload,head,0.125,24,0.0,prose,0.0,0.0
1.0,L4_query_long_payload,structural,1.0,24,1.0,prose,1.0,0.18898223650461357
0.0,L4_query_long_payload,suffix,0.125,24,0.0,prose,0.0,0.0
1.0,L4_query_long_payload,auto_retry,1.0,24,1.0,urls,1.0,0.18898223650461357
1.0,L4_query_long_payload,broad,1.0,24,1.0,urls,1.0,0.07216878364870323
1.0,L4_query_long_payload,explicit,1.0,24,1.0,urls,1.0,0.18898223650461357
0.0,L4_query_long_payload,head,0.125,24,0.0,urls,0.0,0.0
1.0,L4_query_long_payload,structural,1.0,24,1.0,urls,1.0,0.18898223650461357
0.0,L4_query_long_payload,suffix,0.125,24,0.0,urls,0.0,0.0
