end_error,layout,method,n,payload_type,region_confidence,region_precision,region_recall,span_iou,start_error
0.0,L0_context_query,auto_retry,24,logs,0.5,0.4375,1.0,0.4375,9.0
0.0,L0_context_query,broad,24,logs,1.0,0.03482587064676617,1.0,0.03482587064676617,194.0
0.0,L0_context_query,explicit,24,logs,1.0,1.0,1.0,1.0,0.0
0.0,L0_context_query,head,24,logs,0.5,0.4375,1.0,0.4375,9.0
0.0,L0_context_query,structural,24,logs,0.98,1.0,1.0,1.0,0.0
0.0,L0_context_query,suffix,24,logs,0.5,0.21875,1.0,0.21875,25.0
0.0,L0_context_query,auto_retry,24,prose,0.5,0.4375,1.0,0.4375,9.0
0.0,L0_context_query,broad,24,prose,1.0,0.07865168539325842,1.0,0.07865168539325842,82.0
0.0,L0_context_query,explicit,24,prose,1.0,1.0,1.0,1.0,0.0
0.0,L0_context_query,head,24,prose,0.5,0.4375,1.0,0.4375,9.0
0.0,L0_context_query,structural,24,prose,0.98,1.0,1.0,1.0,0.0
0.0,L0_context_query,suffix,24,prose,0.5,0.21875,1.0,0.21875,25.0
0.0,L0_context_query,auto_retry,24,urls,0.5,0.4375,1.0,0.4375,9.0
0.0,L0_context_query,broad,24,urls,1.0,0.1590909090909091,1.0,0.1590909090909091,37.0
0.0,L0_context_query,explicit,24,urls,1.0,1.0,1.0,1.0,0.0
0.0,L0_context_query,head,24,urls,0.5,0.4375,1.0,0.4375,9.0
0.0,L0_context_query,structural,24,urls,0.98,1.0,1.0,1.0,0.0
0.0,L0_context_query,suffix,24,urls,0.5,0.21875,1.0,0.21875,25.0
0.0,L1_query_context,auto_retry,24,logs,0.98,1.0,1.0,1.0,0.0
194.0,L1_query_context,broad,24,logs,1.0,0.03482587064676617,1.0,0.03482587064676617,0.0
0.0,L1_query_context,explicit,24,logs,1.0,1.0,1.0,1.0,0.0
194.0,L1_query_context,head,24,logs,0.5,0.0,0.0,0.0,185.0
0.0,L1_query_context,structural,24,logs,0.98,1.0,1.0,1.0,0.0
194.0,L1_query_context,suffix,24,logs,0.5,0.0,0.0,0.0,169.0
0.0,L1_query_context,auto_retry,24,prose,0.98,1.0,1.0,1.0,0.0
82.0,L1_query_context,broad,24,prose,1.0,0.07865168539325842,1.0,0.07865168539325842,0.0
0.0,L1_query_context,explicit,24,prose,1.0,1.0,1.0,1.0,0.0
82.0,L1_query_context,head,24,prose,0.5,0.0,0.0,0.0,73.0
