dataset,policy,examples,C_E,R_E,K_over_N
hotpotqa,R0_profile,175,0.5428571428571428,0.7333333333333334,0.6965986394557823
hotpotqa,R1_conservative,175,0.2857142857142857,0.5847619047619047,0.5188027210884354
hotpotqa,R1_factorized,175,0.2571428571428571,0.56,0.47134693877551015
hotpotqa,R2_conservative,175,0.3142857142857143,0.5733333333333334,0.545687074829932
hotpotqa,R2_query_hash,175,0.28,0.5447619047619048,0.496952380952381
hotpotqa,R3A_factorized,175,0.2914285714285714,0.5428571428571428,0.5246530612244898
hotpotqa,factorized_oracle,35,0.6,0.8238095238095238,0.5756462585034013
hotpotqa,fixed_E1,35,0.5428571428571428,0.7333333333333334,0.6965986394557823
hotpotqa,targeted_retry,35,0.8857142857142857,0.9476190476190476,0.7557823129251701
qasper,R0_profile,150,0.7,0.75,0.18225741120477962
qasper,R1_conservative,150,0.7,0.75,0.17728298017771701
qasper,R1_factorized,150,0.6866666666666666,0.7366666666666667,0.15930887825624668
qasper,R2_conservative,150,0.6533333333333333,0.7033333333333334,0.17926546163388268
qasper,R2_query_hash,150,0.62,0.67,0.1632171970329865
qasper,R3A_factorized,150,0.6266666666666667,0.6766666666666666,0.16818340042024252
qasper,factorized_oracle,30,0.8333333333333334,0.9166666666666666,0.10862857902331587
qasper,fixed_E1,30,0.7333333333333333,0.8,0.27691071112123744
qasper,targeted_retry,30,0.8333333333333334,0.9166666666666666,0.1903505607452976
