controller,cost_regret,dataset,example_id,oracle_effort,quality_matched,seed,selected_effort
hand_rule,0.0,hotpotqa,5a710a915542994082a3e504,E2_high,1,11,E2_high
learned,0.0,hotpotqa,5a710a915542994082a3e504,E2_high,1,11,E2_high
hand_rule,0.0,hotpotqa,5a710a915542994082a3e504,E2_high,1,23,E2_high
learned,0.0,hotpotqa,5a710a915542994082a3e504,E2_high,1,23,E2_high
hand_rule,0.0,hotpotqa,5a710a915542994082a3e504,E2_high,1,37,E2_high
learned,0.0,hotpotqa,5a710a915542994082a3e504,E2_high,1,37,E2_high
hand_rule,0.0,hotpotqa,5a710a915542994082a3e504,E2_high,1,53,E2_high
learned,0.0,hotpotqa,5a710a915542994082a3e504,E2_high,1,53,E2_high
hand_rule,0.0,hotpotqa,5a710a915542994082a3e504,E2_high,1,71,E2_high
learned,0.0,hotpotqa,5a710a915542994082a3e504,E2_high,1,71,E2_high
hand_rule,0.0,hotpotqa,5a80d6be55429938b6142206,E2_high,1,11,E2_high
learned,0.0,hotpotqa,5a80d6be55429938b6142206,E2_high,1,11,E2_high
hand_rule,0.0,hotpotqa,5a80d6be55429938b6142206,E2_high,1,23,E2_high
learned,0.0,hotpotqa,5a80d6be55429938b6142206,E2_high,1,23,E2_high
hand_rule,0.0,hotpotqa,5a80d6be55429938b6142206,E2_high,1,37,E2_high
learned,0.0,hotpotqa,5a80d6be55429938b6142206,E2_high,1,37,E2_high
hand_rule,0.0,hotpotqa,5a80d6be55429938b6142206,E2_high,1,53,E2_high
learned,0.0,hotpotqa,5a80d6be55429938b6142206,E2_high,1,53,E2_high
hand_rule,0.0,hotpotqa,5a80d6be55429938b6142206,E2_high,1,71,E2_high
learned,0.0,hotpotqa,5a80d6be55429938b6142206,E2_high,1,71,E2_high
hand_rule,0.0,hotpotqa,5a8888e35542997e5c09a5f6,E2_high,1,11,E2_high
learned,0.0,hotpotqa,5a8888e35542997e5c09a5f6,E2_high,1,11,E2_high
hand_rule,0.0,hotpotqa,5a8888e35542997e5c09a5f6,E2_high,1,23,E2_high
learned,0.0,hotpotqa,5a8888e35542997e5c09a5f6,E2_high,1,23,E2_high
hand_rule,0.0,hotpotqa,5a8888e35542997e5c09a5f6,E2_high,1,37,E2_high
learned,0.0,hotpotqa,5a8888e35542997e5c09a5f6,E2_high,1,37,E2_high
hand_rule,0.0,hotpotqa,5a8888e35542997e5c09a5f6,E2_high,1,53,E2_high
learned,0.0,hotpotqa,5a8888e35542997e5c09a5f6,E2_high,1,53,E2_high
hand_rule,0.0,hotpotqa,5a8888e35542997e5c09a5f6,E2_high,1,71,E2_high
