device,examples,mean_plan_seconds,reported_internal_mean_seconds,seed,total_seconds,variant
cpu,65,0.00014121999176075825,0.00014121999176075825,0,0.009179299464449286,R0_profile
cpu,65,0.000754538461422691,0.0005819476979713027,1,0.049044999992474914,R1_feature_mlp
cpu,65,0.0008158630763108914,0.0006236799903070698,1,0.05303109996020794,R2_encoder_mlp
cpu,65,0.001201419999751334,0.0010092246202895274,1,0.07809229998383671,R3A_autoregressive
cpu,65,0.0007693384612838809,0.0005797753862750071,7,0.05000699998345226,R1_feature_mlp
cpu,65,0.0007773153842068636,0.0005996076855808496,7,0.05052549997344613,R2_encoder_mlp
cpu,65,0.001192404616337556,0.001014603074425115,7,0.07750630006194115,R3A_autoregressive
cpu,65,0.0007411815387268479,0.000563152304563958,21,0.048176800017245114,R1_feature_mlp
cpu,65,0.0007453230764860145,0.0005766538383725744,21,0.048445999971590936,R2_encoder_mlp
cpu,65,0.001138863076742452,0.0009653446157104694,21,0.07402609998825938,R3A_autoregressive
cpu,65,0.0007465307690346471,0.0005605969184006636,42,0.04852449998725206,R1_feature_mlp
cpu,65,0.0007580538459408742,0.0005809738408201016,42,0.04927349998615682,R2_encoder_mlp
cpu,65,0.0012462015371196545,0.0010466092337782567,42,0.08100309991277754,R3A_autoregressive
cpu,65,0.0006972507699034534,0.0005319246090948581,87,0.04532130004372448,R1_feature_mlp
cpu,65,0.0007477199999042428,0.0005751476891768666,87,0.048601799993775785,R2_encoder_mlp
cpu,65,0.0012347999996004195,0.0010441599951054041,87,0.08026199997402728,R3A_autoregressive
