dataset,policy,E,examples,N,K,recovered,R_E,P_E,C_E,K_over_N,K_over_E,rho,eta
hotpotqa,R0_profile,2.0,150,6.0,4.0,1.4,0.7,0.35,0.5,0.6793650793650793,2.0,0.3206349206349206,1.0291666666666666
hotpotqa,R0_profile,3.0,25,5.0,4.0,2.8,0.9333333333333332,0.7,0.8,0.8,1.333333333333333,0.19999999999999996,1.1666666666666667
hotpotqa,R1_conservative,2.0,150,6.0,3.026666666666667,1.1733333333333333,0.5866666666666667,0.41804761904761906,0.3333333333333333,0.5159365079365079,1.5133333333333334,0.48406349206349203,1.2298333333333333
hotpotqa,R1_conservative,3.0,25,5.0,2.68,1.72,0.5733333333333333,0.62,0.0,0.536,0.8933333333333333,0.46399999999999997,1.0333333333333332
hotpotqa,R1_factorized,2.0,150,6.0,2.7,1.12,0.56,0.44738095238095243,0.3,0.46190476190476193,1.35,0.5380952380952382,1.3216666666666668
hotpotqa,R1_factorized,3.0,25,5.0,2.64,1.68,0.56,0.62,0.0,0.528,0.88,0.47200000000000003,1.0333333333333332
hotpotqa,R2_conservative,2.0,150,6.0,3.3066666666666666,1.1466666666666667,0.5733333333333334,0.3538253968253968,0.36,0.5526349206349207,1.6533333333333333,0.44736507936507935,1.0206111111111111
hotpotqa,R2_conservative,3.0,25,5.0,2.52,1.72,0.5733333333333333,0.71,0.04,0.504,0.84,0.496,1.1833333333333333
hotpotqa,R2_query_hash,2.0,150,6.0,3.006666666666667,1.0933333333333333,0.5466666666666666,0.36736507936507934,0.32,0.5011111111111112,1.5033333333333334,0.4988888888888889,1.0607777777777778
hotpotqa,R2_query_hash,3.0,25,5.0,2.36,1.6,0.5333333333333333,0.7233333333333333,0.04,0.47200000000000003,0.7866666666666666,0.528,1.2055555555555555
hotpotqa,R3A_factorized,2.0,150,6.0,3.2266666666666666,1.12,0.56,0.353,0.34,0.5427619047619048,1.6133333333333333,0.4572380952380953,1.0271666666666666
hotpotqa,R3A_factorized,3.0,25,5.0,2.08,1.32,0.44,0.64,0.0,0.41600000000000004,0.6933333333333332,0.584,1.0666666666666667
hotpotqa,factorized_oracle,2.0,30,6.0,3.566666666666667,1.7,0.85,0.5723015873015872,0.7,0.5982539682539681,1.7833333333333334,0.40174603174603174,1.6825
hotpotqa,factorized_oracle,3.0,5,5.0,2.2,2.0,0.6666666666666666,0.9333333333333333,0.0,0.44000000000000006,0.7333333333333333,0.5599999999999999,1.5555555555555554
hotpotqa,fixed_E1,2.0,30,6.0,4.0,1.4,0.7,0.35,0.5,0.6793650793650793,2.0,0.3206349206349206,1.0291666666666666
hotpotqa,fixed_E1,3.0,5,5.0,4.0,2.8,0.9333333333333333,0.7,0.8,0.8,1.3333333333333333,0.19999999999999996,1.1666666666666665
hotpotqa,targeted_retry,2.0,30,6.0,4.433333333333334,1.9,0.95,0.43896825396825395,0.9,0.7484126984126984,2.216666666666667,0.2515873015873016,1.2991666666666668
hotpotqa,targeted_retry,3.0,5,5.0,4.0,2.8,0.9333333333333333,0.7,0.8,0.8,1.3333333333333333,0.19999999999999996,1.1666666666666665
qasper,R0_profile,1.0,125,15.8,2.44,0.84,0.84,0.51,0.84,0.18923520923520923,2.44,0.8107647907647908,8.01
