partition,target_architecture,representation,router_seed,dataset,example_id,model_seed,invalid_combination_repaired,selected_config,oracle_config,quality,retrieval_cost,total_cost,oracle_cost,oracle_regret,allocation_outcome,prefill_cost,prefill_latency_seconds,processed_token_layers,recomputed_query_tokens
test,group_profiles,S2_embed_last,1,hotpotqa,5a8888e35542997e5c09a5f6,53,0,F1_R1_K2_H1_Bs2_Bkv2,F4_R4_K2_H0_Bs4_Bkv4,0.0,12.28125,12.298549107142858,23.28125,-10.982700892857142,under_allocation,0.017299107142857144,1.1296000331640243e-05,0,31
test,group_profiles,S2_embed_last,1,hotpotqa,5a8888e35542997e5c09a5f6,71,0,F1_R1_K2_H0_Bs2_Bkv2,F1_R1_K2_H1_Bs4_Bkv4,0.0,7.0,7.017299107142857,18.28125,-11.263950892857142,under_allocation,0.017299107142857144,1.1296000331640243e-05,0,31
test,group_profiles,S2_embed_last,1,hotpotqa,5a8c8502554299585d9e36d0,11,0,F1_R1_K2_H1_Bs4_Bkv4,F1_R4_K2_H0_Bs4_Bkv4,0.0,18.171875,18.192522321428573,21.0,-2.807477678571427,under_allocation,0.020647321428571428,1.2608000077307224e-05,0,37
test,group_profiles,S2_embed_last,1,hotpotqa,5a8c8502554299585d9e36d0,23,0,F1_R1_K2_H1_Bs2_Bkv4,F1_R1_K8_H1_Bs8_Bkv8,0.0,13.0,13.020647321428571,42.171875,-29.15122767857143,under_allocation,0.020647321428571428,1.2608000077307224e-05,0,37
test,group_profiles,S2_embed_last,1,hotpotqa,5a8c8502554299585d9e36d0,37,0,F1_R1_K2_H1_Bs2_Bkv2,F1_R4_K2_H0_Bs4_Bkv4,0.0,13.0,13.020647321428571,21.0,-7.979352678571429,under_allocation,0.020647321428571428,1.2608000077307224e-05,0,37
test,group_profiles,S2_embed_last,1,hotpotqa,5a8c8502554299585d9e36d0,53,0,F1_R1_K2_H1_Bs4_Bkv4,F1_R4_K2_H0_Bs4_Bkv4,0.0,18.171875,18.192522321428573,21.0,-2.807477678571427,under_allocation,0.020647321428571428,1.2608000077307224e-05,0,37
test,group_profiles,S2_embed_last,1,hotpotqa,5a8c8502554299585d9e36d0,71,0,F1_R1_K2_H1_Bs4_Bkv4,F1_R2_K2_H0_Bs2_Bkv2,0.0,18.171875,18.192522321428573,11.0,7.192522321428573,under_allocation,0.020647321428571428,1.2608000077307224e-05,0,37
test,group_profiles,S2_embed_last,1,hotpotqa,5a80d6be55429938b6142206,11,0,F1_R1_K2_H1_Bs2_Bkv2,F1_R1_K4_H1_Bs8_Bkv8,0.0,13.0,13.022321428571429,32.015625,-18.99330357142857,under_allocation,0.022321428571428572,2.1407999098300934e-05,0,40
test,group_profiles,S2_embed_last,1,hotpotqa,5a80d6be55429938b6142206,23,0,F1_R4_K2_H0_Bs4_Bkv4,F1_R1_K8_H1_Bs8_Bkv8,0.0,20.015625,20.037946428571427,37.015625,-16.977678571428573,under_allocation,0.022321428571428572,2.1407999098300934e-05,0,40
test,group_profiles,S2_embed_last,1,hotpotqa,5a80d6be55429938b6142206,37,0,F1_R1_K2_H1_Bs4_Bkv4,F1_R1_K8_H1_Bs8_Bkv8,0.0,18.015625,18.037946428571427,37.015625,-18.977678571428573,under_allocation,0.022321428571428572,2.1407999098300934e-05,0,40
