active_native_kv,answer_length,answer_log_probability,answer_margin,attempt,competitive_roots,confidence_delta,dataset,entity_density,evidence_density_proxy,example_id,facet_agreement,facet_disagreement,frontier_mean,frontier_std,memory_attention_ratio,minimum_effort_target,newly_discovered_memory,output_entropy_max,output_entropy_mean,partition,path_convergence,query_length,question_type_id,relation_density,residual_effect,retry_consistency,root_score_gap,routing_entropy,seed,selected_source_fraction,sentence_count,top_root_score,topk_score_gap
256.0,0.0,0.0,0.0,0.0,5.0,0.0,hotpotqa,1.0,0.0,5a714b645542994082a3e78b,0.0,1.0,0.0766860768198967,0.15572081686737002,0.0,E2_high,0.0,0.0,0.0,validation,0.0,5.0,0.0,0.0,0.0,0.0,0.16817501187324524,0.9928521835532558,11,0.20301348136399683,1.0,0.29363563656806946,0.16660725702536527
256.0,0.0,0.0,0.0,0.0,5.0,0.0,hotpotqa,1.0,0.0,5a714b645542994082a3e78b,0.0,1.0,0.16720838248729705,0.14420679016461668,0.0,E2_high,0.0,0.0,0.0,validation,0.0,5.0,0.0,0.0,0.0,0.0,0.0858505368232727,0.9941638490908509,23,0.20301348136399683,1.0,0.3262464106082916,0.08564024162117277
256.0,0.0,0.0,0.0,0.0,5.0,0.0,hotpotqa,1.0,0.0,5a714b645542994082a3e78b,0.0,1.0,-0.525427109003067,0.053129895587281595,0.0,E2_high,0.0,0.0,0.0,validation,0.0,5.0,0.0,0.0,0.0,0.0,0.06479015946388245,0.9991064761404862,37,0.20301348136399683,1.0,-0.4366333782672882,0.06469965348050652
256.0,0.0,0.0,0.0,0.0,5.0,0.0,hotpotqa,1.0,0.0,5a714b645542994082a3e78b,0.0,1.0,-0.09146376997232437,0.0783177037882678,0.0,E2_high,0.0,0.0,0.0,validation,0.0,5.0,0.0,0.0,0.0,0.0,0.13928602635860443,0.9979945615289212,53,0.20301348136399683,1.0,0.05422036349773407,0.13839221785767744
256.0,0.0,0.0,0.0,0.0,5.0,0.0,hotpotqa,1.0,0.0,5a714b645542994082a3e78b,0.0,1.0,-0.334629625082016,0.08140375536880715,0.0,E2_high,0.0,0.0,0.0,validation,0.0,5.0,0.0,0.0,0.0,0.0,0.14190992712974548,0.9978270692342865,71,0.20301348136399683,1.0,-0.18287226557731628,0.1409649244914144
151.0,0.0,0.0,0.0,0.0,4.0,0.0,hotpotqa,1.0,0.0,5a7e513a5542994959419996,0.0,1.0,-0.4267361909151077,0.08183614574800503,0.0,E2_high,0.0,0.0,0.0,validation,0.0,4.0,0.0,0.0,0.0,0.0,0.028117656707763672,0.9975867138233233,11,0.16430903155603918,1.0,-0.33146223425865173,0.028110249086006962
151.0,0.0,0.0,0.0,0.0,4.0,0.0,hotpotqa,1.0,0.0,5a7e513a5542994959419996,0.0,1.0,-0.2462848275899887,0.07715410180793725,0.0,E2_high,0.0,0.0,0.0,validation,0.0,4.0,0.0,0.0,0.0,0.0,0.03379185497760773,0.9979698027818634,23,0.16430903155603918,1.0,-0.17990566790103912,0.033778998662062854
151.0,0.0,0.0,0.0,0.0,4.0,0.0,hotpotqa,1.0,0.0,5a7e513a5542994959419996,0.0,1.0,-0.6376651525497437,0.07358672337977969,0.0,E2_high,0.0,0.0,0.0,validation,0.0,4.0,0.0,0.0,0.0,0.0,0.02952587604522705,0.9980748429199537,37,0.16430903155603918,1.0,-0.5542417168617249,0.02951729903939065
256.0,0.0,0.0,0.0,0.0,4.0,0.0,hotpotqa,1.0,0.0,5a7e513a5542994959419996,0.0,1.0,-0.30234506726264954,0.03972325994230703,0.0,E2_high,0.0,0.0,0.0,validation,0.0,4.0,0.0,0.0,0.0,0.0,0.008362501859664917,0.999441399573078,53,0.27856365614798695,1.0,-0.2644284963607788,0.008362306931192595
256.0,0.0,0.0,0.0,0.0,4.0,0.0,hotpotqa,1.0,0.0,5a7e513a5542994959419996,0.0,1.0,-0.5294300839304924,0.06262614891857587,0.0,E2_high,0.0,0.0,0.0,validation,0.0,4.0,0.0,0.0,0.0,0.0,0.0064314305782318115,0.9986199280735185,71,0.27856365614798695,1.0,-0.4705882966518402,0.0064313419046363365
256.0,0.0,0.0,0.0,0.0,4.0,0.0,hotpotqa,0.6666666666666666,0.0,5a84c4bb5542991dd0999dec,0.0,1.0,-0.12916372592250505,0.3115846567225061,0.0,E2_high,0.0,0.0,0.0,validation,0.0,6.0,0.0,0.0,0.0,0.0,0.06651316583156586,0.9724676323844912,11,0.17332430602572782,1.0,0.3065040409564972,0.06641525431638874
256.0,0.0,0.0,0.0,0.0,4.0,0.0,hotpotqa,0.6666666666666666,0.0,5a84c4bb5542991dd0999dec,0.0,1.0,0.10710818879306316,0.2325340388063143,0.0,E2_high,0.0,0.0,0.0,validation,0.0,6.0,0.0,0.0,0.0,0.0,0.06906694173812866,0.9855449537238237,23,0.17332430602572782,1.0,0.3976450264453888,0.06895732886644995
256.0,0.0,0.0,0.0,0.0,6.0,0.0,hotpotqa,1.0,0.0,5a84c4bb5542991dd0999dec,0.0,1.0,-0.45900463064511615,0.18626624397701788,0.0,E2_high,0.0,0.0,0.0,validation,0.0,6.0,0.0,0.0,0.0,0.0,0.0235978364944458,0.9901272468427688,37,0.17332430602572782,1.0,-0.20423266291618347,0.023593457256097503
256.0,0.0,0.0,0.0,0.0,5.0,0.0,hotpotqa,0.8333333333333334,0.0,5a84c4bb5542991dd0999dec,0.0,1.0,-0.019758587703108788,0.2317217102927247,0.0,E2_high,0.0,0.0,0.0,validation,0.0,6.0,0.0,0.0,0.0,0.0,0.019961774349212646,0.9848679151471917,53,0.17332430602572782,1.0,0.28205347061157227,0.019959123366137577
256.0,0.0,0.0,0.0,0.0,6.0,0.0,hotpotqa,1.0,0.0,5a84c4bb5542991dd0999dec,0.0,1.0,-0.1833355464041233,0.21810140055328936,0.0,E2_high,0.0,0.0,0.0,validation,0.0,6.0,0.0,0.0,0.0,0.0,0.10363639146089554,0.9862257939979278,71,0.17332430602572782,1.0,0.15178965032100677,0.103266942993856
256.0,0.0,0.0,0.0,0.0,5.0,0.0,hotpotqa,1.0,0.0,5ab56db7554299494045efc6,0.0,1.0,-0.5550162494182587,0.05386970095223751,0.0,E2_high,0.0,0.0,0.0,validation,0.0,5.0,0.0,0.0,0.0,0.0,0.007067292928695679,0.9991133751247508,11,0.2014162077104642,1.0,-0.4988010823726654,0.007067175268559587
256.0,0.0,0.0,0.0,0.0,5.0,0.0,hotpotqa,1.0,0.0,5ab56db7554299494045efc6,0.0,1.0,-0.5333240509033204,0.02677977832217559,0.0,E2_high,0.0,0.0,0.0,validation,0.0,5.0,0.0,0.0,0.0,0.0,0.013143479824066162,0.9997785047562209,23,0.2014162077104642,1.0,-0.501748263835907,0.013142723026329003
256.0,0.0,0.0,0.0,0.0,5.0,0.0,hotpotqa,1.0,0.0,5ab56db7554299494045efc6,0.0,1.0,-0.7141036629676819,0.036130296944840636,0.0,E2_high,0.0,0.0,0.0,validation,0.0,5.0,0.0,0.0,0.0,0.0,0.006630420684814453,0.9996012227658749,37,0.2014162077104642,1.0,-0.6759430170059204,0.0066303235232808636
256.0,0.0,0.0,0.0,0.0,5.0,0.0,hotpotqa,1.0,0.0,5ab56db7554299494045efc6,0.0,1.0,-0.49178382754325867,0.041060830130854375,0.0,E2_high,0.0,0.0,0.0,validation,0.0,5.0,0.0,0.0,0.0,0.0,0.039588987827301025,0.9994863152123244,53,0.2014162077104642,1.0,-0.43854373693466187,0.03956831833726842
256.0,0.0,0.0,0.0,0.0,5.0,0.0,hotpotqa,1.0,0.0,5ab56db7554299494045efc6,0.0,1.0,-0.6695023894309997,0.03080478710931592,0.0,E2_high,0.0,0.0,0.0,validation,0.0,5.0,0.0,0.0,0.0,0.0,0.02611786127090454,0.9997095934297389,71,0.2014162077104642,1.0,-0.6305643916130066,0.026111924188269454
