active_kv_bytes,active_kv_tokens,condition,cost_per_million_tokens,dataset,effort,example_id,gather_materialization_seconds,generated_tokens,gpu_utilization,graph_search_latency_seconds,h2d_bytes,h2d_seconds,measured,measurement_scope,peak_gpu_allocated_bytes,peak_gpu_reserved_bytes,routing_latency_seconds,throughput_requests_per_second,tokens_per_second,total_latency_seconds,tpot_seconds,ttft_seconds
6832128,1668,graph_sparse,not_measurable_local_hardware,2wikimultihopqa,E0_low,0008d48808a011ebbd78ac1f6bf848b6,0.0044680999126285315,3,not_captured,0.003678999957628548,2359296,0.0023308000527322292,True,inherited_qwen_gate3_single_request,1216314368,1237319680,0.003678999957628548,2.454945007747091,7.364835023241273,0.40734110004268587,0.12380865000886843,0.1586905000731349
17055744,4164,graph_balanced,not_measurable_local_hardware,2wikimultihopqa,E1_medium,0008d48808a011ebbd78ac1f6bf848b6,0.017971500055864453,3,not_captured,0.0010773999383673072,12582912,0.011162100010551512,True,inherited_qwen_gate3_single_request,1232888320,1258291200,0.0010773999383673072,1.5197693111469264,4.559307933440779,0.6579946000128984,0.1311962500330992,0.3948713999707252
27934720,6820,graph_high,not_measurable_local_hardware,2wikimultihopqa,E2_high,0008d48808a011ebbd78ac1f6bf848b6,0.03089709999039769,3,not_captured,0.004869299940764904,23461888,0.01971689984202385,True,inherited_qwen_gate3_single_request,1249389056,1279262720,0.004869299940764904,1.9485690779537874,5.845707233861362,0.5131971000228077,0.1562074499670416,0.20013310003560036
9355264,2284,graph_sparse,not_measurable_local_hardware,2wikimultihopqa,E0_low,0017cac508be11ebbd8aac1f6bf848b6,0.007083099917508662,3,not_captured,0.007723499904386699,4079616,0.004272300051525235,True,inherited_qwen_gate3_single_request,1219043840,1233125376,0.007723499904386699,2.4160769626919945,7.248230888075984,0.41389409999828786,0.12460475001716986,0.16402819997165352
15908864,3884,graph_balanced,not_measurable_local_hardware,2wikimultihopqa,E1_medium,0017cac508be11ebbd8aac1f6bf848b6,0.017235100036486983,3,not_captured,0.0011322000063955784,10633216,0.011097000096924603,True,inherited_qwen_gate3_single_request,1230675968,1251999744,0.0011322000063955784,2.282229126401372,6.846687379204116,0.43816809996496886,0.12767009995877743,0.18204660003539175
18006016,4396,graph_high,not_measurable_local_hardware,2wikimultihopqa,E2_high,0017cac508be11ebbd8aac1f6bf848b6,0.029319999972358346,3,not_captured,0.0014608000637963414,12730368,0.019636199926026165,True,inherited_qwen_gate3_single_request,1233415168,1251999744,0.0014608000637963414,1.7124862334919637,5.137458700475891,0.583946300088428,0.2012332499725744,0.18059650005307049
8929280,2180,graph_sparse,not_measurable_local_hardware,2wikimultihopqa,E0_low,001ad110086911ebbd5eac1f6bf848b6,0.01057859999127686,3,not_captured,0.007287299958989024,3883008,0.005693999934010208,True,inherited_qwen_gate3_single_request,1220132352,1235222528,0.007287299958989024,2.3297288542733687,6.989186562820106,0.42923450004309416,0.13180094998097047,0.1645121000474319
15745024,3844,graph_balanced,not_measurable_local_hardware,2wikimultihopqa,E1_medium,001ad110086911ebbd5eac1f6bf848b6,0.015109499916434288,3,not_captured,0.000803499948233366,10698752,0.009660299983806908,True,inherited_qwen_gate3_single_request,1231926272,1254096896,0.000803499948233366,2.2661107440502577,6.7983322321507735,0.44128470006398857,0.12580860004527494,0.18894979998003691
26230784,6404,graph_high,not_measurable_local_hardware,2wikimultihopqa,E2_high,001ad110086911ebbd5eac1f6bf848b6,0.02964520000386983,3,not_captured,0.00391139998100698,21184512,0.019848399912007153,True,inherited_qwen_gate3_single_request,1250168832,1275068416,0.00391139998100698,1.97644941944138,5.92934825832414,0.5059577999636531,0.148514750006143,0.20818610000424087
9469952,2312,graph_sparse,not_measurable_local_hardware,2wikimultihopqa,E0_low,00223e06084a11ebbd55ac1f6bf848b6,0.007548799971118569,3,not_captured,0.0033110000658780336,4194304,0.004607899929396808,True,inherited_qwen_gate3_single_request,1219745280,1237319680,0.0033110000658780336,2.546781186463209,7.640343559389627,0.3926525000715628,0.11524105002172291,0.1613554999930784
17858560,4360,graph_balanced,not_measurable_local_hardware,2wikimultihopqa,E1_medium,00223e06084a11ebbd55ac1f6bf848b6,0.01787819992750883,3,not_captured,0.0007900000782683492,12582912,0.011536800069734454,True,inherited_qwen_gate3_single_request,1233878016,1258291200,0.0007900000782683492,2.182246378354377,6.546739135063131,0.45824339997489005,0.13353244995232671,0.19029020005837083
20660224,5044,graph_high,not_measurable_local_hardware,2wikimultihopqa,E2_high,00223e06084a11ebbd55ac1f6bf848b6,0.024012799956835806,3,not_captured,0.000999900046736002,15384576,0.014424000168219209,True,inherited_qwen_gate3_single_request,1238497792,1258291200,0.000999900046736002,2.216477113605746,6.649431340817238,0.4511663999874145,0.13233054999727756,0.18577320000622422
10960896,2676,graph_sparse,not_measurable_local_hardware,2wikimultihopqa,E0_low,002f12240bde11eba7f7acde48001122,0.006620500003919005,16,not_captured,0.003831900074146688,4194304,0.0037153998855501413,True,inherited_qwen_gate3_single_request,1219920896,1241513984,0.003831900074146688,0.4875041474383538,7.800066359013661,2.0512646000133827,0.1253800000064075,0.16984220000449568
19349504,4724,graph_balanced,not_measurable_local_hardware,2wikimultihopqa,E1_medium,002f12240bde11eba7f7acde48001122,0.01698529999703169,16,not_captured,0.0008132000220939517,12582912,0.011331699788570404,True,inherited_qwen_gate3_single_request,1234051072,1262485504,0.0008132000220939517,0.4680812362620687,7.489299780193099,2.1363812999334186,0.13035479333096495,0.18040299997664988
22806528,5568,graph_high,not_measurable_local_hardware,2wikimultihopqa,E2_high,002f12240bde11eba7f7acde48001122,0.020586200058460236,16,not_captured,0.0010272000217810273,16039936,0.013014899799600244,True,inherited_qwen_gate3_single_request,1241072128,1262485504,0.0010272000217810273,0.4590184853788623,7.344295766061797,2.178561499924399,0.13255199333652853,0.18957169994246215
8896512,2172,graph_sparse,not_measurable_local_hardware,2wikimultihopqa,E0_low,00310dc8094611ebbdaeac1f6bf848b6,0.007275099982507527,5,not_captured,0.005735000013373792,4194304,0.004307800089009106,True,inherited_qwen_gate3_single_request,1217430016,1243611136,0.005735000013373792,1.614265197052395,8.071325985261975,0.6194768999703228,0.11419327501789667,0.16204329999163747
13893632,3392,graph_balanced,not_measurable_local_hardware,2wikimultihopqa,E1_medium,00310dc8094611ebbdaeac1f6bf848b6,0.014016599976457655,5,not_captured,0.0024516000412404537,9191424,0.008758200099691749,True,inherited_qwen_gate3_single_request,1225484800,1243611136,0.0024516000412404537,1.4884985945656473,7.442492972828236,0.6718179000308737,0.1251175749930553,0.1707673000637442
18087936,4416,graph_high,not_measurable_local_hardware,2wikimultihopqa,E2_high,00310dc8094611ebbdaeac1f6bf848b6,0.017985899932682514,5,not_captured,0.0010565000120550394,13385728,0.011517099919728935,True,inherited_qwen_gate3_single_request,1231147008,1264582656,0.0010565000120550394,1.4022810625584974,7.011405312792487,0.7131238000001758,0.13374130000011064,0.17728669999632984
7733248,1888,graph_sparse,not_measurable_local_hardware,2wikimultihopqa,E0_low,003285a80bde11eba7f7acde48001122,0.005470499861985445,5,not_captured,0.004098900011740625,3145728,0.0030227000825107098,True,inherited_qwen_gate3_single_request,1218504704,1291845632,0.004098900011740625,1.6373475037380667,8.186737518690332,0.610743899946101,0.11287142499350011,0.15864569996483624
17154048,4188,graph_balanced,not_measurable_local_hardware,2wikimultihopqa,E1_medium,003285a80bde11eba7f7acde48001122,0.019283499917946756,5,not_captured,0.0007977000204846263,12566528,0.011975100031122565,True,inherited_qwen_gate3_single_request,1233808384,1312817152,0.0007977000204846263,1.2886976575890279,6.443488287945139,0.7759772000135854,0.1464077249984257,0.1895858000498265
