active_native_kv,answer_quality,attempts,layout,method,n,payload_type,search_effort
16.0,1.0,1.0,L0_context_query,auto_retry,24,logs,8.0
16.0,0.0,1.0,L0_context_query,broad,24,logs,8.0
16.0,1.0,1.0,L0_context_query,explicit,24,logs,8.0
16.0,1.0,1.0,L0_context_query,head,24,logs,8.0
16.0,1.0,1.0,L0_context_query,structural,24,logs,8.0
16.0,1.0,1.0,L0_context_query,suffix,24,logs,8.0
16.0,1.0,1.0,L0_context_query,auto_retry,24,prose,8.0
16.0,0.0,1.0,L0_context_query,broad,24,prose,8.0
16.0,1.0,1.0,L0_context_query,explicit,24,prose,8.0
16.0,1.0,1.0,L0_context_query,head,24,prose,8.0
16.0,1.0,1.0,L0_context_query,structural,24,prose,8.0
16.0,1.0,1.0,L0_context_query,suffix,24,prose,8.0
16.0,1.0,1.0,L0_context_query,auto_retry,24,urls,8.0
16.0,1.0,1.0,L0_context_query,broad,24,urls,8.0
16.0,1.0,1.0,L0_context_query,explicit,24,urls,8.0
16.0,1.0,1.0,L0_context_query,head,24,urls,8.0
16.0,1.0,1.0,L0_context_query,structural,24,urls,8.0
16.0,1.0,1.0,L0_context_query,suffix,24,urls,8.0
16.0,1.0,2.0,L1_query_context,auto_retry,24,logs,16.0
16.0,0.0,1.0,L1_query_context,broad,24,logs,8.0
16.0,1.0,1.0,L1_query_context,explicit,24,logs,8.0
16.0,0.0,1.0,L1_query_context,head,24,logs,8.0
16.0,1.0,1.0,L1_query_context,structural,24,logs,8.0
16.0,0.0,1.0,L1_query_context,suffix,24,logs,8.0
16.0,1.0,2.0,L1_query_context,auto_retry,24,prose,16.0
16.0,0.0,1.0,L1_query_context,broad,24,prose,8.0
16.0,1.0,1.0,L1_query_context,explicit,24,prose,8.0
16.0,0.0,1.0,L1_query_context,head,24,prose,8.0
16.0,1.0,1.0,L1_query_context,structural,24,prose,8.0
16.0,0.0,1.0,L1_query_context,suffix,24,prose,8.0
16.0,1.0,2.0,L1_query_context,auto_retry,24,urls,16.0
16.0,1.0,1.0,L1_query_context,broad,24,urls,8.0
16.0,1.0,1.0,L1_query_context,explicit,24,urls,8.0
16.0,0.0,1.0,L1_query_context,head,24,urls,8.0
16.0,1.0,1.0,L1_query_context,structural,24,urls,8.0
16.0,0.0,1.0,L1_query_context,suffix,24,urls,8.0
16.0,1.0,2.0,L2_context_query_context,auto_retry,24,logs,16.0
16.0,0.0,1.0,L2_context_query_context,broad,24,logs,8.0
16.0,1.0,1.0,L2_context_query_context,explicit,24,logs,8.0
16.0,0.0,1.0,L2_context_query_context,head,24,logs,8.0
16.0,1.0,1.0,L2_context_query_context,structural,24,logs,8.0
16.0,0.0,1.0,L2_context_query_context,suffix,24,logs,8.0
16.0,1.0,2.0,L2_context_query_context,auto_retry,24,prose,16.0
16.0,0.0,1.0,L2_context_query_context,broad,24,prose,8.0
16.0,1.0,1.0,L2_context_query_context,explicit,24,prose,8.0
16.0,0.0,1.0,L2_context_query_context,head,24,prose,8.0
16.0,1.0,1.0,L2_context_query_context,structural,24,prose,8.0
16.0,0.0,1.0,L2_context_query_context,suffix,24,prose,8.0
16.0,1.0,2.0,L2_context_query_context,auto_retry,24,urls,16.0
16.0,1.0,1.0,L2_context_query_context,broad,24,urls,8.0
16.0,1.0,1.0,L2_context_query_context,explicit,24,urls,8.0
16.0,0.0,1.0,L2_context_query_context,head,24,urls,8.0
16.0,1.0,1.0,L2_context_query_context,structural,24,urls,8.0
16.0,1.0,1.0,L2_context_query_context,suffix,24,urls,8.0
16.0,1.0,1.0,L3_instruction_context_query,auto_retry,24,logs,8.0
16.0,0.0,1.0,L3_instruction_context_query,broad,24,logs,8.0
16.0,1.0,1.0,L3_instruction_context_query,explicit,24,logs,8.0
16.0,1.0,1.0,L3_instruction_context_query,head,24,logs,8.0
16.0,1.0,1.0,L3_instruction_context_query,structural,24,logs,8.0
16.0,1.0,1.0,L3_instruction_context_query,suffix,24,logs,8.0
16.0,1.0,1.0,L3_instruction_context_query,auto_retry,24,prose,8.0
16.0,0.0,1.0,L3_instruction_context_query,broad,24,prose,8.0
16.0,1.0,1.0,L3_instruction_context_query,explicit,24,prose,8.0
16.0,1.0,1.0,L3_instruction_context_query,head,24,prose,8.0
16.0,1.0,1.0,L3_instruction_context_query,structural,24,prose,8.0
16.0,1.0,1.0,L3_instruction_context_query,suffix,24,prose,8.0
16.0,1.0,1.0,L3_instruction_context_query,auto_retry,24,urls,8.0
16.0,1.0,1.0,L3_instruction_context_query,broad,24,urls,8.0
16.0,1.0,1.0,L3_instruction_context_query,explicit,24,urls,8.0
