dataset,example_id,query_representation,contextual_representation,depth,cosine_similarity,cosine_drift
qasper,1810.12085:c2cb6c4500d9e02fc9a1bdffd22c3df69655189f,S4_hidden_l14_mean,S8_context_hidden_l14_mean,14,0.935897707939148,0.06410229206085205
qasper,1810.12085:c2cb6c4500d9e02fc9a1bdffd22c3df69655189f,S5_hidden_l28_mean,S8_context_hidden_l28_mean,28,0.912355899810791,0.08764410018920898
qasper,1810.12085:c2cb6c4500d9e02fc9a1bdffd22c3df69655189f,S6_native_q_l13_mean,S8_context_native_q_l13_mean,14,0.8772750496864319,0.12272495031356812
qasper,1810.12085:c2cb6c4500d9e02fc9a1bdffd22c3df69655189f,S6_native_q_l23_mean,S8_context_native_q_l23_mean,24,0.9476358294487,0.05236417055130005
qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,S4_hidden_l14_mean,S8_context_hidden_l14_mean,14,0.9116336703300476,0.08836632966995239
qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,S5_hidden_l28_mean,S8_context_hidden_l28_mean,28,0.969170331954956,0.030829668045043945
qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,S6_native_q_l13_mean,S8_context_native_q_l13_mean,14,0.8955804705619812,0.1044195294380188
qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,S6_native_q_l23_mean,S8_context_native_q_l23_mean,24,0.9680907130241394,0.031909286975860596
qasper,1912.13337:e97186c51d4af490dba6faaf833d269c8256426c,S4_hidden_l14_mean,S8_context_hidden_l14_mean,14,0.9315142631530762,0.06848573684692383
qasper,1912.13337:e97186c51d4af490dba6faaf833d269c8256426c,S5_hidden_l28_mean,S8_context_hidden_l28_mean,28,0.9378882646560669,0.062111735343933105
qasper,1912.13337:e97186c51d4af490dba6faaf833d269c8256426c,S6_native_q_l13_mean,S8_context_native_q_l13_mean,14,0.8872690200805664,0.1127309799194336
qasper,1912.13337:e97186c51d4af490dba6faaf833d269c8256426c,S6_native_q_l23_mean,S8_context_native_q_l23_mean,24,0.959214448928833,0.04078555107116699
qasper,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,S4_hidden_l14_mean,S8_context_hidden_l14_mean,14,0.9650238752365112,0.03497612476348877
qasper,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,S5_hidden_l28_mean,S8_context_hidden_l28_mean,28,0.948210597038269,0.05178940296173096
qasper,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,S6_native_q_l13_mean,S8_context_native_q_l13_mean,14,0.9553250670433044,0.04467493295669556
qasper,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,S6_native_q_l23_mean,S8_context_native_q_l23_mean,24,0.9833229780197144,0.016677021980285645
