active_kv_tokens,allocated_kv_tokens,concurrent_requests,device,hbm_bytes_extrapolated,hbm_extrapolated,measured_compute,p50_latency_seconds,p95_latency_seconds,padding_or_fragmentation_fraction,strategy,throughput_requests_per_second
256,256,1,cpu,65536,True,True,5.7399971410632133e-05,7.289997301995754e-05,0.0,pad_to_max,17421.611464683956
256,256,1,cpu,65536,True,True,6.10999995842576e-05,6.539991591125727e-05,0.0,bucketed,16366.612222656213
256,256,1,cpu,65536,True,True,7.00005330145359e-06,1.1399970389902592e-05,0.0,packed_ragged,142856.05508065858
256,256,1,cpu,65536,True,True,6.789993494749069e-05,0.00016439997125416994,0.0,page_based,14727.554610668385
640,768,2,cpu,196608,True,True,0.00012179999612271786,0.00021159998141229153,0.16666666666666663,pad_to_max,16420.361770659896
640,640,2,cpu,163840,True,True,0.00012770004104822874,0.00015899993013590574,0.0,bucketed,15661.702091737432
640,640,2,cpu,163840,True,True,1.2299977242946625e-05,1.3399985618889332e-05,0.0,packed_ragged,162601.92685696977
640,640,2,cpu,163840,True,True,0.0001246999017894268,0.0001295000547543168,0.0,page_based,16038.505013237935
1920,3072,4,cpu,786432,True,True,0.00017349992413073778,0.00018400000408291817,0.375,pad_to_max,23054.765124772453
1920,1920,4,cpu,491520,True,True,0.00026709993835538626,0.00027439999394118786,0.0,bucketed,14975.668001382513
1920,1920,4,cpu,491520,True,True,2.4499953724443913e-05,2.789997961372137e-05,0.0,packed_ragged,163265.61449824902
1920,1920,4,cpu,491520,True,True,0.0002664000494405627,0.0002753000007942319,0.0,page_based,15015.012228413461
4096,8192,8,cpu,2097152,True,True,0.00034849997609853745,0.000659500015899539,0.5,pad_to_max,22955.525247261485
4096,4096,8,cpu,1048576,True,True,0.0005026999861001968,0.0007750000804662704,0.0,bucketed,15914.064494136392
4096,4096,8,cpu,1048576,True,True,5.2200048230588436e-05,5.440006498247385e-05,0.0,packed_ragged,153256.56337827138
4096,4096,8,cpu,1048576,True,True,0.00046680006198585033,0.00047990004532039165,0.0,page_based,17137.95830696033
9088,16384,16,cpu,4194304,True,True,0.0008228000951930881,0.0014580999268218875,0.4453125,pad_to_max,19445.792597101303
9088,9088,16,cpu,2326528,True,True,0.0008157000411301851,0.0009318999946117401,0.0,bucketed,19615.05356531717
9088,9088,16,cpu,2326528,True,True,9.959994349628687e-05,0.00014859996736049652,0.0,packed_ragged,160642.66141472748
9088,9088,16,cpu,2326528,True,True,0.000820700079202652,0.0013167000142857432,0.0,page_based,19495.550695626516
18304,32768,32,cpu,8388608,True,True,0.0024007000029087067,0.002797099994495511,0.44140625,pad_to_max,13329.445562222916
18304,18304,32,cpu,4685824,True,True,0.0018862000433728099,0.0020948000019416213,0.0,bucketed,16965.326722598933
18304,18304,32,cpu,4685824,True,True,0.00027540000155568123,0.0005760999629274011,0.0,packed_ragged,116194.62534218664
18304,18304,32,cpu,4685824,True,True,0.0013071000576019287,0.001968399970792234,0.0,page_based,24481.675916003558
