active_native_kv,answer_quality,attempts,case_id,end_error,evidence_recall,layout,method,mrr,path_recovery,payload_type,prompt_tokens,query_end,query_region_count,query_start,region_confidence,region_precision,region_recall,region_selection_method,root_rank,root_recall_at_1,root_score_gap,search_effort,span_iou,start_error
16,1.0,1,0,0,1.0,L0_context_query,head,1.0,1.0,prose,89,89,1,73,0.5,0.4375,1.0,head,1,1.0,0.14433756729740646,8,0.4375,9
16,1.0,1,0,0,1.0,L0_context_query,suffix,1.0,1.0,prose,89,89,1,57,0.5,0.21875,1.0,suffix,1,1.0,0.125,8,0.21875,25
16,1.0,1,0,0,1.0,L0_context_query,explicit,1.0,1.0,prose,89,89,1,82,1.0,1.0,1.0,explicit,1,1.0,0.1889822365046136,8,1.0,0
16,1.0,1,0,0,1.0,L0_context_query,structural,1.0,1.0,prose,89,89,1,82,0.98,1.0,1.0,structural,1,1.0,0.1889822365046136,8,1.0,0
16,0.0,1,0,0,0.0,L0_context_query,broad,0.125,0.0,prose,89,89,1,0,1.0,0.07865168539325842,1.0,explicit,8,0.0,0.0,8,0.07865168539325842,82
16,1.0,1,0,0,1.0,L0_context_query,auto_retry,1.0,1.0,prose,89,89,1,73,0.5,0.4375,1.0,head,1,1.0,0.14433756729740646,8,0.4375,9
16,0.0,1,0,82,0.0,L1_query_context,head,0.125,0.0,prose,89,89,1,73,0.5,0.0,0.0,head,8,0.0,0.0,8,0.0,73
16,0.0,1,0,82,0.0,L1_query_context,suffix,0.125,0.0,prose,89,89,1,57,0.5,0.0,0.0,suffix,8,0.0,0.0,8,0.0,57
16,1.0,1,0,0,1.0,L1_query_context,explicit,1.0,1.0,prose,89,7,1,0,1.0,1.0,1.0,explicit,1,1.0,0.1889822365046136,8,1.0,0
16,1.0,1,0,0,1.0,L1_query_context,structural,1.0,1.0,prose,89,7,1,0,0.98,1.0,1.0,structural,1,1.0,0.1889822365046136,8,1.0,0
16,0.0,1,0,82,0.0,L1_query_context,broad,0.125,0.0,prose,89,89,1,0,1.0,0.07865168539325842,1.0,explicit,8,0.0,0.0,8,0.07865168539325842,0
16,1.0,2,0,0,1.0,L1_query_context,auto_retry,1.0,1.0,prose,89,7,1,0,0.98,1.0,1.0,structural,1,1.0,0.1889822365046136,16,1.0,0
16,0.0,1,0,44,0.0,L2_context_query_context,head,0.125,0.0,prose,89,89,1,73,0.5,0.0,0.0,head,8,0.0,0.0,8,0.0,35
16,0.0,1,0,44,0.0,L2_context_query_context,suffix,0.125,0.0,prose,89,89,1,57,0.5,0.0,0.0,suffix,8,0.0,0.0,8,0.0,19
16,1.0,1,0,0,1.0,L2_context_query_context,explicit,1.0,1.0,prose,89,45,1,38,1.0,1.0,1.0,explicit,1,1.0,0.1889822365046136,8,1.0,0
16,1.0,1,0,0,1.0,L2_context_query_context,structural,1.0,1.0,prose,89,45,1,38,0.98,1.0,1.0,structural,1,1.0,0.1889822365046136,8,1.0,0
16,0.0,1,0,44,0.0,L2_context_query_context,broad,0.125,0.0,prose,89,89,1,0,1.0,0.07865168539325842,1.0,explicit,8,0.0,0.0,8,0.07865168539325842,38
