variant,router_seed,dataset,example_id,model_seed,selected_config,oracle_config,quality,cost,oracle_quality,oracle_cost,cost_regret,allocation_outcome,invalid_combination_repaired,selected_parent_count,selected_evidence_parent_count,selected_evidence_parent_ids,selected_visited_ids,selected_materialized_ids,selected_visited_count,selected_materialized_parent_count,selected_conceptual_evidence_recall,selected_conceptual_evidence_precision,selected_evidence_kv_recall,selected_evidence_kv_precision,selected_materialized_kv_tokens,selected_root_comparisons,selected_transition_comparisons,facets,roots,neighbors,hops,search_budget,kv_budget
R1_factorized,1,hotpotqa,5ab2b863554299295394685a,11,F1_R1_K2_H1_Bs4_Bkv4,F1_R1_K2_H0_Bs2_Bkv2,1.0,18.890625,1.0,7.0,11.890625,over_allocation,0,6,2,"[3, 4]","[3, 5, 4]","[3, 5, 4]",3,3,1.0,0.6727989487516426,1.0,0.6727989487516426,761.0,6.0,2.0,1,1,2,1,4,4
R1_factorized,1,hotpotqa,5ab2b863554299295394685a,23,F1_R1_K2_H1_Bs4_Bkv4,F1_R1_K2_H0_Bs2_Bkv2,1.0,18.890625,1.0,7.0,11.890625,over_allocation,0,6,2,"[3, 4]","[3, 5, 4]","[3, 5, 4]",3,3,1.0,0.6727989487516426,1.0,0.6727989487516426,761.0,6.0,2.0,1,1,2,1,4,4
R1_factorized,1,hotpotqa,5ab2b863554299295394685a,37,F1_R1_K2_H1_Bs4_Bkv4,F1_R1_K2_H0_Bs2_Bkv2,1.0,18.890625,1.0,7.0,11.890625,over_allocation,0,6,2,"[3, 4]","[3, 5, 4]","[3, 5, 4]",3,3,1.0,0.6727989487516426,1.0,0.6727989487516426,761.0,6.0,2.0,1,1,2,1,4,4
R1_factorized,1,hotpotqa,5ab2b863554299295394685a,53,F1_R1_K2_H1_Bs4_Bkv4,F1_R1_K2_H0_Bs2_Bkv2,1.0,18.890625,1.0,7.0,11.890625,over_allocation,0,6,2,"[3, 4]","[3, 5, 4]","[3, 5, 4]",3,3,1.0,0.6727989487516426,1.0,0.6727989487516426,761.0,6.0,2.0,1,1,2,1,4,4
R1_factorized,1,hotpotqa,5ab2b863554299295394685a,71,F1_R2_K2_H0_Bs2_Bkv2,F1_R2_K2_H0_Bs2_Bkv2,1.0,11.0,1.0,11.0,0.0,matched,0,6,2,"[3, 4]","[1, 3]","[1, 3]",2,2,0.5,0.5,0.5,0.5,512.0,6.0,0.0,1,2,2,0,2,2
R1_factorized,1,hotpotqa,5a710a915542994082a3e504,11,F1_R1_K2_H1_Bs4_Bkv4,F1_R1_K2_H1_Bs4_Bkv4,1.0,19.0,1.0,19.0,0.0,matched,0,5,2,"[1, 3]","[1, 0, 3]","[1, 0, 3]",3,3,1.0,0.6666666666666666,1.0,0.6666666666666666,768.0,5.0,2.0,1,1,2,1,4,4
R1_factorized,1,hotpotqa,5a710a915542994082a3e504,23,F1_R4_K2_H0_Bs4_Bkv4,F1_R4_K2_H0_Bs4_Bkv4,1.0,21.0,1.0,21.0,0.0,matched,0,5,2,"[1, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",4,4,1.0,0.5,1.0,0.5,1024.0,5.0,0.0,1,4,2,0,4,4
R1_factorized,1,hotpotqa,5a710a915542994082a3e504,37,F1_R2_K2_H1_Bs2_Bkv2,F1_R1_K2_H1_Bs4_Bkv4,0.0,11.0,1.0,19.0,-8.0,under_allocation,0,5,2,"[1, 3]","[1, 4]","[1, 4]",2,2,0.5,0.6666666666666666,0.5,0.6666666666666666,384.0,5.0,2.0,1,2,2,1,2,2
R1_factorized,1,hotpotqa,5a710a915542994082a3e504,53,F1_R2_K2_H1_Bs8_Bkv8,F1_R1_K2_H1_Bs4_Bkv4,1.0,27.0,1.0,19.0,8.0,over_allocation,0,5,2,"[1, 3]","[1, 0, 4, 3]","[1, 0, 4, 3]",4,4,1.0,0.5714285714285714,1.0,0.5714285714285714,896.0,5.0,4.0,1,2,2,1,8,8
R1_factorized,1,hotpotqa,5a710a915542994082a3e504,71,F1_R1_K4_H1_Bs4_Bkv4,F1_R4_K2_H0_Bs4_Bkv4,0.0,23.0,1.0,19.0,4.0,under_allocation,0,5,2,"[1, 3]","[0, 4, 3, 2]","[0, 4, 3, 2]",4,4,0.5,0.2857142857142857,0.5,0.2857142857142857,896.0,5.0,4.0,1,1,4,1,4,4
R1_factorized,1,hotpotqa,5adc93a4554299438c868e01,11,F1_R1_K2_H1_Bs4_Bkv4,F1_R1_K2_H1_Bs2_Bkv2,1.0,19.0,1.0,13.0,6.0,over_allocation,0,5,3,"[0, 1, 3]","[0, 3, 2]","[0, 3, 2]",3,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,768.0,5.0,2.0,1,1,2,1,4,4
R1_factorized,1,hotpotqa,5adc93a4554299438c868e01,23,F1_R1_K2_H0_Bs2_Bkv2,F1_R1_K2_H1_Bs4_Bkv4,0.0,5.703125,1.0,17.703125,-12.0,under_allocation,0,5,3,"[0, 1, 3]",[4],[4],1,1,0.0,0.0,0.0,0.0,173.0,5.0,0.0,1,1,2,0,2,2
R1_factorized,1,hotpotqa,5adc93a4554299438c868e01,37,F1_R1_K2_H1_Bs2_Bkv2,F1_R1_K2_H1_Bs2_Bkv2,1.0,13.0,1.0,13.0,0.0,matched,0,5,3,"[0, 1, 3]","[0, 3]","[0, 3]",2,2,0.6666666666666666,1.0,0.6666666666666666,1.0,512.0,5.0,2.0,1,1,2,1,2,2
