active_native_kv,method,n,root_recall,roots,search_effort
16.0,explicit,360,1.0,1,8.0
32.0,explicit,360,1.0,2,8.0
64.0,explicit,360,1.0,4,8.0
16.0,head,360,0.4,1,8.0
32.0,head,360,0.4,2,8.0
64.0,head,360,0.4,4,8.0
16.0,structural,360,1.0,1,8.0
32.0,structural,360,1.0,2,8.0
64.0,structural,360,1.0,4,8.0
