dataset,policy,examples,N,E,K,recovered,R_E,P_E,C_E,K_over_N,K_over_E,rho,eta,K_search,K_admit,KV_active,search_cost,search_R_E,search_P_E,search_C_E,search_K_over_N,search_K_over_E,admit_recovered,admit_R_E,admit_P_E,admit_C_E,admit_K_over_N,admit_K_over_E,median_N,median_E
hotpotqa,R0_profile,175,5.857142857142857,2.142857142857143,4.0,1.6,0.7333333333333334,0.4,0.5428571428571428,0.6965986394557823,1.9047619047619047,0.3034013605442177,1.0488095238095239,4.0,4.0,979.2,19.714285714285715,0.7333333333333334,0.4,0.5428571428571428,0.6965986394557823,1.9047619047619047,1.6,0.7333333333333334,0.4,0.5428571428571428,0.6965986394557823,1.9047619047619047,6.0,2.0
hotpotqa,R1_conservative,175,5.857142857142857,2.142857142857143,2.9771428571428573,1.2514285714285713,0.5847619047619047,0.4468979591836735,0.2857142857142857,0.5188027210884354,1.424761904761905,0.48119727891156466,1.2017619047619048,2.9771428571428573,2.9714285714285715,723.8571428571429,8.388571428571428,0.5847619047619047,0.4468979591836735,0.2857142857142857,0.5188027210884354,1.424761904761905,1.2514285714285713,0.5847619047619047,0.44785034013605446,0.2857142857142857,0.5179863945578231,1.421904761904762,6.0,2.0
hotpotqa,R1_factorized,175,5.857142857142857,2.142857142857143,2.6914285714285713,1.2,0.56,0.4720408163265306,0.2571428571428571,0.47134693877551015,1.282857142857143,0.5286530612244899,1.2804761904761905,2.6914285714285713,2.6914285714285713,654.4971428571429,7.714285714285714,0.56,0.4720408163265306,0.2571428571428571,0.47134693877551015,1.282857142857143,1.2,0.56,0.4720408163265306,0.2571428571428571,0.47134693877551015,1.282857142857143,6.0,2.0
hotpotqa,R2_conservative,175,5.857142857142857,2.142857142857143,3.1942857142857144,1.2285714285714286,0.5733333333333334,0.4047074829931973,0.3142857142857143,0.545687074829932,1.5371428571428571,0.45431292517006805,1.0438571428571428,3.1942857142857144,3.1942857142857144,791.6742857142857,8.08,0.5733333333333334,0.4047074829931973,0.3142857142857143,0.545687074829932,1.5371428571428571,1.2285714285714286,0.5733333333333334,0.4047074829931973,0.3142857142857143,0.545687074829932,1.5371428571428571,6.0,2.0
hotpotqa,R2_query_hash,175,5.857142857142857,2.142857142857143,2.914285714285714,1.1657142857142857,0.5447619047619048,0.41821768707483,0.28,0.496952380952381,1.400952380952381,0.5030476190476191,1.0814603174603175,2.914285714285714,2.8971428571428572,720.5085714285714,7.725714285714286,0.5447619047619048,0.41821768707483,0.28,0.496952380952381,1.400952380952381,1.1657142857142857,0.5447619047619048,0.41917006802721085,0.28,0.49436734693877554,1.3923809523809523,6.0,2.0
hotpotqa,R3A_factorized,175,5.857142857142857,2.142857142857143,3.0628571428571427,1.1485714285714286,0.5428571428571428,0.394,0.2914285714285714,0.5246530612244898,1.4819047619047618,0.4753469387755102,1.0328095238095238,3.0628571428571427,3.0628571428571427,748.0857142857143,8.057142857142857,0.5428571428571428,0.394,0.2914285714285714,0.5246530612244898,1.4819047619047618,1.1485714285714286,0.5428571428571428,0.394,0.2914285714285714,0.5246530612244898,1.4819047619047618,6.0,2.0
hotpotqa,factorized_oracle,35,5.857142857142857,2.142857142857143,3.3714285714285714,1.7428571428571429,0.8238095238095238,0.6238775510204082,0.6,0.5756462585034013,1.6333333333333333,0.42435374149659866,1.6643650793650795,3.3714285714285714,3.3714285714285714,839.9714285714285,7.942857142857143,0.8238095238095238,0.6238775510204082,0.6,0.5756462585034013,1.6333333333333333,1.7428571428571429,0.8238095238095238,0.6238775510204082,0.6,0.5756462585034013,1.6333333333333333,6.0,2.0
hotpotqa,fixed_E1,35,5.857142857142857,2.142857142857143,4.0,1.6,0.7333333333333334,0.4,0.5428571428571428,0.6965986394557823,1.9047619047619049,0.3034013605442177,1.0488095238095239,4.0,4.0,979.2,19.714285714285715,0.7333333333333334,0.4,0.5428571428571428,0.6965986394557823,1.9047619047619049,1.6,0.7333333333333334,0.4,0.5428571428571428,0.6965986394557823,1.9047619047619049,6.0,2.0
hotpotqa,targeted_retry,35,5.857142857142857,2.142857142857143,4.371428571428571,2.0285714285714285,0.9476190476190476,0.4762585034013605,0.8857142857142857,0.7557823129251701,2.0904761904761906,0.24421768707482994,1.2802380952380952,4.371428571428571,4.371428571428571,1078.8285714285714,16.885714285714286,0.9476190476190476,0.4762585034013605,0.8857142857142857,0.7557823129251701,2.0904761904761906,2.0285714285714285,0.9476190476190476,0.4762585034013605,0.8857142857142857,0.7557823129251701,2.0904761904761906,6.0,2.0
qasper,R0_profile,150,16.333333333333332,1.1666666666666667,2.5,0.8,0.75,0.45,0.7,0.18225741120477962,2.2666666666666666,0.8177425887952204,6.9125,2.5,2.5,636.4,27.866666666666667,0.75,0.45,0.7,0.18225741120477962,2.2666666666666666,0.8,0.75,0.45,0.7,0.18225741120477962,2.2666666666666666,16.5,1.0
qasper,R1_conservative,150,16.333333333333332,1.1666666666666667,2.7066666666666666,0.8,0.75,0.4368174603174603,0.7,0.17728298017771701,2.43,0.822717019822283,6.526638888888889,2.7066666666666666,2.7066666666666666,688.02,20.04,0.75,0.4368174603174603,0.7,0.17728298017771701,2.43,0.8,0.75,0.4368174603174603,0.7,0.17728298017771701,2.43,16.5,1.0
qasper,R1_factorized,150,16.333333333333332,1.1666666666666667,2.4133333333333336,0.7866666666666666,0.7366666666666667,0.4694206349206349,0.6866666666666666,0.15930887825624668,2.18,0.8406911217437534,6.951944444444445,2.4133333333333336,2.4133333333333336,614.64,19.073333333333334,0.7366666666666667,0.4694206349206349,0.6866666666666666,0.15930887825624668,2.18,0.7866666666666666,0.7366666666666667,0.4694206349206349,0.6866666666666666,0.15930887825624668,2.18,16.5,1.0
qasper,R2_conservative,150,16.333333333333332,1.1666666666666667,2.6066666666666665,0.7533333333333333,0.7033333333333334,0.4402777777777778,0.6533333333333333,0.17926546163388268,2.2133333333333334,0.8207345383661173,6.859388888888889,2.6066666666666665,2.6066666666666665,661.6533333333333,20.253333333333334,0.7033333333333334,0.4402777777777778,0.6533333333333333,0.17926546163388268,2.2133333333333334,0.7533333333333333,0.7033333333333334,0.4402777777777778,0.6533333333333333,0.17926546163388268,2.2133333333333334,16.5,1.0
qasper,R2_query_hash,150,16.333333333333332,1.1666666666666667,2.3866666666666667,0.72,0.67,0.4497222222222222,0.62,0.1632171970329865,2.013333333333333,0.8367828029670135,7.029888888888889,2.3866666666666667,2.3866666666666667,606.38,18.913333333333334,0.67,0.4497222222222222,0.62,0.1632171970329865,2.013333333333333,0.72,0.67,0.4497222222222222,0.62,0.1632171970329865,2.013333333333333,16.5,1.0
qasper,R3A_factorized,150,16.333333333333332,1.1666666666666667,2.453333333333333,0.7266666666666667,0.6766666666666666,0.4381746031746032,0.6266666666666667,0.16818340042024252,2.11,0.8318165995797575,6.91925,2.453333333333333,2.453333333333333,624.3733333333333,18.573333333333334,0.6766666666666666,0.4381746031746032,0.6266666666666667,0.16818340042024252,2.11,0.7266666666666667,0.6766666666666666,0.4381746031746032,0.6266666666666667,0.16818340042024252,2.11,16.5,1.0
qasper,factorized_oracle,30,16.333333333333332,1.1666666666666667,1.7,1.0,0.9166666666666666,0.7964285714285714,0.8333333333333334,0.10862857902331587,1.55,0.8913714209766841,11.451785714285714,1.7,1.7,430.6666666666667,17.3,0.9166666666666666,0.7964285714285714,0.8333333333333334,0.10862857902331587,1.55,1.0,0.9166666666666666,0.7964285714285714,0.8333333333333334,0.10862857902331587,1.55,16.5,1.0
qasper,fixed_E1,30,16.333333333333332,1.1666666666666667,4.0,0.8666666666666667,0.8,0.21666666666666667,0.7333333333333333,0.27691071112123744,3.6666666666666665,0.7230892888787626,3.091666666666667,4.0,4.0,1015.0666666666667,40.666666666666664,0.8,0.21666666666666667,0.7333333333333333,0.27691071112123744,3.6666666666666665,0.8666666666666667,0.8,0.21666666666666667,0.7333333333333333,0.27691071112123744,3.6666666666666665,16.5,1.0
qasper,targeted_retry,30,16.333333333333332,1.1666666666666667,2.6666666666666665,1.0,0.9166666666666666,0.5880952380952381,0.8333333333333334,0.1903505607452976,2.5166666666666666,0.8096494392547025,8.693452380952381,2.6666666666666665,2.6666666666666665,675.1333333333333,24.366666666666667,0.9166666666666666,0.5880952380952381,0.8333333333333334,0.1903505607452976,2.5166666666666666,1.0,0.9166666666666666,0.5880952380952381,0.8333333333333334,0.1903505607452976,2.5166666666666666,16.5,1.0
