partition,target_architecture,representation,router_seed,dataset,example_id,model_seed,invalid_combination_repaired,selected_config,oracle_config,quality,retrieval_cost,total_cost,oracle_cost,oracle_regret,allocation_outcome,prefill_cost,prefill_latency_seconds,processed_token_layers,recomputed_query_tokens
test,independent_params,S2_embed_last,1,hotpotqa,5ab2b863554299295394685a,11,0,F1_R1_K2_H1_Bs4_Bkv4,F1_R1_K2_H0_Bs2_Bkv2,1.0,18.890625,18.912388392857142,7.0,11.912388392857142,over_allocation,0.021763392857142856,1.1392000131309032e-05,0,39
test,independent_params,S2_embed_last,1,hotpotqa,5ab2b863554299295394685a,23,0,F1_R1_K2_H1_Bs4_Bkv4,F1_R1_K2_H0_Bs2_Bkv2,1.0,18.890625,18.912388392857142,7.0,11.912388392857142,over_allocation,0.021763392857142856,1.1392000131309032e-05,0,39
test,independent_params,S2_embed_last,1,hotpotqa,5ab2b863554299295394685a,37,0,F1_R1_K2_H1_Bs4_Bkv4,F1_R1_K2_H0_Bs2_Bkv2,1.0,18.890625,18.912388392857142,7.0,11.912388392857142,over_allocation,0.021763392857142856,1.1392000131309032e-05,0,39
test,independent_params,S2_embed_last,1,hotpotqa,5ab2b863554299295394685a,53,0,F1_R2_K2_H0_Bs2_Bkv2,F1_R1_K2_H0_Bs2_Bkv2,1.0,11.0,11.021763392857142,7.0,4.021763392857142,over_allocation,0.021763392857142856,1.1392000131309032e-05,0,39
test,independent_params,S2_embed_last,1,hotpotqa,5ab2b863554299295394685a,71,0,F1_R2_K2_H0_Bs2_Bkv2,F1_R2_K2_H0_Bs2_Bkv2,1.0,11.0,11.021763392857142,11.0,0.02176339285714235,matched,0.021763392857142856,1.1392000131309032e-05,0,39
test,independent_params,S2_embed_last,1,hotpotqa,5a710a915542994082a3e504,11,0,F1_R1_K2_H1_Bs4_Bkv4,F1_R1_K2_H1_Bs4_Bkv4,1.0,19.0,19.023995535714285,19.0,0.0239955357142847,matched,0.023995535714285716,1.2671999633312225e-05,0,43
test,independent_params,S2_embed_last,1,hotpotqa,5a710a915542994082a3e504,23,0,F1_R4_K2_H0_Bs4_Bkv4,F1_R4_K2_H0_Bs4_Bkv4,1.0,21.0,21.023995535714285,21.0,0.0239955357142847,matched,0.023995535714285716,1.2671999633312225e-05,0,43
test,independent_params,S2_embed_last,1,hotpotqa,5a710a915542994082a3e504,37,0,F1_R2_K2_H1_Bs8_Bkv8,F1_R1_K2_H1_Bs4_Bkv4,1.0,27.0,27.023995535714285,19.0,8.023995535714285,over_allocation,0.023995535714285716,1.2671999633312225e-05,0,43
test,independent_params,S2_embed_last,1,hotpotqa,5a710a915542994082a3e504,53,0,F1_R2_K4_H1_Bs8_Bkv8,F1_R1_K2_H1_Bs4_Bkv4,1.0,35.0,35.023995535714285,19.0,16.023995535714285,over_allocation,0.023995535714285716,1.2671999633312225e-05,0,43
test,independent_params,S2_embed_last,1,hotpotqa,5a710a915542994082a3e504,71,0,F1_R1_K4_H1_Bs8_Bkv8,F1_R4_K2_H0_Bs4_Bkv4,1.0,31.0,31.023995535714285,19.0,12.023995535714285,over_allocation,0.023995535714285716,1.2671999633312225e-05,0,43
