accuracy,ece,nll,overprediction_rate,parameter,seed,top2_accuracy,underprediction_rate,variant
0.8,0.2060926684966455,3.7817295651936336,0.16923076923076924,query_region_policy,1,0.9538461538461539,0.046153846153846156,R1_feature_mlp
0.8,0.20620150749499983,3.817756121952491,0.16923076923076924,facet_policy,1,0.9538461538461539,0.046153846153846156,R1_feature_mlp
0.7846153846153846,0.2045395365128151,3.822550055294725,0.16923076923076924,retained_roots,1,0.9538461538461539,0.046153846153846156,R1_feature_mlp
0.8,0.2070796260466943,3.8312081108793437,0.16923076923076924,neighbors,1,0.9538461538461539,0.046153846153846156,R1_feature_mlp
0.7846153846153846,0.21691205776654765,3.906230913543048,0.16923076923076924,hops,1,0.9538461538461539,0.046153846153846156,R1_feature_mlp
0.8,0.20068865005786604,3.8585819190840773,0.16923076923076924,conceptual_budget,1,0.9538461538461539,0.046153846153846156,R1_feature_mlp
0.8,0.20523452116892887,3.8314437176727547,0.16923076923076924,native_kv_budget,1,0.9538461538461539,0.046153846153846156,R1_feature_mlp
0.8307692307692308,0.17464363299883337,3.3289110291681183,0.15384615384615385,query_region_policy,1,0.9538461538461539,0.03076923076923077,R2_encoder_mlp
0.8153846153846154,0.17857065934401295,3.2932201725689625,0.15384615384615385,facet_policy,1,0.9538461538461539,0.03076923076923077,R2_encoder_mlp
0.8307692307692308,0.18077823107059182,3.3186949999049338,0.15384615384615385,retained_roots,1,0.9538461538461539,0.03076923076923077,R2_encoder_mlp
0.8307692307692308,0.17939279629633978,3.347029900165696,0.15384615384615385,neighbors,1,0.9538461538461539,0.03076923076923077,R2_encoder_mlp
0.8307692307692308,0.17477484482985278,3.3605490172715706,0.15384615384615385,hops,1,0.9538461538461539,0.03076923076923077,R2_encoder_mlp
0.8153846153846154,0.18277491147701558,3.300373895654298,0.15384615384615385,conceptual_budget,1,0.9538461538461539,0.03076923076923077,R2_encoder_mlp
0.8307692307692308,0.1784929092113789,3.331786799446968,0.15384615384615385,native_kv_budget,1,0.9538461538461539,0.03076923076923077,R2_encoder_mlp
0.8,0.17951454474375803,2.750242676026295,0.15384615384615385,query_region_policy,1,0.9538461538461539,0.046153846153846156,R3A_autoregressive
0.8,0.19940340702350323,2.9958514045128997,0.15384615384615385,facet_policy,1,0.9538461538461539,0.046153846153846156,R3A_autoregressive
0.8,0.1998518888766948,3.1344848529706955,0.15384615384615385,retained_roots,1,0.9692307692307692,0.046153846153846156,R3A_autoregressive
0.8,0.19835086419032166,3.1220631177938225,0.15384615384615385,neighbors,1,0.9230769230769231,0.046153846153846156,R3A_autoregressive
0.8,0.1997516081883357,3.403486142945768,0.15384615384615385,hops,1,0.8923076923076924,0.046153846153846156,R3A_autoregressive
0.8,0.19999276583011327,3.5110712813591096,0.15384615384615385,conceptual_budget,1,0.8769230769230769,0.046153846153846156,R3A_autoregressive
0.8,0.19999803579770592,3.6852484776727494,0.15384615384615385,native_kv_budget,1,0.9230769230769231,0.046153846153846156,R3A_autoregressive
0.7692307692307693,0.20700416106444142,3.617401602589977,0.16923076923076924,query_region_policy,7,0.8923076923076924,0.046153846153846156,R1_feature_mlp
0.7692307692307693,0.22870190693781925,3.627572453076796,0.16923076923076924,facet_policy,7,0.9076923076923077,0.046153846153846156,R1_feature_mlp
0.7846153846153846,0.1998973635526804,3.59172693499564,0.16923076923076924,retained_roots,7,0.8923076923076924,0.046153846153846156,R1_feature_mlp
0.7692307692307693,0.20980267249620874,3.5852872322440197,0.16923076923076924,neighbors,7,0.8923076923076924,0.046153846153846156,R1_feature_mlp
0.7692307692307693,0.2135429308964656,3.6641241770027193,0.16923076923076924,hops,7,0.8923076923076924,0.046153846153846156,R1_feature_mlp
0.7692307692307693,0.20879918336868286,3.6392646333777887,0.16923076923076924,conceptual_budget,7,0.8923076923076924,0.046153846153846156,R1_feature_mlp
0.7692307692307693,0.21198585491914013,3.5522964853306798,0.16923076923076924,native_kv_budget,7,0.9076923076923077,0.046153846153846156,R1_feature_mlp
0.7692307692307693,0.2062981963157654,3.1048753686668777,0.16923076923076924,query_region_policy,7,0.9538461538461539,0.06153846153846154,R2_encoder_mlp
0.7692307692307693,0.20765825601724475,3.059816370325609,0.16923076923076924,facet_policy,7,0.9538461538461539,0.06153846153846154,R2_encoder_mlp
0.7692307692307693,0.20569668641457192,3.009557209452948,0.16923076923076924,retained_roots,7,0.9538461538461539,0.06153846153846154,R2_encoder_mlp
0.7692307692307693,0.205923001582806,3.0568640572103654,0.16923076923076924,neighbors,7,0.9384615384615385,0.06153846153846154,R2_encoder_mlp
0.7692307692307693,0.21480420919565052,3.150922450586544,0.16923076923076924,hops,7,0.9538461538461539,0.06153846153846154,R2_encoder_mlp
0.7692307692307693,0.20637984367517323,3.120249619811755,0.16923076923076924,conceptual_budget,7,0.9384615384615385,0.06153846153846154,R2_encoder_mlp
0.7692307692307693,0.20712662935256962,3.0769937849588214,0.16923076923076924,native_kv_budget,7,0.9538461538461539,0.06153846153846154,R2_encoder_mlp
0.8153846153846154,0.17216963768005364,3.090165584570019,0.13846153846153847,query_region_policy,7,0.8923076923076924,0.046153846153846156,R3A_autoregressive
0.8153846153846154,0.18401309435184188,2.916028962953328,0.13846153846153847,facet_policy,7,0.9230769230769231,0.046153846153846156,R3A_autoregressive
0.8153846153846154,0.18428596991759083,3.09374985368878,0.13846153846153847,retained_roots,7,0.8923076923076924,0.046153846153846156,R3A_autoregressive
0.8153846153846154,0.18459415527490475,3.345097208309519,0.13846153846153847,neighbors,7,0.8769230769230769,0.046153846153846156,R3A_autoregressive
0.8153846153846154,0.184605361865117,3.2152030992497664,0.13846153846153847,hops,7,0.9076923076923077,0.046153846153846156,R3A_autoregressive
0.8153846153846154,0.1846029318295992,3.6060436103548534,0.13846153846153847,conceptual_budget,7,0.8923076923076924,0.046153846153846156,R3A_autoregressive
0.8153846153846154,0.18461225766402023,3.649913147466142,0.13846153846153847,native_kv_budget,7,0.8615384615384616,0.046153846153846156,R3A_autoregressive
0.7846153846153846,0.219623352931096,3.9329706920230376,0.15384615384615385,query_region_policy,21,0.9230769230769231,0.07692307692307693,R1_feature_mlp
0.7692307692307693,0.21829499785716716,3.9324977231448432,0.15384615384615385,facet_policy,21,0.9230769230769231,0.07692307692307693,R1_feature_mlp
0.7692307692307693,0.21775281337591318,3.8948499920434196,0.15384615384615385,retained_roots,21,0.9230769230769231,0.07692307692307693,R1_feature_mlp
0.7692307692307693,0.21795896062484155,3.9552393836455217,0.15384615384615385,neighbors,21,0.9230769230769231,0.07692307692307693,R1_feature_mlp
0.7846153846153846,0.21941230709736165,3.9440813436859328,0.15384615384615385,hops,21,0.9230769230769231,0.07692307692307693,R1_feature_mlp
0.7692307692307693,0.2188729396233192,3.965549645329239,0.15384615384615385,conceptual_budget,21,0.9230769230769231,0.07692307692307693,R1_feature_mlp
0.7692307692307693,0.21842883137556224,3.9280497033009736,0.15384615384615385,native_kv_budget,21,0.9230769230769231,0.07692307692307693,R1_feature_mlp
0.7846153846153846,0.21135679391714243,3.317298542798063,0.16923076923076924,query_region_policy,21,0.9230769230769231,0.046153846153846156,R2_encoder_mlp
0.7846153846153846,0.21424412635656498,3.3626528886332943,0.16923076923076924,facet_policy,21,0.9076923076923077,0.046153846153846156,R2_encoder_mlp
0.7846153846153846,0.21215127385579624,3.3852692582634325,0.16923076923076924,retained_roots,21,0.9076923076923077,0.046153846153846156,R2_encoder_mlp
0.7846153846153846,0.21353211769690883,3.4526724349483184,0.16923076923076924,neighbors,21,0.9076923076923077,0.046153846153846156,R2_encoder_mlp
0.7846153846153846,0.21206856690920312,3.4051989743463165,0.16923076923076924,hops,21,0.9076923076923077,0.046153846153846156,R2_encoder_mlp
0.7846153846153846,0.21086337841474098,3.3603541737847364,0.16923076923076924,conceptual_budget,21,0.9384615384615385,0.046153846153846156,R2_encoder_mlp
0.7846153846153846,0.21597298016914956,3.4343539796849285,0.16923076923076924,native_kv_budget,21,0.9076923076923077,0.046153846153846156,R2_encoder_mlp
0.8153846153846154,0.17706332390124987,2.6424422895397264,0.15384615384615385,query_region_policy,21,0.9538461538461539,0.03076923076923077,R3A_autoregressive
0.8153846153846154,0.18429162410589361,2.440173533385119,0.15384615384615385,facet_policy,21,0.9384615384615385,0.03076923076923077,R3A_autoregressive
0.8153846153846154,0.1844842589818514,2.6883233834981954,0.15384615384615385,retained_roots,21,0.9538461538461539,0.03076923076923077,R3A_autoregressive
0.8153846153846154,0.18459552251375644,2.757235011108635,0.15384615384615385,neighbors,21,0.9230769230769231,0.03076923076923077,R3A_autoregressive
0.8153846153846154,0.1845989869191097,3.3919965291506315,0.15384615384615385,hops,21,0.9076923076923077,0.03076923076923077,R3A_autoregressive
0.8153846153846154,0.18460441827774043,2.8862552866440976,0.15384615384615385,conceptual_budget,21,0.8615384615384616,0.03076923076923077,R3A_autoregressive
0.8153846153846154,0.18460682263741124,3.682288603940071,0.15384615384615385,native_kv_budget,21,0.9384615384615385,0.03076923076923077,R3A_autoregressive
0.8,0.18562114972334637,3.225180200111241,0.16923076923076924,query_region_policy,42,0.9384615384615385,0.03076923076923077,R1_feature_mlp
0.8,0.18334782765461846,3.2391096891678703,0.16923076923076924,facet_policy,42,0.9384615384615385,0.03076923076923077,R1_feature_mlp
0.8,0.1950229984063368,3.2265234853414095,0.16923076923076924,retained_roots,42,0.9384615384615385,0.03076923076923077,R1_feature_mlp
0.8,0.18667566959674536,3.2559647655713104,0.16923076923076924,neighbors,42,0.9230769230769231,0.03076923076923077,R1_feature_mlp
0.8,0.19656601685744063,3.2794929241385393,0.16923076923076924,hops,42,0.9384615384615385,0.03076923076923077,R1_feature_mlp
0.8,0.19754312863716714,3.3006074112703443,0.16923076923076924,conceptual_budget,42,0.9384615384615385,0.03076923076923077,R1_feature_mlp
0.8,0.18831252776659452,3.2761846566937196,0.16923076923076924,native_kv_budget,42,0.9384615384615385,0.03076923076923077,R1_feature_mlp
0.8153846153846154,0.18660466487591085,3.3044396841419443,0.12307692307692308,query_region_policy,42,0.9538461538461539,0.06153846153846154,R2_encoder_mlp
