batch,candidate_tokens,device,error,index_bytes,mode,output_bytes,parity,repeat,seconds,selected_tokens,status,study,transfer_bytes
1,8192,cuda,,,eager_warm,1048576,True,0,0.0003262001555413008,512,measured,indexed_gather,
1,8192,cuda,,,eager_warm,1048576,True,1,0.0002778000198304653,512,measured,indexed_gather,
1,8192,cuda,,,eager_warm,1048576,True,2,0.0002802000381052494,512,measured,indexed_gather,
1,8192,cuda,,,eager_warm,1048576,True,3,0.0003146000672131777,512,measured,indexed_gather,
1,8192,cuda,,,eager_warm,1048576,True,4,0.0002552999649196863,512,measured,indexed_gather,
1,8192,cuda,,,eager_warm,1048576,True,5,0.0002711999695748091,512,measured,indexed_gather,
1,8192,cuda,,,eager_warm,1048576,True,6,0.0002576999831944704,512,measured,indexed_gather,
1,8192,cuda,,,eager_warm,1048576,True,7,0.0002720002084970474,512,measured,indexed_gather,
1,8192,cuda,,,eager_warm,1048576,True,8,0.0002723999787122011,512,measured,indexed_gather,
1,8192,cuda,,,eager_warm,1048576,True,9,0.00026890006847679615,512,measured,indexed_gather,
1,8192,cuda,,,eager_warm,1048576,True,10,0.0002601000014692545,512,measured,indexed_gather,
1,8192,cuda,,,eager_warm,1048576,True,11,0.00041229999624192715,512,measured,indexed_gather,
1,8192,cuda,,,eager_warm,1048576,True,12,0.00037659984081983566,512,measured,indexed_gather,
1,8192,cuda,,,eager_warm,1048576,True,13,0.0003303999546915293,512,measured,indexed_gather,
1,8192,cuda,,,eager_warm,1048576,True,14,0.00039119995199143887,512,measured,indexed_gather,
1,8192,cuda,,,eager_warm,1048576,True,15,0.0003215000033378601,512,measured,indexed_gather,
1,8192,cuda,,,eager_warm,1048576,True,16,0.0002891998738050461,512,measured,indexed_gather,
1,8192,cuda,,,eager_warm,1048576,True,17,0.0002911000046879053,512,measured,indexed_gather,
1,8192,cuda,,,eager_warm,1048576,True,18,0.00025969999842345715,512,measured,indexed_gather,
1,8192,cuda,,,eager_warm,1048576,True,19,0.00030550011433660984,512,measured,indexed_gather,
1,8192,cuda,,,eager_warm,1048576,True,20,0.0003264998085796833,512,measured,indexed_gather,
1,8192,cuda,,,eager_warm,1048576,True,21,0.0003013000823557377,512,measured,indexed_gather,
1,8192,cuda,,,eager_warm,1048576,True,22,0.0002997999545186758,512,measured,indexed_gather,
1,8192,cuda,,,eager_warm,1048576,True,23,0.0002749999985098839,512,measured,indexed_gather,
1,8192,cuda,,,eager_warm,1048576,True,24,0.00023699994198977947,512,measured,indexed_gather,
1,8192,cuda,,,eager_warm,1048576,True,25,0.0003320001997053623,512,measured,indexed_gather,
1,8192,cuda,,,eager_warm,1048576,True,26,0.00024960003793239594,512,measured,indexed_gather,
1,8192,cuda,,,eager_warm,1048576,True,27,0.00020609982311725616,512,measured,indexed_gather,
1,8192,cuda,,,eager_warm,1048576,True,28,0.0002209001686424017,512,measured,indexed_gather,
1,8192,cuda,,,eager_warm,1048576,True,29,0.00022089993581175804,512,measured,indexed_gather,
