examples,mrr,question_length_bucket,recall_at_3,strategy
21,0.34099339268026074,short,0.2857142857142857,last
21,0.19798901542599023,short,0.19047619047619047,question_exp_h2.0
21,0.16235516637440567,short,0.09523809523809523,uniform_w32
11,0.5494949494949495,long,0.8181818181818182,last
11,0.43409090909090914,long,0.36363636363636365,question_exp_h2.0
11,0.7032139577594123,long,0.7272727272727273,uniform_w32
