dataset,examples,left_strategy,mean_cosine_similarity,right_strategy
hotpotqa,8,exp_w32_h2.0,0.875,linear_w32
hotpotqa,8,exp_w32_h2.0,0.989990234375,linear_w8
hotpotqa,8,exp_w32_h2.0,0.90289306640625,uniform_w2
hotpotqa,8,exp_w32_h2.0,0.73126220703125,uniform_w32
hotpotqa,8,exp_w8_h2.0,0.99871826171875,exp_w32_h2.0
hotpotqa,8,exp_w8_h2.0,0.9869384765625,exp_w8_h4.0
hotpotqa,8,exp_w8_h2.0,0.856689453125,linear_w32
hotpotqa,8,exp_w8_h2.0,0.99114990234375,linear_w8
hotpotqa,8,exp_w8_h2.0,0.9022216796875,uniform_w2
hotpotqa,8,exp_w8_h2.0,0.70758056640625,uniform_w32
hotpotqa,8,exp_w8_h4.0,0.98626708984375,exp_w32_h2.0
hotpotqa,8,exp_w8_h4.0,0.85382080078125,linear_w32
hotpotqa,8,exp_w8_h4.0,0.99908447265625,linear_w8
hotpotqa,8,exp_w8_h4.0,0.83416748046875,uniform_w2
hotpotqa,8,exp_w8_h4.0,0.68743896484375,uniform_w32
hotpotqa,8,last,0.691162109375,exp_w32_h2.0
hotpotqa,8,last,0.6904296875,exp_w8_h2.0
hotpotqa,8,last,0.58355712890625,exp_w8_h4.0
hotpotqa,8,last,0.5904541015625,linear_w32
hotpotqa,8,last,0.60101318359375,linear_w8
hotpotqa,8,last,0.465667724609375,question_exp_h16.0
hotpotqa,8,last,0.48345947265625,question_exp_h2.0
hotpotqa,8,last,0.4776611328125,question_exp_h4.0
hotpotqa,8,last,0.47113037109375,question_exp_h8.0
hotpotqa,8,last,0.788330078125,uniform_w2
hotpotqa,8,last,0.5697021484375,uniform_w32
hotpotqa,8,linear_w8,0.85284423828125,linear_w32
hotpotqa,8,question_exp_h16.0,0.40704345703125,exp_w32_h2.0
hotpotqa,8,question_exp_h16.0,0.376373291015625,exp_w8_h2.0
hotpotqa,8,question_exp_h16.0,0.328765869140625,exp_w8_h4.0
hotpotqa,8,question_exp_h16.0,0.75567626953125,linear_w32
