all_evidence_recall,best_evidence_rank,dataset,examples,mean_selected_normalized_position,mrr,prompt_tokens,query_cosine_to_last,query_pool_tokens,query_strategy,query_vector_norm,question_tokens,recall_at_16,recall_at_3,recall_at_8,score_position_correlation,selected_fraction,target_coverage,top_k,warm_routing_topk_seconds
0.125,6.75,hotpotqa,8,0.5389866806784331,0.48096955128205127,40.375,0.6907549947500229,16.0,exp_w16_h2.0,293.80517196655273,21.375,1.0,0.5,0.625,0.09313809580750075,0.05938917126801041,0.2916666666666667,3,0.002064087499456946
0.125,6.75,hotpotqa,8,0.5394906123014571,0.48096955128205127,40.375,0.6907549947500229,16.0,exp_w16_h2.0,293.80517196655273,21.375,1.0,0.5,0.625,0.09313809580750075,0.1583711233813611,0.3541666666666667,8,0.002002835001621861
0.25,6.75,hotpotqa,8,0.5416311482336577,0.48096955128205127,40.375,0.6907549947500229,16.0,exp_w16_h2.0,293.80517196655273,21.375,1.0,0.5,0.625,0.09313809580750075,0.3167422467627222,0.6458333333333334,16,0.0018864224999560976
0.0,6.625,hotpotqa,8,0.507020098065239,0.45341949716949714,40.375,0.6046615540981293,16.0,exp_w16_h4.0,282.95470809936523,21.375,1.0,0.375,0.625,0.10060275084038749,0.05938917126801041,0.1875,3,0.002304490000096848
0.125,6.625,hotpotqa,8,0.5551310732869266,0.45341949716949714,40.375,0.6046615540981293,16.0,exp_w16_h4.0,282.95470809936523,21.375,1.0,0.375,0.625,0.10060275084038749,0.1583711233813611,0.3541666666666667,8,0.00210786000097869
0.25,6.625,hotpotqa,8,0.5380442528216633,0.45341949716949714,40.375,0.6046615540981293,16.0,exp_w16_h4.0,282.95470809936523,21.375,1.0,0.375,0.625,0.10060275084038749,0.3167422467627222,0.6458333333333334,16,0.002123869999195449
0.0,7.375,hotpotqa,8,0.52540296705894,0.35968879976232915,40.375,0.5779202505946159,16.0,exp_w16_h8.0,268.18396377563477,21.375,0.875,0.375,0.5,0.09773314903981717,0.05938917126801041,0.1875,3,0.0019732299995666837
0.125,7.375,hotpotqa,8,0.5615259040252255,0.35968879976232915,40.375,0.5779202505946159,16.0,exp_w16_h8.0,268.18396377563477,21.375,0.875,0.375,0.5,0.09773314903981717,0.1583711233813611,0.2916666666666667,8,0.002185267499589827
0.25,7.375,hotpotqa,8,0.5351518221789319,0.35968879976232915,40.375,0.5779202505946159,16.0,exp_w16_h8.0,268.18396377563477,21.375,0.875,0.375,0.5,0.09773314903981717,0.3167422467627222,0.5833333333333334,16,0.0026301575016987044
0.0,7.0,hotpotqa,8,0.5636996527561587,0.33839689722042665,40.375,1.0000000074505806,1.0,last,345.88317108154297,21.375,0.875,0.625,0.625,0.00412903362737837,0.05938917126801041,0.2916666666666667,3,0.005004719999124063
0.125,7.0,hotpotqa,8,0.49664278012482155,0.33839689722042665,40.375,1.0000000074505806,1.0,last,345.88317108154297,21.375,0.875,0.625,0.625,0.00412903362737837,0.1583711233813611,0.3958333333333333,8,0.0020513225012109616
0.625,7.0,hotpotqa,8,0.5084293322599568,0.33839689722042665,40.375,1.0000000074505806,1.0,last,345.88317108154297,21.375,0.875,0.625,0.625,0.00412903362737837,0.3167422467627222,0.7708333333333334,16,0.0020600750009180046
0.0,6.75,hotpotqa,8,0.507020098065239,0.3911999458874459,40.375,0.5576753243803978,16.0,linear_w16,281.7373733520508,21.375,1.0,0.375,0.625,0.10141652042998472,0.05938917126801041,0.1875,3,0.0021718174997658935
0.125,6.75,hotpotqa,8,0.5769261554485745,0.3911999458874459,40.375,0.5576753243803978,16.0,linear_w16,281.7373733520508,21.375,1.0,0.375,0.625,0.10141652042998472,0.1583711233813611,0.3541666666666667,8,0.002150644999346696
0.25,6.75,hotpotqa,8,0.5332881831723106,0.3911999458874459,40.375,0.5576753243803978,16.0,linear_w16,281.7373733520508,21.375,1.0,0.375,0.625,0.10141652042998472,0.3167422467627222,0.5833333333333334,16,0.002119752500584582
0.0,3.375,hotpotqa,8,0.4887992714431656,0.5260416666666666,40.375,0.47776520252227783,21.375,question_exp_h4.0,273.2217388153076,21.375,1.0,0.625,1.0,-0.008325916662707534,0.05938917126801041,0.2916666666666667,3,0.0018476975012163166
0.25,3.375,hotpotqa,8,0.5080861748472345,0.5260416666666666,40.375,0.47776520252227783,21.375,question_exp_h4.0,273.2217388153076,21.375,1.0,0.625,1.0,-0.008325916662707534,0.1583711233813611,0.6458333333333334,8,0.0022877974995935803
0.375,3.375,hotpotqa,8,0.5082628402382101,0.5260416666666666,40.375,0.47776520252227783,21.375,question_exp_h4.0,273.2217388153076,21.375,1.0,0.625,1.0,-0.008325916662707534,0.3167422467627222,0.7083333333333334,16,0.0021356525001465345
0.0,4.0,hotpotqa,8,0.4795647384505584,0.43645833333333334,40.375,0.47119366005063057,21.375,question_exp_h8.0,273.33796310424805,21.375,1.0,0.5,1.0,-0.01318315941719892,0.05938917126801041,0.22916666666666666,3,0.00201145750033902
0.375,4.0,hotpotqa,8,0.5348325449883444,0.43645833333333334,40.375,0.47119366005063057,21.375,question_exp_h8.0,273.33796310424805,21.375,1.0,0.5,1.0,-0.01318315941719892,0.1583711233813611,0.6666666666666666,8,0.0018956649990286678
0.375,4.0,hotpotqa,8,0.5006176673906187,0.43645833333333334,40.375,0.47119366005063057,21.375,question_exp_h8.0,273.33796310424805,21.375,1.0,0.5,1.0,-0.01318315941719892,0.3167422467627222,0.7083333333333334,16,0.002070882500265725
0.0,5.0,hotpotqa,8,0.47064665431658664,0.31994047619047616,40.375,0.4581378176808357,21.375,question_mean,274.8064613342285,21.375,1.0,0.25,0.875,-0.011470868932560259,0.05938917126801041,0.125,3,0.001723304999177344
0.125,5.0,hotpotqa,8,0.5147756727965154,0.31994047619047616,40.375,0.4581378176808357,21.375,question_mean,274.8064613342285,21.375,1.0,0.25,0.875,-0.011470868932560259,0.1583711233813611,0.5,8,0.002085662499302998
0.375,5.0,hotpotqa,8,0.5079272123588017,0.31994047619047616,40.375,0.4581378176808357,21.375,question_mean,274.8064613342285,21.375,1.0,0.25,0.875,-0.011470868932560259,0.3167422467627222,0.7083333333333334,16,0.0019346150016644969
