active_kv_bytes,all_evidence_recall,any_evidence_recall,best_evidence_rank,candidate_chunks,candidate_gists,center_policy,chunks_materialized,cpu_to_gpu_selected_kv_bytes,dataset,detail_kv_bytes,example_id,example_offset,extra_routing_cache_fraction,gist_count,gist_mode,materialized_fraction,materialized_target_coverage,materialized_tokens,mean_actual_gists_per_chunk,mean_selected_normalized_position,median_selected_normalized_position,mrr,native_token_max_rank_correlation,native_token_max_score_correlation,native_token_mean_rank_correlation,native_token_mean_score_correlation,packed_index_build_seconds,prompt_tokens,query_cosine_to_last,query_decay_lambda,query_half_life,query_pool_tokens,query_strategy,query_strategy_kind,query_vector_norm,query_window,question_span_available,question_tokens,recall_at_1,recall_at_16,recall_at_3,recall_at_8,routing_chunk_size,routing_gist_bytes,routing_representation,score_position_correlation,seed,selected_chunks,selected_fraction,source_tokens,split,target_coverage,top_k,topk_primitive_seconds,warm_routing_topk_seconds,winning_gist_evidence_recall
393216,0.0,0.0,14,60,60,exact,3,393216,hotpotqa,7741440,5a8cefc155429941ae14df55,0,0.015873015873015872,1,mean,0.05,0.0,96,1.0,0.6800705467372135,0.7873015873015873,0.07142857142857142,-0.12325646012781326,-0.12514190078312487,-0.20333425951653233,-0.17767430413279447,0.0253400000219699,39,1.0,,,1,last,last,320.3881530761719,,True,20,0.0,1.0,0.0,0.0,32,122880,attention_input_hidden_state,0.0020381477241052945,20260811,3,0.05,1890,validation_refine,0.0,3,4.4467999832704666e-05,0.02478864000295289,0.0
524288,0.0,0.0,14,60,60,exact,4,524288,hotpotqa,7741440,5a8cefc155429941ae14df55,0,0.015873015873015872,1,mean,0.06666666666666667,0.0,128,1.0,0.4677248677248677,0.42328042328042326,0.07142857142857142,-0.12325646012781326,-0.12514190078312487,-0.20333425951653233,-0.17767430413279447,0.0253400000219699,39,1.0,,,1,last,last,320.3881530761719,,True,20,0.0,1.0,0.0,0.0,32,122880,attention_input_hidden_state,0.0020381477241052945,20260811,8,0.13333333333333333,1890,validation_refine,0.0,8,3.3387999283149836e-05,0.0014200799982063473,0.0
524288,1.0,1.0,14,60,60,exact,4,524288,hotpotqa,7741440,5a8cefc155429941ae14df55,0,0.015873015873015872,1,mean,0.06666666666666667,0.0,128,1.0,0.45925925925925926,0.40634920634920635,0.07142857142857142,-0.12325646012781326,-0.12514190078312487,-0.20333425951653233,-0.17767430413279447,0.0253400000219699,39,1.0,,,1,last,last,320.3881530761719,,True,20,0.0,1.0,0.0,0.0,32,122880,attention_input_hidden_state,0.0020381477241052945,20260811,16,0.26666666666666666,1890,validation_refine,1.0,16,4.393200040794909e-05,0.001956900005461648,0.0
393216,0.0,0.0,4,60,60,exact,3,393216,hotpotqa,7741440,5a8cefc155429941ae14df55,0,0.015873015873015872,1,mean,0.05,0.0,96,1.0,0.6123456790123457,0.5502645502645502,0.25,0.04101481104645298,0.0695124307288279,0.011476366505545448,0.0026099998863601424,0.0253400000219699,39,0.4851989448070526,0.7071067811865476,2.0,20,question_exp_h2.0,question_exponential,258.9160461425781,,True,20,0.0,1.0,0.0,1.0,32,122880,attention_input_hidden_state,-5.851408362986038e-05,20260811,3,0.05,1890,validation_refine,0.0,3,7.871599984355271e-05,0.001815119996899739,0.0
524288,1.0,1.0,4,60,60,exact,4,524288,hotpotqa,7741440,5a8cefc155429941ae14df55,0,0.015873015873015872,1,mean,0.06666666666666667,0.5,128,1.0,0.6370370370370371,0.617989417989418,0.25,0.04101481104645298,0.0695124307288279,0.011476366505545448,0.0026099998863601424,0.0253400000219699,39,0.4851989448070526,0.7071067811865476,2.0,20,question_exp_h2.0,question_exponential,258.9160461425781,,True,20,0.0,1.0,0.0,1.0,32,122880,attention_input_hidden_state,-5.851408362986038e-05,20260811,8,0.13333333333333333,1890,validation_refine,1.0,8,5.991999991238117e-05,0.0017829200020059942,0.0
524288,1.0,1.0,4,60,60,exact,4,524288,hotpotqa,7741440,5a8cefc155429941ae14df55,0,0.015873015873015872,1,mean,0.06666666666666667,0.5,128,1.0,0.5142857142857142,0.5079365079365079,0.25,0.04101481104645298,0.0695124307288279,0.011476366505545448,0.0026099998863601424,0.0253400000219699,39,0.4851989448070526,0.7071067811865476,2.0,20,question_exp_h2.0,question_exponential,258.9160461425781,,True,20,0.0,1.0,0.0,1.0,32,122880,attention_input_hidden_state,-5.851408362986038e-05,20260811,16,0.26666666666666666,1890,validation_refine,1.0,16,5.214800010435283e-05,0.002241059998050332,0.0
393216,0.0,0.0,6,60,60,exact,3,393216,hotpotqa,7741440,5a8cefc155429941ae14df55,0,0.015873015873015872,1,mean,0.05,0.0,96,1.0,0.6123456790123457,0.5502645502645502,0.16666666666666666,0.09614583077285048,0.1240679080107159,0.02181343270424498,-0.01911424727310052,0.0253400000219699,39,0.45959728956222534,0.8408964152537145,4.0,20,question_exp_h4.0,question_exponential,263.9676208496094,,True,20,0.0,1.0,0.0,1.0,32,122880,attention_input_hidden_state,-0.0458192351802618,20260811,3,0.05,1890,validation_refine,0.0,3,4.610000061802566e-05,0.0033382599998731167,0.0
524288,1.0,1.0,6,60,60,exact,4,524288,hotpotqa,7741440,5a8cefc155429941ae14df55,0,0.015873015873015872,1,mean,0.06666666666666667,0.0,128,1.0,0.5671957671957671,0.5079365079365079,0.16666666666666666,0.09614583077285048,0.1240679080107159,0.02181343270424498,-0.01911424727310052,0.0253400000219699,39,0.45959728956222534,0.8408964152537145,4.0,20,question_exp_h4.0,question_exponential,263.9676208496094,,True,20,0.0,1.0,0.0,1.0,32,122880,attention_input_hidden_state,-0.0458192351802618,20260811,8,0.13333333333333333,1890,validation_refine,1.0,8,3.3648000098764896e-05,0.001987279998138547,0.0
524288,1.0,1.0,6,60,60,exact,4,524288,hotpotqa,7741440,5a8cefc155429941ae14df55,0,0.015873015873015872,1,mean,0.06666666666666667,0.0,128,1.0,0.5566137566137567,0.5671957671957673,0.16666666666666666,0.09614583077285048,0.1240679080107159,0.02181343270424498,-0.01911424727310052,0.0253400000219699,39,0.45959728956222534,0.8408964152537145,4.0,20,question_exp_h4.0,question_exponential,263.9676208496094,,True,20,0.0,1.0,0.0,1.0,32,122880,attention_input_hidden_state,-0.0458192351802618,20260811,16,0.26666666666666666,1890,validation_refine,1.0,16,4.1352000553160904e-05,0.0019994000031147152,0.0
393216,0.0,0.0,6,60,60,exact,3,393216,hotpotqa,7741440,5a8cefc155429941ae14df55,0,0.015873015873015872,1,mean,0.05,0.0,96,1.0,0.5276895943562611,0.5502645502645502,0.16666666666666666,0.14800200169238395,0.17441627023349657,0.024342800128150273,-0.020647098310500114,0.0253400000219699,39,0.44127899408340454,0.9170040432046712,8.0,20,question_exp_h8.0,question_exponential,267.7791748046875,,True,20,0.0,1.0,0.0,1.0,32,122880,attention_input_hidden_state,-0.08359498590598252,20260811,3,0.05,1890,validation_refine,0.0,3,4.8527999315410855e-05,0.0015859599981922657,0.0
