all_evidence_recall,best_evidence_rank,dataset,examples,mean_selected_normalized_position,mrr,prompt_tokens,query_cosine_to_last,query_pool_tokens,query_strategy,query_vector_norm,question_tokens,recall_at_16,recall_at_3,recall_at_8,score_position_correlation,selected_fraction,target_coverage,top_k,warm_routing_topk_seconds
0.125,6.75,hotpotqa,8,0.5152051714711597,0.48096955128205127,40.375,0.6914006397128105,31.375,exp_w32_h2.0,293.0818672180176,21.375,1.0,0.5,0.625,0.09317582893431496,0.05938917126801041,0.2916666666666667,3,0.001766847500402946
0.125,6.75,hotpotqa,8,0.5408960936788288,0.48096955128205127,40.375,0.6914006397128105,31.375,exp_w32_h2.0,293.0818672180176,21.375,1.0,0.5,0.625,0.09317582893431496,0.1583711233813611,0.3541666666666667,8,0.0017916675009473693
0.25,6.75,hotpotqa,8,0.5453914587625271,0.48096955128205127,40.375,0.6914006397128105,31.375,exp_w32_h2.0,293.0818672180176,21.375,1.0,0.5,0.625,0.09317582893431496,0.3167422467627222,0.6458333333333334,16,0.0019522724993294104
0.125,6.5,hotpotqa,8,0.4946106619161071,0.48400297619047616,40.375,0.6906950771808624,8.0,exp_w8_h2.0,301.02079010009766,21.375,1.0,0.5,0.625,0.09296385706642321,0.05938917126801041,0.2916666666666667,3,0.002002092498878483
0.125,6.5,hotpotqa,8,0.5408960936788288,0.48400297619047616,40.375,0.6906950771808624,8.0,exp_w8_h2.0,301.02079010009766,21.375,1.0,0.5,0.625,0.09296385706642321,0.1583711233813611,0.3541666666666667,8,0.0019568499992601573
0.25,6.5,hotpotqa,8,0.5421160057217259,0.48400297619047616,40.375,0.6906950771808624,8.0,exp_w8_h2.0,301.02079010009766,21.375,1.0,0.5,0.625,0.09296385706642321,0.3167422467627222,0.6458333333333334,16,0.0019438999996054917
0.125,6.625,hotpotqa,8,0.5234572810398671,0.48549107142857145,40.375,0.5836547166109085,8.0,exp_w8_h4.0,313.17285919189453,21.375,1.0,0.5,0.625,0.09988169486962484,0.05938917126801041,0.2916666666666667,3,0.0017851149990747218
0.125,6.625,hotpotqa,8,0.5551310732869266,0.48549107142857145,40.375,0.5836547166109085,8.0,exp_w8_h4.0,313.17285919189453,21.375,1.0,0.5,0.625,0.09988169486962484,0.1583711233813611,0.3541666666666667,8,0.0018490900001779664
0.25,6.625,hotpotqa,8,0.54938678888063,0.48549107142857145,40.375,0.5836547166109085,8.0,exp_w8_h4.0,313.17285919189453,21.375,1.0,0.5,0.625,0.09988169486962484,0.3167422467627222,0.6458333333333334,16,0.001959614998486359
0.0,7.0,hotpotqa,8,0.5636996527561587,0.33839689722042665,40.375,1.0000000074505806,1.0,last,345.88317108154297,21.375,0.875,0.625,0.625,0.00412903362737837,0.05938917126801041,0.2916666666666667,3,0.004806962500151712
0.125,7.0,hotpotqa,8,0.49664278012482155,0.33839689722042665,40.375,1.0000000074505806,1.0,last,345.88317108154297,21.375,0.875,0.625,0.625,0.00412903362737837,0.1583711233813611,0.3958333333333333,8,0.0018167449998145457
0.625,7.0,hotpotqa,8,0.5084293322599568,0.33839689722042665,40.375,1.0000000074505806,1.0,last,345.88317108154297,21.375,0.875,0.625,0.625,0.00412903362737837,0.3167422467627222,0.7708333333333334,16,0.0019295724996482022
0.0,6.125,hotpotqa,8,0.5766682041673535,0.3636873543123543,40.375,0.5905117839574814,31.375,linear_w32,240.44293212890625,21.375,1.0,0.25,0.75,0.0688185457227742,0.05938917126801041,0.125,3,0.0017351400005281904
