dataset,examples,left_strategy,mean_cosine_similarity,right_strategy
hotpotqa,8,exp_w16_h2.0,0.98553466796875,exp_w16_h4.0
hotpotqa,8,exp_w16_h2.0,0.9600830078125,exp_w16_h8.0
hotpotqa,8,exp_w16_h2.0,0.96893310546875,linear_w16
hotpotqa,8,exp_w16_h2.0,0.426239013671875,question_exp_h4.0
hotpotqa,8,exp_w16_h2.0,0.41241455078125,question_exp_h8.0
hotpotqa,8,exp_w16_h2.0,0.394683837890625,question_mean
hotpotqa,8,exp_w16_h4.0,0.9912109375,exp_w16_h8.0
hotpotqa,8,exp_w16_h4.0,0.9964599609375,linear_w16
hotpotqa,8,exp_w16_h4.0,0.476165771484375,question_exp_h4.0
hotpotqa,8,exp_w16_h4.0,0.461090087890625,question_exp_h8.0
hotpotqa,8,exp_w16_h4.0,0.44085693359375,question_mean
hotpotqa,8,exp_w16_h8.0,0.99566650390625,linear_w16
hotpotqa,8,exp_w16_h8.0,0.564453125,question_exp_h4.0
hotpotqa,8,exp_w16_h8.0,0.5489501953125,question_exp_h8.0
hotpotqa,8,exp_w16_h8.0,0.5264892578125,question_mean
hotpotqa,8,last,0.690673828125,exp_w16_h2.0
hotpotqa,8,last,0.60455322265625,exp_w16_h4.0
hotpotqa,8,last,0.5777587890625,exp_w16_h8.0
hotpotqa,8,last,0.5576171875,linear_w16
hotpotqa,8,last,0.4776611328125,question_exp_h4.0
hotpotqa,8,last,0.47113037109375,question_exp_h8.0
hotpotqa,8,last,0.4581298828125,question_mean
hotpotqa,8,last,0.56201171875,uniform_w16
hotpotqa,8,last,0.6468505859375,uniform_w4
hotpotqa,8,last,0.477783203125,uniform_w8
hotpotqa,8,linear_w16,0.490386962890625,question_exp_h4.0
hotpotqa,8,linear_w16,0.474212646484375,question_exp_h8.0
hotpotqa,8,linear_w16,0.45294189453125,question_mean
hotpotqa,8,question_exp_h4.0,0.99420166015625,question_exp_h8.0
hotpotqa,8,question_mean,0.97406005859375,question_exp_h4.0
hotpotqa,8,question_mean,0.99151611328125,question_exp_h8.0
hotpotqa,8,uniform_w16,0.89971923828125,exp_w16_h2.0
hotpotqa,8,uniform_w16,0.947265625,exp_w16_h4.0
hotpotqa,8,uniform_w16,0.98004150390625,exp_w16_h8.0
hotpotqa,8,uniform_w16,0.9588623046875,linear_w16
hotpotqa,8,uniform_w16,0.70220947265625,question_exp_h4.0
hotpotqa,8,uniform_w16,0.68756103515625,question_exp_h8.0
hotpotqa,8,uniform_w16,0.6619873046875,question_mean
hotpotqa,8,uniform_w4,0.98321533203125,exp_w16_h2.0
hotpotqa,8,uniform_w4,0.962646484375,exp_w16_h4.0
hotpotqa,8,uniform_w4,0.93182373046875,exp_w16_h8.0
hotpotqa,8,uniform_w4,0.94268798828125,linear_w16
hotpotqa,8,uniform_w4,0.396484375,question_exp_h4.0
hotpotqa,8,uniform_w4,0.381072998046875,question_exp_h8.0
hotpotqa,8,uniform_w4,0.36334228515625,question_mean
hotpotqa,8,uniform_w4,0.865478515625,uniform_w16
hotpotqa,8,uniform_w4,0.92803955078125,uniform_w8
hotpotqa,8,uniform_w8,0.95184326171875,exp_w16_h2.0
hotpotqa,8,uniform_w8,0.9739990234375,exp_w16_h4.0
hotpotqa,8,uniform_w8,0.95367431640625,exp_w16_h8.0
hotpotqa,8,uniform_w8,0.97613525390625,linear_w16
hotpotqa,8,uniform_w8,0.301422119140625,question_exp_h4.0
hotpotqa,8,uniform_w8,0.28778076171875,question_exp_h8.0
hotpotqa,8,uniform_w8,0.2712860107421875,question_mean
hotpotqa,8,uniform_w8,0.88165283203125,uniform_w16
