turn,stage,records,full_text_bytes,pra_full_bytes,pra_delta_bytes,message_delta_bytes,resource_delta_bytes,resource_bodies_sent,visible_text_tokens_estimate,visible_pra_tokens_estimate,selection_parity,task_metadata_preserved,tool_schema_preserved
1,open,4,5024,8118,9129,50,1013,4,407,3,1,1,1
2,tool_result,5,6180,9906,3761,43,1295,1,524,9,1,1,1
3,waiting,5,6286,10015,3043,50,1298,1,529,14,1,1,1
4,resume,5,6384,10110,3038,49,1298,1,533,18,1,1,1
5,complete,5,6486,10221,3051,50,1298,1,537,22,1,1,1
