dataset,condition,examples,evidence_recall,precision,exact_match,token_f1,answer_contained,gold_mean_token_logprob,gold_logprob_delta_vs_no_memory,materialized_unique_tokens,native_kv_token_states,native_kv_bytes,active_kv_fraction,teacher_forced_seconds,total_generation_seconds,tokens_per_second
2wikimultihopqa,B0_validation_fixed,2,0.375,0.375,1.0,1.0,1.0,-3.2719390392303467,0.45287418365478516,128.0,1024.0,4194304.0,0.1233937233937234,0.2067809000145644,0.4727575499564409,6.346784267104354
2wikimultihopqa,B1_one_shot_no_graph,2,0.5,0.5,1.0,1.0,1.0,-3.7016199827194214,0.02319324016571045,128.0,1024.0,4194304.0,0.1233937233937234,0.20734644983895123,0.4698808001121506,6.385605589018374
2wikimultihopqa,B3_callback_no_graph,2,0.25,0.25,1.0,1.0,1.0,-3.322256088256836,0.4025571346282959,128.0,1024.0,4194304.0,0.1233937233937234,0.2088400999782607,0.4548186499159783,6.596241805517604
2wikimultihopqa,B5t_threshold_graph,2,0.375,0.375,1.0,1.0,1.0,-3.2996898889541626,0.42512333393096924,128.0,1024.0,4194304.0,0.1233937233937234,0.20933545008301735,0.48801250010728836,6.1476884725064505
2wikimultihopqa,B6_complete_action_oracle,2,0.625,0.625,1.0,1.0,1.0,-3.807868242263794,-0.08305501937866211,128.0,1024.0,4194304.0,0.1233937233937234,0.20652444998268038,0.46590045001357794,6.439193281616246
2wikimultihopqa,no_memory,2,0.0,0.0,1.0,1.0,1.0,-3.724813222885132,0.0,0.0,0.0,0.0,0.0,0.1677432000869885,0.3768332999898121,7.961477853076687
hotpotqa,B0_validation_fixed,2,0.125,0.125,0.0,0.0,0.0,-1.299346387386322,0.07159015536308289,128.0,1024.0,4194304.0,0.10630892589655476,0.3983565499074757,0.8583821500651538,6.429094851099934
hotpotqa,B1_one_shot_no_graph,2,0.45,0.5,0.5,0.5,0.5,-0.8149774968624115,0.5559590458869934,128.0,1024.0,4194304.0,0.10630892589655476,0.21282989997416735,0.8064696999499574,6.819003654830736
hotpotqa,B3_callback_no_graph,2,0.25,0.25,0.0,0.0,0.0,-0.8045036196708679,0.566432923078537,128.0,1024.0,4194304.0,0.10630892589655476,0.2164672000799328,0.857040649978444,6.410347136528938
hotpotqa,B5t_threshold_graph,2,0.45,0.5,0.5,0.5,0.5,-0.8155303299427032,0.5554062128067017,128.0,1024.0,4194304.0,0.10630892589655476,0.21198785002343357,0.7905829000519589,6.951504985550418
hotpotqa,B6_complete_action_oracle,2,0.675,0.75,0.5,0.5,0.5,-1.177216112613678,0.19372043013572693,128.0,1024.0,4194304.0,0.10630892589655476,0.21401394996792078,0.804084499948658,6.829438262329019
hotpotqa,no_memory,2,0.0,0.0,0.0,0.0,0.0,-1.370936542749405,0.0,0.0,0.0,0.0,0.0,0.17068250000011176,1.181025450117886,5.797503026275646
musique,B0_validation_fixed,2,0.42857142857142855,0.75,0.0,0.0,0.0,-2.8874621391296387,0.9102632999420166,128.0,1024.0,4194304.0,0.05168968167550604,0.21178394998423755,0.7733922499464825,6.472097195566326
musique,B1_one_shot_no_graph,2,0.3571428571428571,0.625,0.0,0.0,0.0,-3.0645428895950317,0.7331825494766235,128.0,1024.0,4194304.0,0.05168968167550604,0.2176433999557048,0.7568410499952734,6.603544020047339
musique,B3_callback_no_graph,2,0.2857142857142857,0.5,0.0,0.0,0.0,-2.8856301307678223,0.912095308303833,128.0,1024.0,4194304.0,0.05168968167550604,0.21337745001073927,0.8067486500367522,6.807411093255839
musique,B5t_threshold_graph,2,0.42857142857142855,0.75,0.0,0.0,0.0,-2.864365339279175,0.9333600997924805,128.0,1024.0,4194304.0,0.05168968167550604,0.21293454989790916,0.7873116000555456,6.291827238991218
musique,B6_complete_action_oracle,2,0.5,0.875,0.0,0.0,0.0,-2.5744142532348633,1.223311185836792,128.0,1024.0,4194304.0,0.05168968167550604,0.21729254990350455,0.7567357999505475,6.574659351225633
musique,no_memory,2,0.0,0.0,0.0,0.0,0.0,-3.7977254390716553,0.0,0.0,0.0,0.0,0.0,0.17171324999071658,0.5343746000435203,8.395129164785358
qasper,B0_validation_fixed,2,0.1875,0.375,0.5,0.5,0.5,-4.359643340110779,0.8347930908203125,128.0,1024.0,4194304.0,0.028572958042032914,0.20512765005696565,0.4606039500795305,6.513463488660102
qasper,B1_one_shot_no_graph,2,0.125,0.25,0.5,0.5,0.5,-3.427160859107971,1.7672755718231201,128.0,1024.0,4194304.0,0.028572958042032914,0.2058594999834895,0.4838298000395298,6.202562384632051
qasper,B3_callback_no_graph,2,0.125,0.25,0.5,0.5,0.5,-3.427160859107971,1.7672755718231201,128.0,1024.0,4194304.0,0.028572958042032914,0.2072016999591142,0.5161453000037,5.818904321728155
qasper,B5t_threshold_graph,2,0.1875,0.375,0.5,0.5,0.5,-4.359643340110779,0.8347930908203125,128.0,1024.0,4194304.0,0.028572958042032914,0.2097882500384003,0.5375189998885617,5.682805626061294
qasper,B6_complete_action_oracle,2,0.33035714285714285,0.625,0.5,0.5,0.5,-3.9719120264053345,1.2225244045257568,128.0,1024.0,4194304.0,0.028572958042032914,0.22823460004292428,0.5313263499410823,5.730383744763403
qasper,no_memory,2,0.0,0.0,0.5,0.5,0.5,-5.194436430931091,0.0,0.0,0.0,0.0,0.0,0.1632527500623837,0.4141061999835074,7.374332700907359
