protocol,seed,payload_tokens,payload_bytes,record_type,condition,effective_mode,native_index_state,native_index_requested,native_index_built,native_index_skipped_reason,native_index_tokens,native_index_bytes,native_index_latency_ms,agent_compression_ttuc_ms,time_to_usable_context_ms,cheap_index_modes_built,cheap_index_bytes,cheap_search_latency_ms,selected_region_native_latency_ms,selected_region_tokens,lazy_native_regions_encoded,evidence_recall,active_kv_tokens,routing_index_bytes,resident_detail_kv_bytes,search_available,cursor_available,full_materialization_available
paper7-native-index-size-gate-v1,71,1024,11128,terminal_output,SIZE_GATED_CHEAP,PRA_NATIVE,BUILT,1,1,,1024,11128,3.267300082370639,14.726100023835897,47.09429992362857,entity;lexical;rare_term,27456,1.7440998926758766,0.0,0,0,1,272,2816,345600,1,1,1
paper7-native-index-size-gate-v1,71,1024,11128,terminal_output,SIZE_GATED_LAZY_NATIVE,PRA_NATIVE,BUILT,1,1,,1024,11128,4.234400112181902,18.402300076559186,46.2672000285238,entity;lexical;rare_term,27456,2.8693999629467726,0.0,0,0,1,272,2816,345600,1,1,1
paper7-native-index-size-gate-v1,71,1024,11128,terminal_output,CURSOR_SEARCH_ONLY,PRA_SIZE_GATED,SKIPPED_SIZE_LIMIT,1,0,11128 bytes exceed configured limit 0,,11128,0.0,14.858599985018373,21.459699841216207,entity;lexical;rare_term,27456,18.590399995446205,0.0,0,0,1,272,768,86016,1,1,1
paper7-native-index-size-gate-v1,11,4096,44519,terminal_output,FULL_BODY_NATIVE,PRA_NATIVE,BUILT,1,1,,4096,44519,13.461299939081073,30.084999976679683,71.74629997462034,entity;lexical;rare_term,14005,5.405399948358536,0.0,0,0,1,272,8960,1132032,1,1,1
paper7-native-index-size-gate-v1,11,4096,44519,terminal_output,SIZE_GATED_CHEAP,PRA_NATIVE,BUILT,1,1,,4096,44519,11.7359000723809,24.981599999591708,70.50830009393394,entity;lexical;rare_term,14005,4.252700135111809,0.0,0,0,1,272,8960,1132032,1,1,1
paper7-native-index-size-gate-v1,11,4096,44519,terminal_output,SIZE_GATED_LAZY_NATIVE,PRA_NATIVE,BUILT,1,1,,4096,44519,6.302699912339449,25.948400143533945,64.20130003243685,entity;lexical;rare_term,14005,4.996499978005886,0.0,0,0,1,272,8960,1132032,1,1,1
paper7-native-index-size-gate-v1,11,4096,44519,terminal_output,CURSOR_SEARCH_ONLY,PRA_SIZE_GATED,SKIPPED_SIZE_LIMIT,1,0,44519 bytes exceed configured limit 0,,44519,0.0,100.19570006988943,104.29200017824769,entity;lexical;rare_term,14005,24.017099989578128,0.0,0,0,1,272,768,86016,1,1,1
paper7-native-index-size-gate-v1,23,4096,44519,terminal_output,FULL_BODY_NATIVE,PRA_NATIVE,BUILT,1,1,,4096,44519,13.75199994072318,26.866000145673752,74.62049997411668,entity;lexical;rare_term,14005,6.65550003759563,0.0,0,0,1,272,8960,1132032,1,1,1
paper7-native-index-size-gate-v1,23,4096,44519,terminal_output,SIZE_GATED_CHEAP,PRA_NATIVE,BUILT,1,1,,4096,44519,10.873100021854043,19.402500009164214,69.10960003733635,entity;lexical;rare_term,14005,5.37090003490448,0.0,0,0,1,272,8960,1132032,1,1,1
paper7-native-index-size-gate-v1,23,4096,44519,terminal_output,SIZE_GATED_LAZY_NATIVE,PRA_NATIVE,BUILT,1,1,,4096,44519,14.439099933952093,20.50089999102056,70.34670002758503,entity;lexical;rare_term,14005,4.676599986851215,0.0,0,0,1,272,8960,1132032,1,1,1
paper7-native-index-size-gate-v1,23,4096,44519,terminal_output,CURSOR_SEARCH_ONLY,PRA_SIZE_GATED,SKIPPED_SIZE_LIMIT,1,0,44519 bytes exceed configured limit 0,,44519,0.0,26.37420012615621,31.44470020197332,entity;lexical;rare_term,14005,18.308599945157766,0.0,0,0,1,272,768,86016,1,1,1
paper7-native-index-size-gate-v1,37,4096,44519,terminal_output,FULL_BODY_NATIVE,PRA_NATIVE,BUILT,1,1,,4096,44519,12.238699942827225,24.74760008044541,69.03950008563697,entity;lexical;rare_term,14005,4.981500096619129,0.0,0,0,1,272,8960,1132032,1,1,1
paper7-native-index-size-gate-v1,37,4096,44519,terminal_output,SIZE_GATED_CHEAP,PRA_NATIVE,BUILT,1,1,,4096,44519,12.006000149995089,21.751200081780553,63.763200072571635,entity;lexical;rare_term,14005,4.114099778234959,0.0,0,0,1,272,8960,1132032,1,1,1
paper7-native-index-size-gate-v1,37,4096,44519,terminal_output,SIZE_GATED_LAZY_NATIVE,PRA_NATIVE,BUILT,1,1,,4096,44519,10.534999892115593,22.281199926510453,63.81379999220371,entity;lexical;rare_term,14005,5.697699962183833,0.0,0,0,1,272,8960,1132032,1,1,1
paper7-native-index-size-gate-v1,37,4096,44519,terminal_output,CURSOR_SEARCH_ONLY,PRA_SIZE_GATED,SKIPPED_SIZE_LIMIT,1,0,44519 bytes exceed configured limit 0,,44519,0.0,22.701000096276402,26.345600141212344,entity;lexical;rare_term,14005,20.027699880301952,0.0,0,0,1,272,768,86016,1,1,1
paper7-native-index-size-gate-v1,53,4096,44519,terminal_output,FULL_BODY_NATIVE,PRA_NATIVE,BUILT,1,1,,4096,44519,14.712000032886863,26.35479997843504,74.10450000315905,entity;lexical;rare_term,14005,5.396699998527765,0.0,0,0,1,272,8960,1132032,1,1,1
paper7-native-index-size-gate-v1,53,4096,44519,terminal_output,SIZE_GATED_CHEAP,PRA_NATIVE,BUILT,1,1,,4096,44519,15.053199836984277,22.067700047045946,71.45619997754693,entity;lexical;rare_term,14005,4.970700014382601,0.0,0,0,1,272,8960,1132032,1,1,1
paper7-native-index-size-gate-v1,53,4096,44519,terminal_output,SIZE_GATED_LAZY_NATIVE,PRA_NATIVE,BUILT,1,1,,4096,44519,11.915599927306175,21.63920016027987,66.3331001996994,entity;lexical;rare_term,14005,4.182799952104688,0.0,0,0,1,272,8960,1132032,1,1,1
paper7-native-index-size-gate-v1,53,4096,44519,terminal_output,CURSOR_SEARCH_ONLY,PRA_SIZE_GATED,SKIPPED_SIZE_LIMIT,1,0,44519 bytes exceed configured limit 0,,44519,0.0,24.912500055506825,31.560800038278103,entity;lexical;rare_term,14005,23.576400009915233,0.0,0,0,1,272,768,86016,1,1,1
paper7-native-index-size-gate-v1,71,4096,44519,terminal_output,FULL_BODY_NATIVE,PRA_NATIVE,BUILT,1,1,,4096,44519,11.383199831470847,26.560600148513913,71.11750007607043,entity;lexical;rare_term,14005,2.440399955958128,0.0,0,0,1,272,8960,1132032,1,1,1
paper7-native-index-size-gate-v1,71,4096,44519,terminal_output,SIZE_GATED_CHEAP,PRA_NATIVE,BUILT,1,1,,4096,44519,13.52819986641407,22.567000007256866,69.80370008386672,entity;lexical;rare_term,14005,3.6536999978125095,0.0,0,0,1,272,8960,1132032,1,1,1
paper7-native-index-size-gate-v1,71,4096,44519,terminal_output,SIZE_GATED_LAZY_NATIVE,PRA_NATIVE,BUILT,1,1,,4096,44519,14.08110000193119,26.959399925544858,71.0107998456806,entity;lexical;rare_term,14005,5.804300075396895,0.0,0,0,1,272,8960,1132032,1,1,1
paper7-native-index-size-gate-v1,71,4096,44519,terminal_output,CURSOR_SEARCH_ONLY,PRA_SIZE_GATED,SKIPPED_SIZE_LIMIT,1,0,44519 bytes exceed configured limit 0,,44519,0.0,23.830499965697527,28.41089991852641,entity;lexical;rare_term,14005,21.200499963015318,0.0,0,0,1,272,768,86016,1,1,1
paper7-native-index-size-gate-v1,11,16384,178365,terminal_output,FULL_BODY_NATIVE,PRA_NATIVE,BUILT,1,1,,16384,178365,48.01140003837645,63.90579999424517,206.02419995702803,entity;lexical;rare_term,14005,14.743200037628412,0.0,0,0,1,272,33536,4277760,1,1,1
paper7-native-index-size-gate-v1,11,16384,178365,terminal_output,SIZE_GATED_CHEAP,PRA_SIZE_GATED,SKIPPED_SIZE_LIMIT,1,0,178365 bytes exceed configured limit 65536,,178365,0.0,70.17660001292825,74.05639998614788,entity;lexical;rare_term,14005,61.86979985795915,0.0,0,0,1,272,768,86016,1,1,1
paper7-native-index-size-gate-v1,11,16384,178365,terminal_output,SIZE_GATED_LAZY_NATIVE,PRA_SIZE_GATED_LAZY,SKIPPED_SIZE_LIMIT,1,0,178365 bytes exceed configured limit 65536,,178365,0.0,66.65949989110231,71.69150002300739,entity;lexical;rare_term,14005,65.87620009668171,1.336999936029315,32,1,1,32,896,94208,1,1,1
