protocol,seed,payload_tokens,payload_bytes,record_type,condition,effective_mode,native_index_state,native_index_requested,native_index_built,native_index_skipped_reason,native_index_tokens,native_index_bytes,native_index_latency_ms,agent_compression_ttuc_ms,time_to_usable_context_ms,cheap_index_modes_built,cheap_index_bytes,cheap_search_latency_ms,selected_region_native_latency_ms,selected_region_tokens,lazy_native_regions_encoded,evidence_recall,active_kv_tokens,routing_index_bytes,resident_detail_kv_bytes,search_available,cursor_available,full_materialization_available
paper7-native-index-size-gate-v1,11,16384,178365,terminal_output,SIZE_GATED_LAZY_NATIVE,PRA_SIZE_GATED_LAZY,SKIPPED_SIZE_LIMIT,1,0,178365 bytes exceed configured limit 65536,,178365,0.0,66.65949989110231,71.69150002300739,entity;lexical;rare_term,14005,65.87620009668171,1.336999936029315,32,1,1,32,896,94208,1,1,1
paper7-native-index-size-gate-v1,23,16384,178365,terminal_output,SIZE_GATED_LAZY_NATIVE,PRA_SIZE_GATED_LAZY,SKIPPED_SIZE_LIMIT,1,0,178365 bytes exceed configured limit 65536,,178365,0.0,72.59700004942715,76.86020014807582,entity;lexical;rare_term,14005,61.982099898159504,1.2596000451594591,32,1,1,32,896,94208,1,1,1
paper7-native-index-size-gate-v1,37,16384,178365,terminal_output,SIZE_GATED_LAZY_NATIVE,PRA_SIZE_GATED_LAZY,SKIPPED_SIZE_LIMIT,1,0,178365 bytes exceed configured limit 65536,,178365,0.0,63.73140006326139,68.62320005893707,entity;lexical;rare_term,14005,67.22630001604557,1.5849999617785215,32,1,1,32,896,94208,1,1,1
paper7-native-index-size-gate-v1,53,16384,178365,terminal_output,SIZE_GATED_LAZY_NATIVE,PRA_SIZE_GATED_LAZY,SKIPPED_SIZE_LIMIT,1,0,178365 bytes exceed configured limit 65536,,178365,0.0,76.12000009976327,81.48110006004572,entity;lexical;rare_term,14005,66.75500003620982,2.0437000785022974,32,1,1,32,896,94208,1,1,1
paper7-native-index-size-gate-v1,71,16384,178365,terminal_output,SIZE_GATED_LAZY_NATIVE,PRA_SIZE_GATED_LAZY,SKIPPED_SIZE_LIMIT,1,0,178365 bytes exceed configured limit 65536,,178365,0.0,74.08489985391498,79.549599904567,entity;lexical;rare_term,14005,62.11919989436865,2.3146001622080803,32,1,1,32,896,94208,1,1,1
paper7-native-index-size-gate-v1,11,65536,713647,terminal_output,SIZE_GATED_LAZY_NATIVE,PRA_SIZE_GATED_LAZY,SKIPPED_SIZE_LIMIT,1,0,713647 bytes exceed configured limit 65536,,713647,0.0,242.659900104627,247.67559999600053,entity;lexical;rare_term,14005,75.07690018974245,2.09950003772974,32,1,1,32,896,94208,1,1,1
paper7-native-index-size-gate-v1,23,65536,713647,terminal_output,SIZE_GATED_LAZY_NATIVE,PRA_SIZE_GATED_LAZY,SKIPPED_SIZE_LIMIT,1,0,713647 bytes exceed configured limit 65536,,713647,0.0,274.32750002481043,278.1962000299245,entity;lexical;rare_term,14005,80.22869983687997,2.4266999680548906,32,1,1,32,896,94208,1,1,1
paper7-native-index-size-gate-v1,37,65536,713647,terminal_output,SIZE_GATED_LAZY_NATIVE,PRA_SIZE_GATED_LAZY,SKIPPED_SIZE_LIMIT,1,0,713647 bytes exceed configured limit 65536,,713647,0.0,251.43299996852875,256.4538000151515,entity;lexical;rare_term,14005,72.34190008603036,2.301500178873539,32,1,1,32,896,94208,1,1,1
paper7-native-index-size-gate-v1,53,65536,713647,terminal_output,SIZE_GATED_LAZY_NATIVE,PRA_SIZE_GATED_LAZY,SKIPPED_SIZE_LIMIT,1,0,713647 bytes exceed configured limit 65536,,713647,0.0,252.17289989814162,259.8335000220686,entity;lexical;rare_term,14005,70.08529989980161,1.9376999698579311,32,1,1,32,896,94208,1,1,1
paper7-native-index-size-gate-v1,71,65536,713647,terminal_output,SIZE_GATED_LAZY_NATIVE,PRA_SIZE_GATED_LAZY,SKIPPED_SIZE_LIMIT,1,0,713647 bytes exceed configured limit 65536,,713647,0.0,252.03719991259277,257.37129990011454,entity;lexical;rare_term,14005,69.27499989978969,1.9718001130968332,32,1,1,32,896,94208,1,1,1
paper7-native-index-size-gate-v1,11,262144,2854665,terminal_output,SIZE_GATED_LAZY_NATIVE,PRA_SIZE_GATED_LAZY,SKIPPED_SIZE_LIMIT,1,0,2854665 bytes exceed configured limit 65536,,2854665,0.0,981.7584999836981,986.532700015232,entity;lexical;rare_term,14005,262.6310000196099,2.2242001723498106,32,1,1,32,896,94208,1,1,1
