dataset,examples,left,right,left_unique_kv_tokens,right_unique_kv_tokens,mean_kv_reduction_fraction,mean_gold_logprob_delta,gold_logprob_wins_or_ties,mean_token_f1_delta,mean_accuracy_delta,mean_evidence_attention_delta,mean_ttft_delta_seconds
musique,8,M0_native_gist,M1_whole_parent,9.875,313.5,0.9685353708791209,-7.374113231897354,1,0.0,0.0,-0.5220497692353092,0.07306852500187233
musique,8,M2_evidence_only,M1_whole_parent,253.125,313.5,0.19809360561313688,-0.24597758054733276,3,0.0,0.0,0.13971866715499864,0.07964836250175722
musique,8,M6_budget_128_equal,M1_whole_parent,128.0,313.5,0.5718989343989345,-0.7678527534008026,5,0.0,0.0,0.023889807934340614,0.045439762514433824
musique,8,M7_gist_selected_radius_0,M1_whole_parent,263.0,313.5,0.16662897649225775,-0.2456035614013672,3,0.0,0.0,0.1359732126916892,0.21622639999259263
2wikimultihopqa,8,M0_native_gist,M1_whole_parent,4.25,136.0,0.96875,-0.5822716385300737,4,0.0,0.0,-0.16146551142446697,0.014733475021785125
2wikimultihopqa,8,M2_evidence_only,M1_whole_parent,62.5,136.0,0.5303059895833333,-0.20992267387919128,2,0.0,0.0,0.032173680257983506,0.00822380003228318
2wikimultihopqa,8,M6_budget_128_equal,M1_whole_parent,124.875,136.0,-0.06695963541666666,-0.022729468997567892,3,0.0,0.0,0.004654871067032218,0.01339284999994561
2wikimultihopqa,8,M7_gist_selected_radius_0,M1_whole_parent,66.75,136.0,0.49905598958333336,-0.21710015228018165,1,0.0,0.0,0.03169886686373502,0.017211325000971556
