dataset,selector,materialization,examples,left,right,left_unique_kv_tokens,right_unique_kv_tokens,mean_kv_reduction_fraction,mean_gold_logprob_delta,gold_logprob_wins_or_ties,mean_token_f1_delta,mean_accuracy_delta,mean_evidence_attention_delta,mean_ttft_delta_seconds,conceptual_selected_parents,evidence_recall
musique,one_shot,local_atomic,4,one_shot__local_atomic,one_shot__whole_parent,2038.5,2038.5,0.0,0.0,4,0.0,0.0,0.0,0.2689502749417443,16.0,0.875
musique,one_shot,budget_128,4,one_shot__budget_128,one_shot__whole_parent,128.0,2038.5,0.9372083053695446,-6.334062457084656,0,0.0,0.0,-0.056811035560696964,-0.12594702499336563,16.0,0.875
musique,one_shot,gist_local,4,one_shot__gist_local,one_shot__whole_parent,2102.5,2038.5,-0.031395847315227654,-0.0014865398406982422,1,0.0,0.0,-0.0003401330728333308,0.8285523000231478,16.0,0.875
musique,graph_sparse,local_atomic,4,graph_sparse__local_atomic,graph_sparse__whole_parent,216.25,428.25,0.4941572511995047,-0.1531251072883606,1,0.0,0.0,0.0005686177672552216,0.11099297500913963,13.75,0.875
musique,graph_sparse,budget_128,4,graph_sparse__budget_128,graph_sparse__whole_parent,128.0,428.25,0.6984341949130681,-6.689633548259735,0,0.0,0.0,-0.07016744498936792,0.16249480002443306,13.75,0.875
musique,graph_sparse,gist_local,4,graph_sparse__gist_local,graph_sparse__whole_parent,229.75,428.25,0.4626714614610742,-0.15580594539642334,1,0.0,0.0,-5.0238117442598373e-05,0.4086807999992743,13.75,0.875
musique,graph_balanced,local_atomic,4,graph_balanced__local_atomic,graph_balanced__whole_parent,1503.5,1503.5,0.0,0.0,4,0.0,0.0,0.0,0.27237390002119355,11.75,1.0
musique,graph_balanced,budget_128,4,graph_balanced__budget_128,graph_balanced__whole_parent,128.0,1503.5,0.9140754019991308,-8.273261547088623,0,0.0,0.0,-0.06832075143548925,0.052617525070672855,11.75,1.0
musique,graph_balanced,gist_local,4,graph_balanced__gist_local,graph_balanced__whole_parent,1550.5,1503.5,-0.031260185788787476,0.0019200444221496582,1,0.0,0.0,-0.00043379044758954516,1.0811467000457924,11.75,1.0
musique,graph_high,local_atomic,4,graph_high__local_atomic,graph_high__whole_parent,1535.5,1535.5,0.0,0.0,4,0.0,0.0,0.0,0.32015877502271906,12.0,1.0
musique,graph_high,budget_128,4,graph_high__budget_128,graph_high__whole_parent,128.0,1535.5,0.9156819864852356,-9.185375690460205,0,0.0,0.0,-0.0653484700305853,0.04366762499557808,12.0,1.0
musique,graph_high,gist_local,4,graph_high__gist_local,graph_high__whole_parent,1583.5,1535.5,-0.03125940132370636,-0.0004798769950866699,1,0.0,0.0,-0.0004187270865908706,0.8717678500397597,12.0,1.0
2wikimultihopqa,one_shot,local_atomic,4,one_shot__local_atomic,one_shot__whole_parent,717.0,717.0,0.0,0.0,4,0.0,0.0,0.0,0.0018951750826090574,6.0,0.875
2wikimultihopqa,one_shot,budget_128,4,one_shot__budget_128,one_shot__whole_parent,128.0,717.0,0.8205079181020318,0.16327273845672607,3,0.25,0.25,-0.043569633504375815,-0.027340699976775795,6.0,0.875
2wikimultihopqa,one_shot,gist_local,4,one_shot__gist_local,one_shot__whole_parent,739.75,717.0,-0.03176707689721997,-0.016356587409973145,2,0.0,0.0,-0.00010337913408875465,0.02413207505014725,6.0,0.875
2wikimultihopqa,graph_sparse,local_atomic,4,graph_sparse__local_atomic,graph_sparse__whole_parent,221.5,355.5,0.3819691105518014,0.06921297311782837,3,0.25,0.25,-0.002200284507125616,0.03074617509264499,14.0,0.6
2wikimultihopqa,graph_sparse,budget_128,4,graph_sparse__budget_128,graph_sparse__whole_parent,128.0,355.5,0.6327757244133886,0.22278696298599243,3,0.25,0.25,-0.02167902747169137,0.010613299993565306,14.0,0.6
2wikimultihopqa,graph_sparse,gist_local,4,graph_sparse__gist_local,graph_sparse__whole_parent,233.0,355.5,0.34966477817941927,0.056034624576568604,2,0.25,0.25,-0.0022529554553329945,0.05863367498386651,14.0,0.6
2wikimultihopqa,graph_balanced,local_atomic,4,graph_balanced__local_atomic,graph_balanced__whole_parent,709.5,709.5,0.0,0.0,4,0.0,0.0,0.0,0.023850349942222238,6.0,1.0
2wikimultihopqa,graph_balanced,budget_128,4,graph_balanced__budget_128,graph_balanced__whole_parent,128.0,709.5,0.8183554469081502,0.27974796295166016,3,0.25,0.25,-0.03836224670521915,0.00157737493282184,6.0,1.0
2wikimultihopqa,graph_balanced,gist_local,4,graph_balanced__gist_local,graph_balanced__whole_parent,732.0,709.5,-0.03175418449163164,0.002049565315246582,3,0.0,0.0,-9.66817606240511e-05,0.054437699960544705,6.0,1.0
2wikimultihopqa,graph_high,local_atomic,4,graph_high__local_atomic,graph_high__whole_parent,1110.25,1110.25,0.0,0.0,4,0.0,0.0,0.0,0.011049925058614463,9.5,1.0
2wikimultihopqa,graph_high,budget_128,4,graph_high__budget_128,graph_high__whole_parent,128.0,1110.25,0.8776421363007372,0.42671120166778564,4,0.25,0.25,-0.028710622573271394,-0.02288822497939691,9.5,1.0
2wikimultihopqa,graph_high,gist_local,4,graph_high__gist_local,graph_high__whole_parent,1145.5,1110.25,-0.031814424593173796,0.009563624858856201,3,0.0,0.0,-0.00010130507871508598,0.08007302501937374,9.5,1.0
