active_detail_bytes,answer_quality_publishable,answer_string_availability,candidate_count,completion_latency_ms,condition,document_recall_at_candidate_k,exact_match,examples,failure_counts,false_selected_document_fraction,gold_chunk_recall,ingestion_ms,itl_ms,itl_p50_ms,itl_p95_ms,kv_bytes,logical_candidate_tokens,materialization_avoidance,native_reuse,newly_materialized_tokens,official_multihop_rag_score,official_multihop_rag_score_ci95_high,official_multihop_rag_score_ci95_low,output_tokens_per_second,peak_memory_bytes,physical_context_tokens,prefill_ms,regime,requests_per_second,retained_detail_bytes,selected_native_kv_tokens,selector_profile,status,successful_examples,supporting_document_coverage,supporting_span_coverage,temporary_allocation_bytes,token_budget,token_f1,token_f1_ci95_high,token_f1_ci95_low,tokens_per_second,total_latency_ms,total_latency_ms_ci95_high,total_latency_ms_ci95_low,ttft_ms,ttft_ms_ci95_high,ttft_ms_ci95_low,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,visible_prompt_tokens,visible_reuse
0.0,False,0.56,20,0.0,NO_PRA_STANDARD_RAG,0.675,0.56,50,"{""FIRST_STAGE_RETRIEVAL_MISS"": 23, ""GENERATION_FAILURE"": 6, ""STANDARD_RAG_PACKING_MISS"": 15, ""SUCCESS"": 6}",0.7688809523809523,0.061635989492947185,0.0,0.0,0.0,0.0,0.0,36912.96,0.9426073829187083,0.0,2034.6,0.56,0.7,0.42,7929.334632926671,,2034.6,0.1492919959127903,COLD,,0.0,0.0,standard_bm25,MEASURED,6,0.43,0.2683333333333333,,2048,0.56,0.7,0.42,7929.334632926671,0.1492919959127903,0.1628406869713217,0.13719990756362677,0.1492919959127903,0.1628406869713217,0.13719990756362677,0.123550184071064,0.22740480490028858,0.2552640717476605,2034.6,0.0
0.0,False,0.56,20,0.0,NO_PRA_STANDARD_RAG,0.675,0.56,50,"{""FIRST_STAGE_RETRIEVAL_MISS"": 23, ""GENERATION_FAILURE"": 6, ""STANDARD_RAG_PACKING_MISS"": 15, ""SUCCESS"": 6}",0.7688809523809523,0.061635989492947185,0.0,0.0,0.0,0.0,0.0,36912.96,0.9426073829187083,0.0,2034.6,0.56,0.7,0.42,7629.796462262728,,2034.6,0.16142601147294044,WARM,,0.0,0.0,standard_bm25,MEASURED,6,0.43,0.2683333333333333,,2048,0.56,0.7,0.42,7629.796462262728,0.16142601147294044,0.1796486305538565,0.14587125391699374,0.16142601147294044,0.1796486305538565,0.14587125391699374,0.12734998017549515,0.23361993953585625,0.3379340097308157,2034.6,0.0
0.0,False,0.72,20,0.0,NO_PRA_STANDARD_RAG,0.675,0.72,50,"{""FIRST_STAGE_RETRIEVAL_MISS"": 23, ""GENERATION_FAILURE"": 6, ""STANDARD_RAG_PACKING_MISS"": 9, ""SUCCESS"": 12}",0.8342636807636807,0.12182587693210996,0.0,0.0,0.0,0.0,0.0,36912.96,0.8850855689537614,0.0,4075.0,0.72,0.84,0.58,4554.416593370187,,4075.0,0.29780800454318523,COLD,,0.0,0.0,standard_bm25,MEASURED,12,0.5633333333333334,0.4116666666666666,,4096,0.72,0.84,0.58,4554.416593370187,0.29780800454318523,0.32647305005230004,0.27038331143558025,0.29780800454318523,0.32647305005230004,0.27038331143558025,0.23474986664950848,0.47031466383486975,0.5474197352305052,4075.0,0.0
0.0,False,0.72,20,0.0,NO_PRA_STANDARD_RAG,0.675,0.72,50,"{""FIRST_STAGE_RETRIEVAL_MISS"": 23, ""GENERATION_FAILURE"": 6, ""STANDARD_RAG_PACKING_MISS"": 9, ""SUCCESS"": 12}",0.8342636807636807,0.12182587693210996,0.0,0.0,0.0,0.0,0.0,36912.96,0.8850855689537614,0.0,4075.0,0.72,0.84,0.58,5198.333434363925,,4075.0,0.25343201123178005,WARM,,0.0,0.0,standard_bm25,MEASURED,12,0.5633333333333334,0.4116666666666666,,4096,0.72,0.84,0.58,5198.333434363925,0.25343201123178005,0.2751765800639987,0.2350416681729257,0.25343201123178005,0.2751765800639987,0.2350416681729257,0.22349972277879715,0.40590006392449135,0.41560390032827854,4075.0,0.0
0.0,False,0.64,50,0.0,NO_PRA_STANDARD_RAG,0.795,0.64,50,"{""FIRST_STAGE_RETRIEVAL_MISS"": 15, ""GENERATION_FAILURE"": 6, ""STANDARD_RAG_PACKING_MISS"": 21, ""SUCCESS"": 8}",0.7755295815295815,0.02614860757533899,0.0,0.0,0.0,0.0,0.0,90454.58,0.9770270171781861,0.0,2035.54,0.64,0.76,0.5,10148.14801361819,,2035.54,0.13376598246395588,COLD,,0.0,0.0,standard_bm25,MEASURED,8,0.515,0.3383333333333334,,2048,0.64,0.76,0.5,10148.14801361819,0.13376598246395588,0.14536188915371895,0.12302382756024599,0.13376598246395588,0.14536188915371895,0.12302382756024599,0.11995015665888786,0.23152506910264486,0.25320795364677906,2035.54,0.0
0.0,False,0.64,50,0.0,NO_PRA_STANDARD_RAG,0.795,0.64,50,"{""FIRST_STAGE_RETRIEVAL_MISS"": 15, ""GENERATION_FAILURE"": 6, ""STANDARD_RAG_PACKING_MISS"": 21, ""SUCCESS"": 8}",0.7755295815295815,0.02614860757533899,0.0,0.0,0.0,0.0,0.0,90454.58,0.9770270171781861,0.0,2035.54,0.64,0.76,0.5,10766.035894295594,,2035.54,0.12482395395636559,WARM,,0.0,0.0,standard_bm25,MEASURED,8,0.515,0.3383333333333334,,2048,0.64,0.76,0.5,10766.035894295594,0.12482395395636559,0.13578202528879046,0.11583718075416982,0.12482395395636559,0.13578202528879046,0.11583718075416982,0.11179991997778416,0.2205800265073776,0.22952070925384757,2035.54,0.0
0.0,False,0.78,50,0.0,NO_PRA_STANDARD_RAG,0.795,0.78,50,"{""FIRST_STAGE_RETRIEVAL_MISS"": 15, ""GENERATION_FAILURE"": 7, ""STANDARD_RAG_PACKING_MISS"": 12, ""SUCCESS"": 16}",0.8452549395049396,0.0502047437479537,0.0,0.0,0.0,0.0,0.0,90454.58,0.9539543391555628,0.0,4079.9,0.78,0.88,0.66,5882.753619188721,,4079.9,0.2310040034353733,COLD,,0.0,0.0,standard_bm25,MEASURED,16,0.6383333333333333,0.44833333333333336,,4096,0.78,0.88,0.66,5882.753619188721,0.2310040034353733,0.24661409435793757,0.2171819140203297,0.2310040034353733,0.24661409435793757,0.2171819140203297,0.21219998598098755,0.3492702264338732,0.39877306204289187,4079.9,0.0
0.0,False,0.78,50,0.0,NO_PRA_STANDARD_RAG,0.795,0.78,50,"{""FIRST_STAGE_RETRIEVAL_MISS"": 15, ""GENERATION_FAILURE"": 7, ""STANDARD_RAG_PACKING_MISS"": 12, ""SUCCESS"": 16}",0.8452549395049396,0.0502047437479537,0.0,0.0,0.0,0.0,0.0,90454.58,0.9539543391555628,0.0,4079.9,0.78,0.88,0.66,5751.326481033109,,4079.9,0.2360240463167429,WARM,,0.0,0.0,standard_bm25,MEASURED,16,0.6383333333333333,0.44833333333333336,,4096,0.78,0.88,0.66,5751.326481033109,0.2360240463167429,0.25540309539064765,0.2187854121439159,0.2360240463167429,0.25540309539064765,0.2187854121439159,0.20980020053684711,0.3864852013066411,0.4088371386751532,4079.9,0.0
0.0,False,0.72,20,0.0,NO_PRA_STANDARD_RAG,0.675,0.72,50,"{""FIRST_STAGE_RETRIEVAL_MISS"": 23, ""GENERATION_FAILURE"": 6, ""STANDARD_RAG_PACKING_MISS"": 13, ""SUCCESS"": 8}",0.6952857142857143,0.058654509426238344,0.0,0.0,0.0,0.0,0.0,36912.96,0.9425298440158023,0.0,2038.1,0.72,0.84,0.58,7741.21555327719,,2038.1,0.18528600223362446,COLD,,0.0,0.0,strong_conventional_reranker,MEASURED,8,0.49333333333333335,0.33666666666666667,,2048,0.72,0.84,0.58,7741.21555327719,0.18528600223362446,0.2002446609549224,0.17168556503020227,0.18528600223362446,0.2002446609549224,0.17168556503020227,0.19890000112354755,0.2523352159187197,0.2869489090517162,2038.1,0.0
0.0,False,0.72,20,0.0,NO_PRA_STANDARD_RAG,0.675,0.72,50,"{""FIRST_STAGE_RETRIEVAL_MISS"": 23, ""GENERATION_FAILURE"": 6, ""STANDARD_RAG_PACKING_MISS"": 13, ""SUCCESS"": 8}",0.6952857142857143,0.058654509426238344,0.0,0.0,0.0,0.0,0.0,36912.96,0.9425298440158023,0.0,2038.1,0.72,0.84,0.58,8432.773544977008,,2038.1,0.17927000299096107,WARM,,0.0,0.0,strong_conventional_reranker,MEASURED,8,0.49333333333333335,0.33666666666666667,,2048,0.72,0.84,0.58,8432.773544977008,0.17927000299096107,0.19936913321726024,0.1626859176903963,0.17927000299096107,0.19936913321726024,0.1626859176903963,0.18864963203668594,0.23441510275006291,0.39023991674184744,2038.1,0.0
