candidate_count,catalog_size,context_tokens,hardness_level,language,max_candidates,query_id,required_recall,seed,strategy,unsafe_candidate_count,unsafe_exposure,useful_precision
2,32,141,H0,en,2,search_user-h0-en-1,1,11,A2_topk,1,1,0.5
3,32,250,H0,en,3,search_user-h0-en-1,1,11,A2_topk,1,1,0.3333333333333333
4,32,353,H0,en,4,search_user-h0-en-1,1,11,A2_topk,1,1,0.25
5,32,433,H0,en,5,search_user-h0-en-1,1,11,A2_topk,1,1,0.2
6,32,504,H0,en,6,search_user-h0-en-1,1,11,A2_topk,1,1,0.16666666666666666
8,32,681,H0,en,8,search_user-h0-en-1,1,11,A2_topk,1,1,0.125
10,32,847,H0,en,10,search_user-h0-en-1,1,11,A2_topk,1,1,0.1
20,32,1786,H0,en,20,search_user-h0-en-1,1,11,A2_topk,2,1,0.05
2,32,173,H0,en,2,search_user-h0-en-1,1,11,A5_topk,0,0,0.5
3,32,253,H0,en,3,search_user-h0-en-1,1,11,A5_topk,0,0,0.3333333333333333
4,32,324,H0,en,4,search_user-h0-en-1,1,11,A5_topk,0,0,0.25
5,32,433,H0,en,5,search_user-h0-en-1,1,11,A5_topk,0,0,0.2
6,32,542,H0,en,6,search_user-h0-en-1,1,11,A5_topk,0,0,0.16666666666666666
8,32,681,H0,en,8,search_user-h0-en-1,1,11,A5_topk,1,1,0.125
10,32,847,H0,en,10,search_user-h0-en-1,1,11,A5_topk,1,1,0.1
20,32,1893,H0,en,20,search_user-h0-en-1,1,11,A5_topk,2,1,0.05
2,32,138,H0,en,2,search_user-h0-en-1,1,11,A6_topk,0,0,0.5
3,32,195,H0,en,3,search_user-h0-en-1,1,11,A6_topk,0,0,0.3333333333333333
4,32,298,H0,en,4,search_user-h0-en-1,1,11,A6_topk,0,0,0.25
5,32,407,H0,en,5,search_user-h0-en-1,1,11,A6_topk,0,0,0.2
6,32,487,H0,en,6,search_user-h0-en-1,1,11,A6_topk,0,0,0.16666666666666666
8,32,667,H0,en,8,search_user-h0-en-1,1,11,A6_topk,0,0,0.125
10,32,847,H0,en,10,search_user-h0-en-1,1,11,A6_topk,1,1,0.1
20,32,1893,H0,en,20,search_user-h0-en-1,1,11,A6_topk,2,1,0.05
2,32,173,H0,en,2,search_user-h0-en-1,1,11,A7_fused_score,0,0,0.5
3,32,282,H0,en,3,search_user-h0-en-1,1,11,A7_fused_score,0,0,0.3333333333333333
4,32,362,H0,en,4,search_user-h0-en-1,1,11,A7_fused_score,0,0,0.25
5,32,433,H0,en,5,search_user-h0-en-1,1,11,A7_fused_score,0,0,0.2
6,32,504,H0,en,6,search_user-h0-en-1,1,11,A7_fused_score,1,1,0.16666666666666666
8,32,629,H0,en,8,search_user-h0-en-1,1,11,A7_fused_score,1,1,0.125
10,32,847,H0,en,10,search_user-h0-en-1,1,11,A7_fused_score,1,1,0.1
20,32,1878,H0,en,20,search_user-h0-en-1,1,11,A7_fused_score,1,1,0.05
2,32,173,H0,en,2,search_user-h0-en-1,1,11,A7_raw_union,0,0,0.5
3,32,282,H0,en,3,search_user-h0-en-1,1,11,A7_raw_union,0,0,0.3333333333333333
4,32,353,H0,en,4,search_user-h0-en-1,1,11,A7_raw_union,1,1,0.25
5,32,433,H0,en,5,search_user-h0-en-1,1,11,A7_raw_union,1,1,0.2
6,32,542,H0,en,6,search_user-h0-en-1,1,11,A7_raw_union,1,1,0.16666666666666666
8,32,722,H0,en,8,search_user-h0-en-1,1,11,A7_raw_union,1,1,0.125
10,32,847,H0,en,10,search_user-h0-en-1,1,11,A7_raw_union,1,1,0.1
20,32,1792,H0,en,20,search_user-h0-en-1,1,11,A7_raw_union,1,1,0.05
2,32,173,H0,en,2,search_user-h0-en-1,1,11,A7_diversity_union,0,0,0.5
3,32,244,H0,en,3,search_user-h0-en-1,1,11,A7_diversity_union,1,1,0.3333333333333333
4,32,353,H0,en,4,search_user-h0-en-1,1,11,A7_diversity_union,1,1,0.25
5,32,462,H0,en,5,search_user-h0-en-1,1,11,A7_diversity_union,1,1,0.2
6,32,571,H0,en,6,search_user-h0-en-1,1,11,A7_diversity_union,1,1,0.16666666666666666
8,32,708,H0,en,8,search_user-h0-en-1,1,11,A7_diversity_union,1,1,0.125
10,32,847,H0,en,10,search_user-h0-en-1,1,11,A7_diversity_union,1,1,0.1
20,32,1792,H0,en,20,search_user-h0-en-1,1,11,A7_diversity_union,1,1,0.05
2,32,179,H1,en,2,search_user-h1-en-1,1,11,A2_topk,0,0,0.5
3,32,250,H1,en,3,search_user-h1-en-1,1,11,A2_topk,1,1,0.3333333333333333
4,32,359,H1,en,4,search_user-h1-en-1,1,11,A2_topk,1,1,0.25
