catalog_size,strategy,max_candidates,required_recall_mean,required_recall_std,useful_precision_mean,useful_precision_std,unsafe_exposure_mean,unsafe_exposure_std,context_tokens_mean,context_tokens_std
32,A2_topk,2,0.8125,0.009820927516479807,0.4791666666666667,0.009820927516479816,0.1222222222222222,0.029707291161399214,177.075,3.407990621636231
32,A2_topk,3,0.85,0.006211299937499406,0.3638888888888889,0.014493033187498635,0.2111111111111111,0.07126096406869611,268.8777777777778,3.5062244860540632
32,A2_topk,4,0.8708333333333333,0.012615209808739541,0.30347222222222225,0.013130326667492379,0.25277777777777777,0.06105584622314794,361.71527777777777,3.750141458237305
32,A2_topk,5,0.8833333333333332,0.009054447785003647,0.26305555555555554,0.012445870454011038,0.3125,0.08933805784908755,454.01944444444445,3.96217345404492
32,A2_topk,6,0.8958333333333334,0.004910463758239945,0.23680555555555555,0.01159142218384655,0.37777777777777777,0.12064161035127205,547.1111111111111,4.980498233542591
32,A2_topk,8,0.9111111111111111,0.003105649968749697,0.20052083333333334,0.0019410312304685637,0.5166666666666667,0.11427779128180117,733.2777777777777,4.8565702998268785
32,A2_topk,10,0.9208333333333334,0.006211299937499455,0.1636111111111111,0.0010531771450071534,0.6708333333333334,0.13675443207208324,922.1638888888889,2.4153871932279967
32,A2_topk,20,0.9597222222222224,0.0031056499687496966,0.08465277777777777,0.0003803628871563715,0.9791666666666666,0.046584749531245605,1871.3458333333333,9.138397329316433
32,A5_topk,2,0.6722222222222223,0.021628349308885297,0.49722222222222223,0.017256630055262748,0.0125,0.009054447785003679,169.2125,2.911514132672733
32,A5_topk,3,0.7138888888888889,0.01335790559838289,0.36527777777777776,0.010906684249434952,0.0375,0.02846375212766555,259.1402777777778,5.091981392194673
32,A5_topk,4,0.7486111111111111,0.015835769793043557,0.2930555555555555,0.006425956778931163,0.06805555555555556,0.04403018745596488,349.2875,7.485396984594412
32,A5_topk,5,0.7708333333333334,0.017704928866641587,0.2441666666666667,0.006902652022105105,0.10555555555555556,0.0562885670254429,442.6583333333333,7.439239798067277
32,A5_topk,6,0.788888888888889,0.020006750404011057,0.21249999999999997,0.00657790381406611,0.13611111111111113,0.059455152202788866,536.8694444444444,7.937737553556155
32,A5_topk,8,0.826388888888889,0.017704928866641573,0.1734375,0.004770358216678507,0.19444444444444445,0.08289816934939806,723.5069444444445,11.21284050744367
32,A5_topk,10,0.8541666666666667,0.023549756885851647,0.14819444444444446,0.004297707901879397,0.25,0.11208341938589564,911.6986111111112,12.400013495300819
