catalog_size,policy,top1_mean,top1_std,recall_at_3_mean,recall_at_3_std,recall_at_5_mean,recall_at_5_std,recall_at_10_mean,recall_at_10_std
32,A2_keywords_synonyms,0.7291666666666667,0.02354975688585163,0.85,0.006211299937499406,0.8833333333333332,0.009054447785003647,0.9208333333333334,0.006211299937499455
32,A5_embedding,0.5291666666666667,0.009054447785003647,0.7138888888888889,0.01335790559838289,0.7708333333333334,0.017704928866641587,0.8541666666666667,0.023549756885851647
32,A6_auto_hybrid,0.7875,0.00380362887156364,0.9166666666666666,0.012028130608117214,0.9375,0.004910463758239888,0.9666666666666666,0.003105649968749697
128,A2_keywords_synonyms,0.6291666666666667,0.028884214365396402,0.7555555555555555,0.019270051285432754,0.7986111111111112,0.012028130608117199,0.8583333333333334,0.006211299937499466
128,A5_embedding,0.3944444444444445,0.011410886614690982,0.5541666666666667,0.020483168338545316,0.6319444444444444,0.01701034543599426,0.7152777777777778,0.012991865926298429
128,A6_auto_hybrid,0.675,0.028378912141253515,0.8416666666666666,0.015055196797693621,0.8833333333333334,0.011410886614690956,0.913888888888889,0.0038036288715636605
512,A2_keywords_synonyms,0.5638888888888889,0.022715871158050197,0.6708333333333334,0.03128855646130227,0.7194444444444444,0.023344078213849442,0.7625,0.007607257743127326
512,A5_embedding,0.27222222222222225,0.01863389981249827,0.39722222222222225,0.011410886614690958,0.4458333333333333,0.01797524875770108,0.5305555555555556,0.01876285567514763
512,A6_auto_hybrid,0.5458333333333334,0.014400306495366484,0.701388888888889,0.01964185503295968,0.7708333333333333,0.01473139127471971,0.85,0.007917884896521794
2048,A2_keywords_synonyms,0.4722222222222222,0.012991865926298415,0.5527777777777778,0.026260653334984785,0.6138888888888889,0.011620278146306572,0.6791666666666666,0.019885862587883815
2048,A5_embedding,0.22916666666666666,0.012991865926298403,0.3,0.011410886614690946,0.33333333333333337,0.006944444444444435,0.39166666666666666,0.007917884896521805
2048,A6_auto_hybrid,0.4208333333333333,0.0406709735120731,0.5472222222222223,0.016579633869879592,0.6055555555555555,0.009054447785003694,0.6916666666666667,0.012615209808739543
8192,A2_keywords_synonyms,0.45138888888888895,0.0,0.45555555555555555,0.006211299937499426,0.475,0.010531771450071593,0.5416666666666667,0.013888888888888916
8192,A5_embedding,0.20555555555555557,0.003803628871563656,0.24305555555555552,0.00982092751647983,0.25416666666666665,0.00380362887156364,0.2847222222222222,0.010980130764473541
8192,A6_auto_hybrid,0.3375,0.010531771450071612,0.4138888888888889,0.013537214367790228,0.45972222222222225,0.005810139073153317,0.5527777777777778,0.015214515486254588
