seed,scheduler,children,wall_ms,physical_file_reads,logical_file_reads,orientation_reuses,candidate_records,source_bytes,dag_join_parents_visible,completed_peer_visible
11,sequential,11,17.82589964568615,13,35,22,11,239652,2,1
11,parallel,11,26.750499848276377,13,35,22,11,239652,2,1
23,sequential,11,26.606599800288677,13,35,22,11,239652,2,1
23,parallel,11,26.7340000718832,13,35,22,11,239652,2,1
37,sequential,11,18.450200092047453,13,35,22,11,239652,2,1
37,parallel,11,26.04210004210472,13,35,22,11,239652,2,1
71,sequential,11,17.712199594825506,13,35,22,11,239652,2,1
71,parallel,11,27.308799792081118,13,35,22,11,239652,2,1
101,sequential,11,26.522499974817038,13,35,22,11,239652,2,1
101,parallel,11,28.938299976289272,13,35,22,11,239652,2,1
