dataset,policy,examples,C_E,R_E,K_over_N
2wikimultihopqa,approx->bm25_state,18,0.0,0.08950617283950618,0.10188334447811404
2wikimultihopqa,approx->exact_new_address,18,0.0,0.08256172839506173,0.10188334447811404
2wikimultihopqa,approx->hybrid_state,18,0.0,0.07561728395061729,0.10188334447811404
2wikimultihopqa,approx->native_semantic,18,0.0,0.10833333333333334,0.10188334447811404
2wikimultihopqa,bm25->bm25_state,18,0.0,0.09907407407407406,0.10188334447811404
2wikimultihopqa,bm25->exact_new_address,18,0.0,0.0763888888888889,0.10188334447811404
2wikimultihopqa,bm25->hybrid_state,18,0.0,0.06944444444444445,0.10188334447811404
2wikimultihopqa,bm25->native_semantic,18,0.0,0.10416666666666667,0.10188334447811404
2wikimultihopqa,exact->bm25_state,18,0.0,0.09876543209876543,0.10188334447811404
2wikimultihopqa,exact->exact_new_address,18,0.0,0.11959876543209876,0.10188334447811404
2wikimultihopqa,exact->hybrid_state,18,0.0,0.10570987654320987,0.10188334447811404
2wikimultihopqa,exact->native_semantic,18,0.0,0.14768518518518517,0.10188334447811404
2wikimultihopqa,gist->bm25_state,18,0.0,0.09027777777777778,0.10188334447811404
2wikimultihopqa,gist->exact_new_address,18,0.0,0.08950617283950618,0.10188334447811404
2wikimultihopqa,gist->hybrid_state,18,0.0,0.11805555555555555,0.10188334447811404
2wikimultihopqa,gist->native_semantic,18,0.0,0.1087962962962963,0.10188334447811404
2wikimultihopqa,hybrid->bm25_state,18,0.0,0.09876543209876543,0.10188334447811404
2wikimultihopqa,hybrid->exact_new_address,18,0.0,0.11265432098765432,0.10188334447811404
2wikimultihopqa,hybrid->hybrid_state,18,0.0,0.10570987654320987,0.10188334447811404
2wikimultihopqa,hybrid->native_semantic,18,0.0,0.11990740740740741,0.10188334447811404
hotpotqa,approx->bm25_state,16,0.0,0.0625,0.08832048041809042
hotpotqa,approx->exact_new_address,16,0.0,0.08913690476190476,0.08832048041809042
hotpotqa,approx->hybrid_state,16,0.0,0.10476190476190476,0.08832048041809042
hotpotqa,approx->native_semantic,16,0.0,0.14494047619047618,0.08832048041809042
hotpotqa,bm25->bm25_state,16,0.0,0.04375,0.08832048041809042
hotpotqa,bm25->exact_new_address,16,0.0,0.071875,0.08832048041809042
hotpotqa,bm25->hybrid_state,16,0.0,0.075,0.08832048041809042
hotpotqa,bm25->native_semantic,16,0.0,0.06830357142857144,0.08832048041809042
hotpotqa,exact->bm25_state,16,0.0,0.090625,0.08832048041809042
hotpotqa,exact->exact_new_address,16,0.0,0.10788690476190477,0.08832048041809042
hotpotqa,exact->hybrid_state,16,0.0,0.12351190476190477,0.08832048041809042
hotpotqa,exact->native_semantic,16,0.0,0.12931547619047618,0.08832048041809042
hotpotqa,gist->bm25_state,16,0.0,0.05267857142857143,0.08832048041809042
hotpotqa,gist->exact_new_address,16,0.0,0.08392857142857144,0.08832048041809042
hotpotqa,gist->hybrid_state,16,0.0,0.08705357142857142,0.08832048041809042
hotpotqa,gist->native_semantic,16,0.0,0.10119047619047619,0.08832048041809042
hotpotqa,hybrid->bm25_state,16,0.0,0.075,0.08832048041809042
hotpotqa,hybrid->exact_new_address,16,0.0,0.10788690476190477,0.08832048041809042
hotpotqa,hybrid->hybrid_state,16,0.0,0.12351190476190477,0.08832048041809042
hotpotqa,hybrid->native_semantic,16,0.0,0.10476190476190476,0.08832048041809042
musique,approx->bm25_state,18,0.0,0.04716753154253154,0.05031837622497274
musique,approx->exact_new_address,18,0.0,0.05124771062271062,0.05031837622497274
musique,approx->hybrid_state,18,0.0,0.041723901098901096,0.05031837622497274
musique,approx->native_semantic,18,0.0,0.04635353072853073,0.05031837622497274
musique,bm25->bm25_state,18,0.0,0.07721803659303658,0.05031837622497274
musique,bm25->exact_new_address,18,0.0,0.08595201095201095,0.05031837622497274
musique,bm25->hybrid_state,18,0.0,0.07677542365042364,0.05031837622497274
musique,bm25->native_semantic,18,0.0,0.06753651441151441,0.05031837622497274
musique,exact->bm25_state,18,0.0,0.0620980870980871,0.05031837622497274
musique,exact->exact_new_address,18,0.0,0.06062271062271063,0.05031837622497274
musique,exact->hybrid_state,18,0.0,0.05839056776556776,0.05031837622497274
musique,exact->native_semantic,18,0.0,0.06128408628408629,0.05031837622497274
musique,gist->bm25_state,18,0.0,0.06728456728456728,0.05031837622497274
musique,gist->exact_new_address,18,0.0,0.04424834424834425,0.05031837622497274
musique,gist->hybrid_state,18,0.0,0.03629148629148629,0.05031837622497274
musique,gist->native_semantic,18,0.0,0.06697931697931697,0.05031837622497274
musique,hybrid->bm25_state,18,0.0,0.06886446886446887,0.05031837622497274
musique,hybrid->exact_new_address,18,0.0,0.07385022385022384,0.05031837622497274
musique,hybrid->hybrid_state,18,0.0,0.05283501221001222,0.05031837622497274
musique,hybrid->native_semantic,18,0.0,0.05572853072853073,0.05031837622497274
qasper,approx->bm25_state,16,0.0,0.04904761904761905,0.032479887950834
qasper,approx->exact_new_address,16,0.0,0.06561126373626373,0.032479887950834
qasper,approx->hybrid_state,16,0.0,0.051041666666666666,0.032479887950834
qasper,approx->native_semantic,16,0.0,0.040625,0.032479887950834
qasper,bm25->bm25_state,16,0.0,0.03382554945054945,0.032479887950834
qasper,bm25->exact_new_address,16,0.0,0.03549221611721612,0.032479887950834
qasper,bm25->hybrid_state,16,0.0,0.03549221611721612,0.032479887950834
qasper,bm25->native_semantic,16,0.0,0.055492216117216116,0.032479887950834
qasper,exact->bm25_state,16,0.0,0.10214285714285715,0.032479887950834
qasper,exact->exact_new_address,16,0.0,0.1209981684981685,0.032479887950834
qasper,exact->hybrid_state,16,0.0,0.10726190476190475,0.032479887950834
qasper,exact->native_semantic,16,0.0,0.11163690476190476,0.032479887950834
qasper,gist->bm25_state,16,0.0,0.021145833333333332,0.032479887950834
qasper,gist->exact_new_address,16,0.0,0.03364583333333333,0.032479887950834
qasper,gist->hybrid_state,16,0.0,0.008645833333333333,0.032479887950834
qasper,gist->native_semantic,16,0.0,0.009479166666666667,0.032479887950834
qasper,hybrid->bm25_state,16,0.0,0.044583333333333336,0.032479887950834
qasper,hybrid->exact_new_address,16,0.0,0.09016483516483516,0.032479887950834
qasper,hybrid->hybrid_state,16,0.0,0.05416666666666667,0.032479887950834
qasper,hybrid->native_semantic,16,0.0,0.046875,0.032479887950834
