dataset,policy,E,examples,N,K,recovered,R_E,P_E,C_E,K_over_N,K_over_E,rho,eta
2wikimultihopqa,approx->bm25_state,2.0,2,43.0,4.0,0.0,0.0,0.0,0.0,0.09307359307359307,2.0,0.9069264069264069,0.0
2wikimultihopqa,approx->bm25_state,3.0,1,31.0,4.0,0.0,0.0,0.0,0.0,0.12903225806451613,1.3333333333333333,0.8709677419354839,0.0
2wikimultihopqa,approx->bm25_state,4.0,5,55.2,4.0,0.2,0.05,0.05,0.0,0.0755358985699543,1.0,0.9244641014300458,0.6375
2wikimultihopqa,approx->bm25_state,5.0,2,49.0,4.0,0.0,0.0,0.0,0.0,0.0828752642706131,0.8,0.9171247357293869,0.0
2wikimultihopqa,approx->bm25_state,6.0,2,41.5,4.0,0.0,0.0,0.0,0.0,0.09707602339181287,0.6666666666666666,0.9029239766081871,0.0
2wikimultihopqa,approx->bm25_state,8.0,5,29.6,4.0,2.0,0.25,0.5,0.0,0.13671554252199414,0.5,0.8632844574780059,1.81875
2wikimultihopqa,approx->bm25_state,9.0,1,41.0,4.0,1.0,0.1111111111111111,0.25,0.0,0.0975609756097561,0.4444444444444444,0.9024390243902439,1.1388888888888888
2wikimultihopqa,approx->exact_new_address,2.0,2,43.0,4.0,0.0,0.0,0.0,0.0,0.09307359307359307,2.0,0.9069264069264069,0.0
2wikimultihopqa,approx->exact_new_address,3.0,1,31.0,4.0,0.0,0.0,0.0,0.0,0.12903225806451613,1.3333333333333333,0.8709677419354839,0.0
2wikimultihopqa,approx->exact_new_address,4.0,5,55.2,4.0,0.2,0.05,0.05,0.0,0.0755358985699543,1.0,0.9244641014300458,0.6375
2wikimultihopqa,approx->exact_new_address,5.0,2,49.0,4.0,0.0,0.0,0.0,0.0,0.0828752642706131,0.8,0.9171247357293869,0.0
2wikimultihopqa,approx->exact_new_address,6.0,2,41.5,4.0,0.0,0.0,0.0,0.0,0.09707602339181287,0.6666666666666666,0.9029239766081871,0.0
2wikimultihopqa,approx->exact_new_address,8.0,5,29.6,4.0,1.8,0.225,0.45,0.0,0.13671554252199414,0.5,0.8632844574780059,1.6875
2wikimultihopqa,approx->exact_new_address,9.0,1,41.0,4.0,1.0,0.1111111111111111,0.25,0.0,0.0975609756097561,0.4444444444444444,0.9024390243902439,1.1388888888888888
