learned_top4_overlap,m,mean_top4_overlap,objective,oracle_gain_recovered,oracle_top4_overlap,rank
0.3515625,4,0.5546875,combined,-0.7878787878787878,0.8125,8
0.38749999999999996,8,0.5546875,combined,-0.4863636363636365,0.8984375,8
0.3125,4,0.5546875,combined,-0.9393939393939394,0.8125,16
0.3828125,8,0.5546875,combined,-0.5,0.8984375,16
0.33125,4,0.5546875,combined,-0.8666666666666667,0.8125,32
0.44062500000000004,8,0.5546875,combined,-0.3318181818181817,0.8984375,32
0.3046875,4,0.5546875,decision_aware,-0.9696969696969697,0.8125,8
0.43125,8,0.5546875,decision_aware,-0.359090909090909,0.8984375,8
0.31875,4,0.5546875,decision_aware,-0.9151515151515153,0.8125,16
0.3875,8,0.5546875,decision_aware,-0.48636363636363633,0.8984375,16
0.3515625,4,0.5546875,decision_aware,-0.7878787878787878,0.8125,32
0.4265625,8,0.5546875,decision_aware,-0.3727272727272727,0.8984375,32
0.3125,4,0.5546875,listwise,-0.9393939393939394,0.8125,8
0.4296875,8,0.5546875,listwise,-0.36363636363636365,0.8984375,8
0.2375,4,0.5546875,listwise,-1.2303030303030305,0.8125,16
0.3734375,8,0.5546875,listwise,-0.5272727272727273,0.8984375,16
0.2109375,4,0.5546875,listwise,-1.3333333333333333,0.8125,32
0.303125,8,0.5546875,listwise,-0.7318181818181819,0.8984375,32
0.61875,4,0.5546875,oracle_imitation,0.24848484848484856,0.8125,8
0.6921875,8,0.5546875,oracle_imitation,0.39999999999999986,0.8984375,8
0.6328125,4,0.5546875,oracle_imitation,0.30303030303030304,0.8125,16
0.7046875,8,0.5546875,oracle_imitation,0.43636363636363645,0.8984375,16
0.621875,4,0.5546875,oracle_imitation,0.26060606060606045,0.8125,32
0.7171875,8,0.5546875,oracle_imitation,0.47272727272727266,0.8984375,32
