dataset,evidence_recall,m,objective,parameter_count,rank,selection_ms,teacher_top4_overlap
hotpotqa,0.1624107142857143,4,combined,16769,8,42.91746499657165,0.38125
hotpotqa,0.15565476190476196,8,combined,16769,8,43.65529375500046,0.365625
hotpotqa,0.16666666666666669,4,combined,33217,16,42.55043122684583,0.3
hotpotqa,0.15386904761904763,8,combined,33217,16,39.99977248022333,0.378125
hotpotqa,0.12854166666666664,4,combined,66113,32,38.46661624847911,0.315625
hotpotqa,0.1366369047619048,8,combined,66113,32,38.610042483196594,0.446875
hotpotqa,0.15967261904761904,4,decision_aware,16769,8,46.96200500475243,0.30625
hotpotqa,0.16348214285714283,8,decision_aware,16769,8,49.44549498904962,0.484375
hotpotqa,0.1430357142857143,4,decision_aware,33217,16,47.142742498544976,0.334375
hotpotqa,0.11002976190476192,8,decision_aware,33217,16,48.513054990326054,0.415625
hotpotqa,0.11098214285714288,4,decision_aware,66113,32,46.68288625543937,0.409375
hotpotqa,0.14294642857142856,8,decision_aware,66113,32,42.923076247097924,0.478125
hotpotqa,0.14488095238095233,4,listwise,16769,8,41.98372123937588,0.35
hotpotqa,0.1542261904761905,8,listwise,16769,8,42.34252750466112,0.40625
hotpotqa,0.16193452380952383,4,listwise,33217,16,44.4256112590665,0.203125
hotpotqa,0.13770833333333335,8,listwise,33217,16,41.60560749878641,0.31875
hotpotqa,0.1313095238095238,4,listwise,66113,32,42.47039000329096,0.2
hotpotqa,0.12723214285714285,8,listwise,66113,32,40.68159499729518,0.259375
hotpotqa,0.09526785714285715,4,oracle_imitation,16769,8,34.735692490357906,0.78125
hotpotqa,0.12107142857142857,8,oracle_imitation,16769,8,38.231335021555424,0.8375
hotpotqa,0.09419642857142858,4,oracle_imitation,33217,16,41.56389125273563,0.8
hotpotqa,0.12041666666666664,8,oracle_imitation,33217,16,43.09198751288932,0.859375
hotpotqa,0.0967261904761905,4,oracle_imitation,66113,32,37.88515124178957,0.78125
hotpotqa,0.11291666666666667,8,oracle_imitation,66113,32,36.076421293546446,0.85
qasper,0.06713484432234432,4,combined,16769,8,120.9255474852398,0.321875
qasper,0.12829189560439558,8,combined,16769,8,119.79749999009073,0.409375
qasper,0.057408195970695984,4,combined,33217,16,117.02137124666478,0.325
qasper,0.12429212454212453,8,combined,33217,16,112.01917873113416,0.3875
qasper,0.06391391941391941,4,combined,66113,32,106.40463123854715,0.346875
qasper,0.11612545787545789,8,combined,66113,32,107.2403187310556,0.434375
qasper,0.0536607142857143,4,decision_aware,16769,8,128.77817126864102,0.303125
qasper,0.14220947802197803,8,decision_aware,16769,8,136.00137126632035,0.378125
qasper,0.05430380036630036,4,decision_aware,33217,16,129.40395375189837,0.303125
qasper,0.1341966575091575,8,decision_aware,33217,16,130.66760875517502,0.359375
qasper,0.08197641941391941,4,decision_aware,66113,32,126.75036248401739,0.29375
qasper,0.1717623626373626,8,decision_aware,66113,32,120.52648624812718,0.375
qasper,0.06172962454212455,4,listwise,16769,8,117.88500749971718,0.275
qasper,0.08545604395604398,8,listwise,16769,8,117.17133875645231,0.453125
qasper,0.05434844322344322,4,listwise,33217,16,118.55784500658046,0.271875
qasper,0.10073580586080585,8,listwise,33217,16,117.01266250165645,0.428125
qasper,0.0575297619047619,4,listwise,66113,32,119.92522127111442,0.221875
qasper,0.11341987179487178,8,listwise,66113,32,110.27574501931667,0.346875
qasper,0.11640819597069596,4,oracle_imitation,16769,8,86.54777125630062,0.45625
qasper,0.13396520146520147,8,oracle_imitation,16769,8,105.51067750202492,0.546875
qasper,0.12731891025641026,4,oracle_imitation,33217,16,113.12804873450659,0.465625
qasper,0.15139652014652014,8,oracle_imitation,33217,16,121.14260250236839,0.55
qasper,0.1286886446886447,4,oracle_imitation,66113,32,103.47956625919323,0.4625
qasper,0.12297435897435896,8,oracle_imitation,66113,32,100.98050750675611,0.584375
